n,ratio,c_pred,baseline,c_meas,lambda,status
4,-0.00000000,,,0.00000000,,EXPECTED
5,-0.00000000,,,0.00000000,,EXPECTED
6,-6.37619179,-1.00699668,-6.42080399,6.42080399,,EXPECTED
7,-0.00000000,-9.28453623,-12.45331295,0.00000000,,EXPECTED
8,-0.00000000,-11.55049999,-14.22108614,0.00000000,,EXPECTED
9,-0.00000000,-4.37429716,-9.65559169,0.00000000,,EXPECTED
10,-0.00000000,-13.89545287,-17.43849116,0.00000000,,EXPECTED
11,-0.00000000,-8.62630542,-11.61977647,0.00000000,,EXPECTED
12,-0.50391461,-12.25358604,-17.55573028,6.17476106,,EXPECTED
13,-0.00000000,-10.37663975,-13.29520644,0.00000000,,EXPECTED
14,-0.00000000,-10.89730280,-14.07457031,0.00000000,,EXPECTED
20,-0.56331139,-10.62101952,-14.16185766,5.98294124,,EXPECTED
42,-0.90103023,-7.75233375,-14.11592449,6.98508709,,EXPECTED
45,-0.95776308,-7.56485588,-14.64186003,7.24533966,,EXPECTED
60,-0.89135728,-6.83886868,-13.90946930,6.09587542,,EXPECTED
75,-1.24110565,-6.43690000,-13.50773025,7.98887298,,EXPECTED
90,-1.14925401,-6.21834180,-13.28596112,7.14645426,,EXPECTED
105,-1.38421372,-4.69422026,-13.17566551,6.49780408,,EXPECTED
120,-1.31236322,-6.07469080,-13.14051148,7.97220076,,EXPECTED
147,-0.77241492,-6.90905983,-13.26742591,5.33666087,,EXPECTED
150,-0.85213808,-6.31348031,-13.37506406,5.37995701,,EXPECTED
165,-1.80526647,-5.59024165,-13.43698448,10.09187581,,EXPECTED
187,-0.80942187,-5.63457661,-8.77394758,4.56074956,,EXPECTED
198,-0.90929375,-6.47483846,-12.35939224,5.88753014,,EXPECTED
210,-0.93158633,-7.67281520,-16.14591531,7.14788974,,EXPECTED
231,-1.78080125,-4.53624874,-11.59810415,8.07815742,,EXPECTED
252,-1.32757219,-4.79801060,-11.15217973,6.36970542,,EXPECTED
267,-1.33892080,-5.48595427,-10.84214939,7.34525825,,EXPECTED
273,-1.58134079,-3.82661809,-10.75920131,6.05118727,,EXPECTED
294,-1.99100723,-4.05612276,-10.40977374,8.07576974,,EXPECTED
312,-1.53872218,-4.28694486,-10.06310105,6.59641712,,EXPECTED
315,-1.76848634,-4.98989315,-13.46221984,8.82455786,,EXPECTED
333,-1.70134255,-4.33741347,-9.78396755,7.37942607,,EXPECTED
357,-1.82716827,-2.78056250,-9.55788757,5.08055558,,EXPECTED
363,-1.66845691,-3.62156919,-9.50411781,6.04243213,,EXPECTED
378,-2.63440306,-2.97119548,-9.32406588,7.82732647,,EXPECTED
399,-3.16910691,-2.38271737,-9.10976710,7.55108607,,EXPECTED
408,-2.21181354,-3.35126622,-8.99816447,7.41237601,,EXPECTED
429,-2.99687379,-2.39216825,-8.80951626,7.16902634,,EXPECTED
441,-3.03404024,-2.30026605,-8.65323640,6.97909976,,EXPECTED
462,-3.54724709,-1.43089876,-8.48977313,5.07575144,,EXPECTED
471,-1.87399403,-3.14451312,-8.47270508,5.89279882,,EXPECTED
483,-3.90565243,-1.68237472,-8.33754675,6.57077090,,EXPECTED
504,-3.46602044,-1.84271252,-8.19539603,6.38687924,,EXPECTED
513,-2.46869217,-2.57533982,-8.18053683,6.35772124,,EXPECTED
525,-3.40732335,-2.27989753,-10.74975886,7.76834808,,EXPECTED
546,-5.25677793,-1.00753748,-7.93744686,5.29640079,,EXPECTED
567,-4.52260165,-1.46786262,-7.82002085,6.63855789,,EXPECTED
582,-3.03567342,-2.38426421,-7.73330597,7.23784749,,EXPECTED
588,-3.71195414,-1.35719619,-7.70937628,5.03785002,,EXPECTED
609,-6.21467762,-1.01772501,-7.60492760,6.32483285,,EXPECTED
627,-4.21826377,-1.31130704,-7.53875633,5.53143898,,EXPECTED
630,-5.35492022,-1.53891883,-10.00820908,8.24078757,,EXPECTED
651,-6.38173104,-0.84182475,-7.41260387,5.37229916,,EXPECTED
672,-6.75979266,-0.97208302,-7.32385866,6.57107964,,EXPECTED
687,-3.66350692,-1.94128160,-7.25780785,7.11189855,,EXPECTED
693,-35.30328498,-0.18224496,-7.23955423,6.43384563,,EXPECTED
714,-18.04081474,-0.38432039,-7.15936124,6.93345302,,EXPECTED
726,-5.52046291,-1.24417146,-7.12518608,6.86840241,,EXPECTED
735,-9.50126612,-0.97541962,-9.44397745,9.26772141,,EXPECTED
756,-9.19892935,-0.65871133,-7.01015195,6.05943896,,EXPECTED
777,-14.57656199,-0.40788921,-6.94062524,5.94562232,,EXPECTED
792,-5.81609473,-1.00786044,-6.88856161,5.86181181,,EXPECTED
798,-43.00754280,-0.14928414,-6.87418272,6.42034416,,EXPECTED
816,-3.46268247,-1.15754374,-6.80317426,4.00820641,,EXPECTED
825,-5.74853368,-1.18412803,-9.02519659,6.80699985,,EXPECTED
840,-14.83594436,-0.53147891,-8.99968768,7.88499148,,EXPECTED
861,-24.93878963,-0.17758619,-6.69144106,4.42878461,,EXPECTED
882,-27.13474250,-0.25926201,-6.61029172,7.03500798,,EXPECTED
897,-11.84108394,-0.54473911,-6.59339366,6.45030148,,EXPECTED
903,-134.62200836,-0.05141105,-6.55752302,6.92105946,,EXPECTED
918,-6.49173994,-0.89618457,-6.54133702,5.81779715,,EXPECTED
936,-8.03795418,-0.71174098,-6.48522835,5.72094140,,EXPECTED
945,-50.63591216,-0.14261309,-8.61071675,7.22134383,,EXPECTED
969,-13.88041400,-0.43954267,-6.41688497,6.10103420,,EXPECTED
975,-9.59780653,-0.84454137,-8.54241565,8.10574469,,EXPECTED
990,-12.23362136,-0.65501398,-8.49533513,8.01319301,,EXPECTED
1014,-10.01717465,-0.53958904,-6.31304306,5.40515766,,EXPECTED
1023,-26.00412152,-0.20627317,-6.28936423,5.36395264,,EXPECTED
1035,-8.49298771,-0.96951419,-8.36183977,8.23407211,,EXPECTED
1056,-17.69238091,-0.35090491,-6.23117967,6.20834328,,EXPECTED
1074,-5.98294710,-0.86525008,-6.18742322,5.17674547,,EXPECTED
1089,-20.56719384,-0.29578828,-6.17589993,6.08353480,,EXPECTED
1107,-9.79578570,-0.70642355,-6.13424635,6.91997374,,EXPECTED
1116,-10.03188256,-0.63929710,-6.11397831,6.41335344,,EXPECTED
1131,-54.76196292,-0.09937848,-6.08654570,5.44216039,,EXPECTED
1140,-10.59922035,-0.64032202,-8.11150834,6.78691421,,EXPECTED
1173,-54.28283884,-0.10585512,-6.01962266,5.74611618,,EXPECTED
1275,-21.30134456,-0.31352644,-7.83971487,6.67853471,,EXPECTED
1425,-72.07037842,-0.12284408,-7.59355764,8.85341940,,EXPECTED
1566,-68.27601174,-0.06846288,-5.55599906,4.67437274,,EXPECTED
1665,-166.44753772,-0.03925372,-7.29614529,6.53368426,,EXPECTED
1770,-1677.61969263,-0.00391082,-7.18289157,6.56087678,,EXPECTED
1878,-768.67382606,-0.00694282,-5.31522288,5.33676783,,EXPECTED
1893,-420.01532836,-0.01266300,-5.31236317,5.31865370,,EXPECTED
2002,-1.36721994,-3.29356826,-7.14169737,4.50303221,,EXPECTED
2189,-1.25445136,-2.68821215,-5.64259042,3.37223139,,EXPECTED
2210,-1.49062393,-3.36194507,-7.46650234,5.01139577,,EXPECTED
2387,-1.42291097,-2.77267149,-6.42162430,3.94526466,,EXPECTED
2519,-1.80989372,-2.23592936,-5.18823722,4.04679450,,EXPECTED
