START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
4,4,3.843624,4,0.000000,,6.116053,6.284484e-01,EXPECTED
6,6,6.420804,6,0.000000,,10.422315,6.160631e-01,EXPECTED
9,9,4.827796,9,0.000000,,9.581135,5.038856e-01,EXPECTED
10,10,3.534599,10,0.000000,,8.029238,4.402160e-01,EXPECTED
12,12,4.116507,12,0.000000,,9.530089,4.319484e-01,EXPECTED
14,14,3.482312,14,0.000000,,8.981050,3.877400e-01,EXPECTED
5PR2,73,1.600699,64,0.000000,,7.147468,2.239533e-01,EXPECTED
5PR5D2,89,1.439133,89,0.000000,,6.649064,2.164414e-01,EXPECTED
5PR3,97,1.350192,103,0.000000,,6.267443,2.154295e-01,EXPECTED
7PRD2,112,1.236902,113,0.000000,,6.019700,2.054757e-01,EXPECTED
5PR4,121,1.179467,128,0.000000,,5.716063,2.063425e-01,EXPECTED
5PR9D2,136,1.097008,149,0.000000,,5.509102,1.991265e-01,EXPECTED
5PR5,163,0.997934,163,0.000000,,5.333479,1.871075e-01,EXPECTED
5PR11D2,176,0.938032,179,0.000000,,5.182440,1.810020e-01,EXPECTED
5PR6,193,1.786833,193,0.000000,,5.132424,3.481460e-01,EXPECTED
5PR13D2,208,0.850427,199,0.000000,,5.007756,1.698220e-01,EXPECTED
7PR,223,0.812153,223,0.000000,,4.898011,1.658128e-01,EXPECTED
5PR15D2,229,0.797982,239,0.000000,,4.811658,1.658435e-01,EXPECTED
5PR8,244,1.530069,251,0.000000,,4.713841,3.245907e-01,EXPECTED
5PR17D2,269,2.158676,256,0.000000,,4.678971,4.613570e-01,EXPECTED
5PR9,284,1.387431,281,0.000000,,4.565669,3.038834e-01,EXPECTED
5PR19D2,298,2.028555,293,0.000000,,4.530514,4.477538e-01,EXPECTED
5PR10,313,1.307677,311,0.000000,,4.470520,2.925112e-01,EXPECTED
7PR3D2,316,1.299160,317,0.000000,,4.415910,2.941998e-01,EXPECTED
5PR11,344,1.843951,331,0.000000,,4.371219,4.218391e-01,EXPECTED
5PR23D2,349,1.820276,353,0.000000,,4.325046,4.208686e-01,EXPECTED
5PR12,361,1.778404,373,0.000000,,4.302837,4.133096e-01,EXPECTED
5PR25D2,383,1.711893,383,0.000000,,4.240082,4.037405e-01,EXPECTED
5PR13,391,1.696451,401,0.000000,,4.204655,4.034697e-01,EXPECTED
5PR27D2,412,1.635461,419,0.000000,,4.188361,3.904776e-01,EXPECTED
7PR2,421,1.073924,433,0.000000,,4.157240,2.583262e-01,EXPECTED
5PR29D2,443,1.557969,449,0.000000,,4.142344,3.761081e-01,EXPECTED
5PR15,451,1.534933,463,0.000000,,4.104125,3.739976e-01,EXPECTED
5PR31D2,466,1.500040,479,0.000000,,4.088977,3.668497e-01,EXPECTED
5PR16,482,1.957282,491,0.000000,,4.068827,4.810433e-01,EXPECTED
5PR33D2,508,1.893605,503,0.000000,,4.033410,4.694799e-01,EXPECTED
5PR17,523,1.854786,512,0.000000,,4.025078,4.608075e-01,EXPECTED
7PR5D2,527,1.848367,538,0.000000,,4.006410,4.613524e-01,EXPECTED
5PR18,547,2.245541,547,0.000000,,3.999333,5.614789e-01,EXPECTED
5PR37D2,568,1.748805,557,0.000000,,3.982559,4.391159e-01,EXPECTED
5PR19,571,2.177803,571,0.000000,,3.958982,5.500917e-01,EXPECTED
5PR39D2,599,1.264929,587,0.000000,,3.954094,3.199036e-01,EXPECTED
5PR20,601,1.688331,601,0.000000,,3.931857,4.293979e-01,EXPECTED
5PR41D2,617,2.063947,617,0.000000,,3.928271,5.254085e-01,EXPECTED
7PR3,643,2.412175,643,0.000000,,3.923701,6.147703e-01,EXPECTED
5PR43D2,647,2.004367,659,0.000000,,3.912906,5.122451e-01,EXPECTED
5PR22,661,1.970506,673,0.000000,,3.902967,5.048739e-01,EXPECTED
5PR45D2,686,1.921278,677,0.000000,,3.892068,4.936394e-01,EXPECTED
5PR23,694,1.902397,701,0.000000,,3.880785,4.902093e-01,EXPECTED
5PR47D2,706,1.509774,719,0.000000,,3.873543,3.897656e-01,EXPECTED
5PR24,734,2.204573,733,0.000000,,3.873052,5.692082e-01,EXPECTED
7PR7D2,736,1.830934,743,0.000000,,3.866847,4.734953e-01,EXPECTED
5PR25,751,1.804239,761,0.000000,,3.862982,4.670586e-01,EXPECTED
5PR51D2,776,1.411243,773,0.000000,,3.857649,3.658298e-01,EXPECTED
5PR26,787,1.743736,787,0.000000,,3.851114,4.527874e-01,EXPECTED
5PR53D2,802,1.719901,797,0.000000,,3.847075,4.470672e-01,EXPECTED
5PR27,821,1.354319,821,0.000000,,3.844278,3.522948e-01,EXPECTED
5PR55D2,829,2.359175,827,0.000000,,3.843019,6.138859e-01,EXPECTED
7PR4,844,2.660964,853,0.000000,,3.844796,6.920950e-01,EXPECTED
5PR57D2,866,1.960720,859,0.000000,,3.842239,5.103066e-01,EXPECTED
5PR29,881,2.258801,883,0.000000,,3.838084,5.885231e-01,EXPECTED
5PR59D2,893,1.916944,887,0.000000,,3.837116,4.995794e-01,EXPECTED
5PR30,908,1.893594,907,0.000000,,3.835398,4.937151e-01,EXPECTED
5PR61D2,919,1.567584,929,0.000000,,3.835715,4.086810e-01,EXPECTED
5PR31,934,1.548955,941,0.000000,,3.835332,4.038646e-01,EXPECTED
7PR9D2,958,2.432317,953,0.000000,,3.835274,6.341964e-01,EXPECTED
5PR32,967,1.207785,971,0.000000,,3.837645,3.147204e-01,EXPECTED
5PR65D2,982,2.089719,983,0.000000,,3.838154,5.444594e-01,EXPECTED
5PR33,997,1.476024,991,0.000000,,3.838888,3.844926e-01,EXPECTED
5PR67D2,1009,2.048236,1013,0.000000,,3.841248,5.332215e-01,EXPECTED
5PR34,1033,2.018963,1024,0.000000,,3.842598,5.254161e-01,EXPECTED
5PR69D2,1048,1.712106,1039,0.000000,,3.844220,4.453715e-01,EXPECTED
7PR5,1051,1.708474,1063,0.000000,,3.848835,4.438938e-01,EXPECTED
5PR71D2,1076,1.680498,1069,0.000000,,3.849418,4.365590e-01,EXPECTED
5PR36,1087,1.943954,1093,0.000000,,3.851762,5.046921e-01,EXPECTED
5PR73D2,1109,1.643135,1109,0.000000,,3.853144,4.264401e-01,EXPECTED
5PR37,1114,1.908817,1123,0.000000,,3.856901,4.949095e-01,EXPECTED
5PR75D2,1132,2.155657,1129,0.000000,,3.861442,5.582518e-01,EXPECTED
5PR38,1147,2.140407,1151,0.000000,,3.864646,5.538430e-01,EXPECTED
11PRD2,1192,1.819796,1237,0.000000,,3.871577,4.700400e-01,EXPECTED
7PR6,1321,1.930492,1361,0.000000,,3.896173,4.954842e-01,EXPECTED
7PR13D2,1402,1.387652,1447,0.000000,,3.940072,3.521895e-01,EXPECTED
7PR7,1567,1.278525,1571,0.000000,,3.992193,3.202563e-01,EXPECTED
7PR15D2,1676,1.624110,1663,0.000000,,4.034920,4.025136e-01,EXPECTED
7PR8,1693,1.815378,1783,0.000000,,4.098089,4.429816e-01,EXPECTED
