START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
4,4,3.843624,4,0.000000,,6.116053,6.284484e-01,EXPECTED
6,6,3.210402,6,0.000000,,6.369044,5.040634e-01,EXPECTED
9,9,3.218531,9,0.000000,,7.451180,4.319492e-01,EXPECTED
10,10,3.534599,10,0.000000,,8.029238,4.402160e-01,EXPECTED
12,12,3.087381,12,0.000000,,8.138739,3.793439e-01,EXPECTED
14,14,3.482312,14,0.000000,,8.981050,3.877400e-01,EXPECTED
5PR3D2,58,1.648720,59,0.000000,,7.184824,2.294726e-01,EXPECTED
5PR2,74,1.424998,64,0.000000,,6.481151,2.198680e-01,EXPECTED
5PR5D2,89,1.299862,89,0.000000,,6.204673,2.094973e-01,EXPECTED
5PR3,97,1.231058,103,0.000000,,5.917301,2.080438e-01,EXPECTED
7PRD2,113,1.146061,109,0.000000,,5.576309,2.055232e-01,EXPECTED
5PR4,131,2.066743,128,0.000000,,5.358421,3.857000e-01,EXPECTED
5PR9D2,136,1.005591,149,0.000000,,5.204093,1.932308e-01,EXPECTED
5PR5,163,0.910396,163,0.000000,,5.095070,1.786817e-01,EXPECTED
5PR11D2,176,0.862384,179,0.000000,,4.919128,1.753124e-01,EXPECTED
5PR6,193,1.629171,193,0.000000,,4.818055,3.381387e-01,EXPECTED
5PR13D2,199,0.800545,199,0.000000,,4.727784,1.693277e-01,EXPECTED
7PR,223,0.749680,223,0.000000,,4.608493,1.626736e-01,EXPECTED
5PR15D2,229,1.476267,239,0.000000,,4.545128,3.248021e-01,EXPECTED
5PR8,244,1.405528,251,0.000000,,4.481408,3.136354e-01,EXPECTED
5PR17D2,268,1.995264,256,0.000000,,4.423418,4.510684e-01,EXPECTED
5PR9,284,1.276436,281,0.000000,,4.339690,2.941307e-01,EXPECTED
5PR19D2,296,1.868088,293,0.000000,,4.293688,4.350777e-01,EXPECTED
5PR10,313,1.200685,307,0.000000,,4.251446,2.824180e-01,EXPECTED
7PR3D2,317,1.776694,317,0.000000,,4.191911,4.238387e-01,EXPECTED
5PR11,337,1.707901,331,0.000000,,4.159902,4.105628e-01,EXPECTED
5PR23D2,349,1.672286,359,0.000000,,4.144445,4.035006e-01,EXPECTED
5PR12,361,1.638372,373,0.000000,,4.098189,3.997795e-01,EXPECTED
5PR25D2,379,1.590421,389,0.000000,,4.054852,3.922266e-01,EXPECTED
5PR13,391,1.548933,401,0.000000,,4.029061,3.844402e-01,EXPECTED
5PR27D2,412,2.000150,409,0.000000,,3.992748,5.009457e-01,EXPECTED
7PR2,421,0.986849,431,0.000000,,3.972641,2.484113e-01,EXPECTED
5PR29D2,449,1.888391,449,0.000000,,3.962028,4.766223e-01,EXPECTED
5PR15,451,1.409435,461,0.000000,,3.937260,3.579736e-01,EXPECTED
5PR31D2,467,1.831630,479,0.000000,,3.927425,4.663692e-01,EXPECTED
5PR16,491,2.219417,491,0.000000,,3.895566,5.697290e-01,EXPECTED
5PR33D2,508,1.734923,509,0.000000,,3.882148,4.468977e-01,EXPECTED
5PR17,523,1.703581,512,0.000000,,3.860497,4.412854e-01,EXPECTED
7PR5D2,527,2.111710,538,0.000000,,3.849635,5.485481e-01,EXPECTED
5PR18,544,2.066498,541,0.000000,,3.845533,5.373762e-01,EXPECTED
5PR37D2,557,1.631626,563,0.000000,,3.833673,4.256039e-01,EXPECTED
5PR19,584,2.363629,577,0.000000,,3.813692,6.197745e-01,EXPECTED
5PR39D2,599,1.938359,599,0.000000,,3.806226,5.092601e-01,EXPECTED
5PR20,601,1.544982,607,0.000000,,3.793015,4.073229e-01,EXPECTED
5PR41D2,617,1.893529,617,0.000000,,3.787198,4.999815e-01,EXPECTED
7PR3,634,2.230122,641,0.000000,,3.785034,5.891947e-01,EXPECTED
5PR43D2,652,2.190834,653,0.000000,,3.780018,5.795830e-01,EXPECTED
5PR22,664,2.165522,673,0.000000,,3.769459,5.744915e-01,EXPECTED
5PR45D2,686,2.114993,683,0.000000,,3.764026,5.618965e-01,EXPECTED
5PR23,694,1.747100,701,0.000000,,3.760758,4.645606e-01,EXPECTED
5PR47D2,706,1.382443,719,0.000000,,3.752999,3.683569e-01,EXPECTED
5PR24,724,2.040446,733,0.000000,,3.751092,5.439605e-01,EXPECTED
7PR7D2,736,1.676009,743,0.000000,,3.749581,4.469857e-01,EXPECTED
5PR25,751,1.654453,761,0.000000,,3.747577,4.414727e-01,EXPECTED
5PR51D2,776,1.939171,769,0.000000,,3.746628,5.175777e-01,EXPECTED
5PR26,787,1.919364,787,0.000000,,3.741573,5.129832e-01,EXPECTED
5PR53D2,802,1.896145,797,0.000000,,3.741613,5.067721e-01,EXPECTED
5PR27,821,1.242238,821,0.000000,,3.739486,3.321949e-01,EXPECTED
5PR55D2,839,2.449874,827,0.000000,,3.739786,6.550840e-01,EXPECTED
7PR4,844,2.437729,853,0.000000,,3.740738,6.516706e-01,EXPECTED
5PR57D2,859,1.807541,863,0.000000,,3.741973,4.830449e-01,EXPECTED
5PR29,881,2.069963,883,0.000000,,3.739489,5.535417e-01,EXPECTED
5PR59D2,899,2.042916,887,0.000000,,3.740670,5.461364e-01,EXPECTED
5PR30,904,2.033420,907,0.000000,,3.743772,5.431474e-01,EXPECTED
5PR61D2,919,2.011732,929,0.000000,,3.744972,5.371821e-01,EXPECTED
5PR31,934,1.984540,941,0.000000,,3.747834,5.295165e-01,EXPECTED
7PR9D2,958,2.230823,953,0.000000,,3.749040,5.950385e-01,EXPECTED
5PR32,967,1.662919,971,0.000000,,3.751068,4.433188e-01,EXPECTED
5PR65D2,982,2.462238,983,0.000000,,3.753268,6.560251e-01,EXPECTED
5PR33,997,1.625304,997,0.000000,,3.757032,4.326032e-01,EXPECTED
5PR67D2,1009,1.881386,1013,0.000000,,3.760484,5.003042e-01,EXPECTED
5PR34,1033,1.847489,1024,0.000000,,3.764728,4.907364e-01,EXPECTED
5PR69D2,1048,1.568660,1049,0.000000,,3.769149,4.161841e-01,EXPECTED
7PR5,1051,1.565718,1061,0.000000,,3.771621,4.151313e-01,EXPECTED
5PR71D2,1072,1.541397,1069,0.000000,,3.774468,4.083746e-01,EXPECTED
5PR36,1087,2.036523,1093,0.000000,,3.778436,5.389857e-01,EXPECTED
5PR73D2,1109,1.755611,1103,0.000000,,3.782508,4.641394e-01,EXPECTED
5PR37,1114,2.003877,1123,0.000000,,3.789867,5.287460e-01,EXPECTED
5PR75D2,1126,1.984751,1129,0.000000,,3.795618,5.229059e-01,EXPECTED
5PR38,1151,2.202551,1151,0.000000,,3.801280,5.794235e-01,EXPECTED
11PRD2,1201,1.897396,1259,0.000000,,3.807871,4.982826e-01,EXPECTED
7PR6,1319,1.993863,1361,0.000000,,3.843665,5.187401e-01,EXPECTED
7PR13D2,1402,1.484835,1429,0.000000,,3.899444,3.807812e-01,EXPECTED
7PR7,1567,1.563155,1571,0.000000,,3.963920,3.943457e-01,EXPECTED
7PR15D2,1676,1.675892,1669,0.000000,,4.016681,4.172330e-01,EXPECTED
7PR8,1753,1.802495,1783,0.000000,,4.091835,4.405102e-01,EXPECTED
7PR17D2,1871,1.717537,1889,0.000000,,3.343452,5.137017e-01,EXPECTED
7PR9,1901,1.866220,1993,0.000000,,3.190863,5.848637e-01,EXPECTED
7PR19D2,2029,1.455885,2048,0.000000,,3.134307,4.644998e-01,EXPECTED
7PR10,2104,1.891152,2203,0.000000,,2.996566,6.311064e-01,EXPECTED
7PR21D2,2221,1.815379,2293,0.000000,,2.948736,6.156465e-01,EXPECTED
11PR,2326,1.900721,2399,0.000000,,2.828385,6.720164e-01,EXPECTED
7PR23D2,2447,1.689180,2503,0.000000,,2.784462,6.066450e-01,EXPECTED
7PR12,2614,2.144258,2609,0.000000,,2.695023,7.956363e-01,EXPECTED
7PR25D2,2638,1.731270,2711,0.000000,,2.633949,6.572906e-01,EXPECTED
7PR13,2833,2.146248,2819,0.000000,,2.583031,8.309029e-01,EXPECTED
7PR27D2,2839,2.143108,2939,0.000000,,2.515952,8.518080e-01,EXPECTED
7PR14,2971,2.070648,3041,0.000000,,2.469207,8.385883e-01,EXPECTED
7PR29D2,3076,1.898897,3109,0.000000,,2.411743,7.873546e-01,EXPECTED
7PR15,3253,2.047459,3253,0.000000,,2.332988,8.776123e-01,EXPECTED
7PR31D2,3328,2.013495,3359,0.000000,,2.309007,8.720177e-01,EXPECTED
7PR16,3433,1.967059,3463,0.000000,,2.248023,8.750173e-01,EXPECTED
11PR3D2,3541,2.028619,3559,0.000000,,2.226405,9.111635e-01,EXPECTED
7PR17,3653,1.980774,3673,0.021479,4.524167e+00,2.202198,8.896997e-01,EXPECTED
7PR35D2,3769,2.036278,3761,0.060603,3.514535e+00,2.164401,9.128045e-01,EXPECTED
7PR18,3827,1.911510,3863,0.100376,2.946726e+00,2.123313,8.529755e-01,EXPECTED
7PR37D2,3931,2.071363,3967,0.130522,2.764420e+00,2.094138,9.267971e-01,EXPECTED
7PR19,4021,1.841921,4073,0.165252,2.411093e+00,2.063577,8.125061e-01,EXPECTED
7PR39D2,4189,2.160516,4096,0.194427,2.408046e+00,2.030954,9.680618e-01,EXPECTED
7PR20,4282,2.033538,4283,0.225081,2.201072e+00,1.997607,9.053117e-01,EXPECTED
7PR41D2,4387,2.176610,4391,0.254433,2.146486e+00,1.959705,9.808502e-01,EXPECTED
7PR21,4492,2.048825,4493,0.282700,1.980635e+00,1.941366,9.097331e-01,EXPECTED
7PR43D2,4534,2.034148,4597,0.308556,1.885929e+00,1.922260,8.976892e-01,EXPECTED
11PR2,4702,1.978930,4723,0.333320,1.781209e+00,1.893773,8.689584e-01,EXPECTED
7PR45D2,4744,2.050807,4789,0.358422,1.744278e+00,1.858079,9.108251e-01,EXPECTED
7PR23,4919,1.994653,4933,0.382330,1.651941e+00,1.846242,8.732999e-01,EXPECTED
7PR47D2,5029,2.042776,5039,0.404858,1.618529e+00,1.825052,8.974637e-01,EXPECTED
7PR24,5048,2.282233,5081,0.427229,1.675589e+00,1.798230,1.031572e+00,EXPECTED
7PR49D2,5179,2.157139,5237,0.447791,1.572211e+00,1.782406,9.590116e-01,EXPECTED
7PR25,5308,2.274380,5351,0.470562,1.575535e+00,1.761036,1.024294e+00,EXPECTED
7PR51D2,5416,1.853551,5441,0.490631,1.329166e+00,1.738318,7.840453e-01,EXPECTED
7PR26,5557,2.120042,5557,0.508088,1.428537e+00,1.717014,9.388124e-01,EXPECTED
7PR53D2,5626,2.099391,5651,0.525778,1.384524e+00,1.701251,9.249740e-01,EXPECTED
7PR27,5708,2.150311,5749,0.544730,1.373078e+00,1.681337,9.549430e-01,EXPECTED
