n,ratio,c_pred,baseline,c_meas,lambda,status
4,-1.14335793,-3.36169805,-6.23183504,3.84362411,,EXPECTED
5,-2.99673803,-0.86436998,-5.13046327,2.59029039,,EXPECTED
6,-0.86635085,-3.70566033,-9.11946764,3.21040200,,EXPECTED
7,-0.00000000,-2.58135200,-5.97438848,0.00000000,,EXPECTED
8,-0.71927203,-4.00782731,-6.82246512,2.88271808,,EXPECTED
9,-2.27817081,-2.11915447,-7.93952153,4.82779584,,EXPECTED
10,-0.75138695,-3.52807440,-7.16962510,2.65094906,,EXPECTED
11,-0.00000000,-3.89800959,-6.99547781,0.00000000,,EXPECTED
12,-1.62007074,-3.04913158,-8.61506865,4.93980885,,EXPECTED
13,-0.00000000,-5.02265469,-8.00414189,0.00000000,,EXPECTED
14,-0.50765690,-4.57305160,-7.85204646,2.32154120,,EXPECTED
15,-3.03403839,-1.61139159,-8.99136029,4.88902393,,EXPECTED
30,-4.85436608,-1.46648553,-8.72701518,7.11885762,,EXPECTED
45,-3.68363672,-1.57351882,-8.81487074,5.79627172,,EXPECTED
60,-3.39490962,-1.82884456,-9.04426409,6.20876200,,EXPECTED
84,-2.34144194,-2.20648306,-8.67636770,5.16635197,,EXPECTED
99,-2.64594727,-2.12804709,-8.11730796,5.63070038,,EXPECTED
105,-4.27070690,-1.90185262,-10.53375635,8.12225510,,EXPECTED
126,-5.91742369,-0.97083121,-7.43205538,5.74481961,,EXPECTED
147,-11.57415414,-0.51384520,-6.96965325,5.94732356,,EXPECTED
153,-4.58423529,-1.10401426,-6.84565580,5.06106114,,EXPECTED
168,-41.71490736,-0.14713047,-6.60226488,6.13753407,,EXPECTED
186,-7.12203493,-0.81198160,-6.37348436,5.78296129,,EXPECTED
198,-17.34336599,-0.28666247,-6.25479031,4.97169212,,EXPECTED
222,-12.19176503,-0.47408925,-5.99871184,5.77998473,,EXPECTED
234,-764.00713992,-0.00728097,-5.86657877,5.56271560,,EXPECTED
249,-16.09448547,-0.29865365,-5.73569194,4.80667681,,EXPECTED
261,-49.95244427,-0.09376144,-5.65987689,4.68361321,,EXPECTED
282,-427.52871767,-0.01385186,-5.50041384,5.92206798,,EXPECTED
291,-222.03534529,-0.02397861,-5.44621278,5.32409873,,EXPECTED
300,-173.54164747,-0.03831419,-7.19269191,6.64910778,,EXPECTED
329,-1.96978154,-1.81918166,-5.10930869,3.58339045,,EXPECTED
343,-1.60872611,-1.88901039,-5.10688747,3.03890035,,EXPECTED
350,-1.86778544,-2.52618141,-6.81582137,4.71836487,,EXPECTED
371,-2.01497675,-1.83924482,-5.12017250,3.70603555,,EXPECTED
385,-1.93722962,-2.07894737,-6.84515612,4.02739843,,EXPECTED
392,-1.44903624,-1.92454464,-5.14116347,2.78873492,,EXPECTED
413,-2.03635516,-1.88540624,-5.15785760,3.83935671,,EXPECTED
434,-1.80392834,-1.85866433,-5.18454291,3.35289726,,EXPECTED
442,-1.59390149,-2.07434528,-5.19195023,3.30630203,,EXPECTED
455,-2.38335709,-2.26680341,-6.94391636,5.40260199,,EXPECTED
476,-2.12451141,-1.80564409,-5.23454432,3.83611147,,EXPECTED
494,-1.41319617,-2.16820396,-5.26205359,3.06409754,,EXPECTED
506,-1.39207960,-2.16079493,-5.27860755,3.00799853,,EXPECTED
518,-1.81873126,-1.99371188,-5.29973774,3.62602613,,EXPECTED
532,-1.85621960,-1.92150702,-5.32434447,3.56673900,,EXPECTED
553,-1.49819518,-2.10444233,-5.35957608,3.15286535,,EXPECTED
