n,ratio,c_pred,baseline,c_meas,lambda,status
4,0.42228476,9.10197203,6.23183504,3.84362411,-0.86207540,EXPECTED
5,0.27566379,9.39655656,5.13046327,2.59029039,-1.28857331,EXPECTED
6,0.22090011,14.53327495,9.11946764,3.21040200,-1.51004468,EXPECTED
7,0.00000000,9.36742496,5.97438848,0.00000000,,EXPECTED
8,0.24963060,8.66095151,5.84631371,2.16203856,-1.38777304,EXPECTED
9,0.30759837,12.55610253,6.73573546,3.86223667,-1.17896034,EXPECTED
10,0.20578313,10.30579715,6.45042512,2.12075924,-1.58093241,EXPECTED
11,0.19595924,9.78077835,6.48254266,1.91663391,-1.62984859,EXPECTED
12,0.41646287,12.70858145,6.81375109,5.29265234,-0.87595796,EXPECTED
13,0.16444809,10.00158367,6.71695733,1.64474130,-1.80516034,EXPECTED
14,0.30870251,10.02709134,6.43999875,3.09538826,-1.17537722,EXPECTED
27,0.43153910,12.58581269,6.60782629,5.43127032,-0.84039715,EXPECTED
42,0.42201320,14.04396961,6.94863982,5.92674056,-0.86271869,EXPECTED
57,0.45802283,12.41347936,6.17229696,5.68565689,-0.78083626,EXPECTED
63,0.50905573,12.96938645,5.86940676,6.60214052,-0.67519777,EXPECTED
84,0.49384702,12.31797976,5.25316299,6.08319754,-0.70552950,EXPECTED
99,0.47746087,11.44615584,4.92803638,5.46509155,-0.73927307,EXPECTED
108,0.53068749,10.66047629,4.78570754,5.65738137,-0.63358197,EXPECTED
123,0.53232137,10.57061330,4.56487386,5.62696332,-0.63050790,EXPECTED
147,0.57445411,11.33852631,4.28062014,6.51346301,-0.55433507,EXPECTED
162,0.57497616,10.00375250,4.14956771,5.75191922,-0.55342670,EXPECTED
177,0.57593940,10.01056766,4.03821613,5.76548029,-0.55175284,EXPECTED
189,0.58767758,11.00079470,3.94850390,6.46492042,-0.53157681,EXPECTED
195,0.55505307,13.73991835,5.22941427,7.62638382,-0.58869155,EXPECTED
210,0.58455714,14.49229254,5.12201480,8.47157302,-0.53690075,EXPECTED
231,0.61439528,11.53345944,3.74071876,7.08610300,-0.48711679,EXPECTED
243,0.60140568,9.53494966,3.68506303,5.73437289,-0.50848556,EXPECTED
261,0.59049277,9.69430358,3.62055781,5.72441615,-0.52679789,EXPECTED
273,0.64894806,11.24920887,3.57682162,7.30015233,-0.43240259,EXPECTED
294,0.59079425,10.53045751,3.51691504,6.22133373,-0.52628746,EXPECTED
312,0.60638750,9.85483411,3.47328503,5.97584826,-0.50023605,EXPECTED
315,0.60381947,13.98462525,4.62062143,8.44418898,-0.50448002,EXPECTED
336,0.62814401,10.42665640,3.42106996,6.54944173,-0.46498583,EXPECTED
357,0.65530118,10.86360935,3.38262759,7.11893606,-0.42266033,EXPECTED
360,0.62626786,12.29371745,4.50245372,7.69916015,-0.46797710,EXPECTED
384,0.60730240,9.17193065,3.33926166,5.57013545,-0.49872843,EXPECTED
399,0.66659522,10.73244431,3.31602250,7.15419611,-0.40557228,EXPECTED
408,0.62005754,9.53350387,3.30729222,5.91132097,-0.47794300,EXPECTED
429,0.65603202,10.36097770,3.27999603,6.79713310,-0.42154568,EXPECTED
444,0.63959511,9.26197023,3.26633353,5.92391084,-0.44691995,EXPECTED
462,0.69565581,11.02335051,3.24776131,7.66845781,-0.36290027,EXPECTED
477,0.63131902,9.18640987,3.23709940,5.79955529,-0.45994396,EXPECTED
483,0.67161552,10.56816091,3.23194305,7.09774091,-0.39806924,EXPECTED
504,0.62681780,10.20826043,3.21839122,6.39871933,-0.46709937,EXPECTED
513,0.63856066,9.38192715,3.21206641,5.99092963,-0.44853860,EXPECTED
528,0.65616401,9.68015388,3.20501792,6.35176860,-0.42134450,EXPECTED
552,0.66071707,9.29938192,3.19173056,6.14426034,-0.41442957,EXPECTED
567,0.66725487,10.17305260,3.18694626,6.78801885,-0.40458320,EXPECTED
582,0.66911588,9.06419861,3.18075640,6.06499921,-0.40179802,EXPECTED
588,0.66425355,10.16575926,3.17852619,6.75264167,-0.40909135,EXPECTED
