n,ratio,c_pred,baseline,c_meas,lambda,status
4,-1.14335793,-3.36169805,-6.23183504,3.84362411,,EXPECTED
5,-2.99673803,-0.86436998,-5.13046327,2.59029039,,EXPECTED
6,-0.86635085,-3.70566033,-9.11946764,3.21040200,,EXPECTED
7,-0.00000000,-2.58135200,-5.97438848,0.00000000,,EXPECTED
8,-0.71314963,-3.03167590,-5.84631371,2.16203856,,EXPECTED
9,-4.21932492,-0.91536839,-6.73573546,3.86223667,,EXPECTED
10,-0.81723155,-2.59505308,-6.45042512,2.12075924,,EXPECTED
11,-0.60189986,-3.18430697,-6.48254266,1.91663391,,EXPECTED
12,-5.75963971,-0.91892073,-6.81375109,5.29265234,,EXPECTED
13,-0.47919076,-3.43233098,-6.71695733,1.64474130,,EXPECTED
14,-1.08499477,-2.85290616,-6.43999875,3.09538826,,EXPECTED
27,-8.62325547,-0.62983990,-6.60782629,5.43127032,,EXPECTED
33,-14.39827537,-0.27171177,-6.78434655,3.91218084,,EXPECTED
51,-33.64468316,-0.15689758,-6.41521529,5.27876925,,EXPECTED
60,-47.15888005,-0.15959964,-8.01774030,7.52654005,,EXPECTED
77,-12.60729358,-0.27630373,-4.19571083,3.48344225,,EXPECTED
91,-8.84690479,-0.29870089,-4.12819022,2.64257838,,EXPECTED
119,-13.18236604,-0.23323721,-4.00674334,3.07461826,,EXPECTED
133,-10.92944971,-0.26183253,-3.98951130,2.86168551,,EXPECTED
143,-9.16550050,-0.42654477,-3.98891259,3.90949632,,EXPECTED
154,-31.57151202,-0.09454127,-3.99257903,2.98481077,,EXPECTED
175,-5.82117587,-0.64623730,-5.34064587,3.76186097,,EXPECTED
182,-21.52971913,-0.16977448,-4.01133386,3.65519683,,EXPECTED
203,-8.42094338,-0.40301773,-4.04655073,3.39378946,,EXPECTED
217,-7.39656656,-0.43922234,-4.07831139,3.24873725,,EXPECTED
238,-8.52434820,-0.39032957,-4.13120486,3.32730515,,EXPECTED
245,-5.41456330,-0.85218655,-5.53276013,4.61421805,,EXPECTED
266,-8.32893661,-0.49290885,-4.21331267,4.10540656,,EXPECTED
280,-3.69081387,-1.00812539,-5.68018210,3.72080319,,EXPECTED
287,-4.25562949,-0.68682340,-4.28347087,2.92286591,,EXPECTED
308,-8.07002258,-0.46005861,-4.35917563,3.71268337,,EXPECTED
323,-3.17153448,-0.98895183,-4.29500212,3.13649483,,EXPECTED
341,-3.72485486,-0.81162544,-4.16851143,3.02318695,,EXPECTED
352,-3.95846014,-0.85521170,-4.10061787,3.38532141,,EXPECTED
374,-7.43674712,-0.48961827,-3.95405010,3.64116727,,EXPECTED
377,-4.81055658,-0.62704119,-3.93523030,3.01641711,,EXPECTED
403,-5.79098982,-0.49714803,-3.79114501,2.87897919,,EXPECTED
418,-10.56222309,-0.28370623,-3.71824649,2.99656852,,EXPECTED
425,-5.63229003,-0.75541964,-4.90917615,4.25474251,,EXPECTED
442,-15.99482658,-0.21395785,-3.60525101,3.42221876,,EXPECTED
451,-10.35218037,-0.23995792,-3.56271676,2.48408771,,EXPECTED
473,-20.46067241,-0.15100600,-3.47139724,3.08968420,,EXPECTED
494,-234.54817634,-0.01417051,-3.38452156,3.32366711,,EXPECTED
509,-7.09578700,-0.41314346,-3.33220574,2.93157798,,EXPECTED
520,-24.48077350,-0.15059302,-4.38822939,3.68663369,,EXPECTED
527,-66.58786426,-0.05004909,-3.26584000,3.33266205,,EXPECTED
544,-25.62542943,-0.10302036,-3.21195969,2.63994109,,EXPECTED
