START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
4,4,3.84362411,4,9.10197203,-8.620754e-01,6.116053,-0.859762,EXPECTED
5,5,2.59029039,5,9.39655656,-1.288573e+00,4.996182,-1.362293,EXPECTED
6,6,3.21040200,6,14.53327495,-1.510045e+00,6.369044,-1.777798,EXPECTED
8,8,2.16203856,8,8.66095151,-1.387773e+00,5.575458,-1.165629,EXPECTED
9,9,3.86223667,9,12.55610253,-1.178960e+00,5.497686,-1.581368,EXPECTED
10,10,2.12075924,10,10.30579715,-1.580932e+00,6.116696,-1.338147,EXPECTED
11,11,1.91663391,11,9.78077835,-1.629849e+00,6.116062,-1.285818,EXPECTED
12,12,5.29265234,12,12.70858145,-8.759580e-01,5.358197,-1.384034,EXPECTED
13,13,1.64474130,13,10.00158367,-1.805160e+00,6.280426,-1.330617,EXPECTED
14,14,3.09538826,14,10.02709134,-1.175377e+00,6.410240,-1.081348,EXPECTED
5PRD2,27,5.43127032,15,14.55568047,-9.858083e-01,5.242447,-1.740487,EXPECTED
5PR,42,5.92674056,30,14.49358501,-8.942317e-01,4.302956,-1.990921,EXPECTED
5PR3D2,45,6.62431054,45,16.92354717,-9.379597e-01,3.986454,-2.583558,EXPECTED
5PR2,60,7.52654005,60,15.87588097,-7.463656e-01,3.532627,-2.363493,EXPECTED
5PR5D2,75,6.50945205,75,15.12950771,-8.433917e-01,3.274978,-2.632096,EXPECTED
5PR3,90,6.83708395,90,14.65582438,-7.624765e-01,3.144661,-2.486354,EXPECTED
7PRD2,105,8.18241996,105,15.86146311,-6.619045e-01,3.115054,-2.465140,EXPECTED
5PR4,120,6.61156073,120,13.94360116,-7.462010e-01,3.026545,-2.422578,EXPECTED
5PR9D2,135,6.87477733,135,13.69074527,-6.888608e-01,2.958955,-2.303505,EXPECTED
5PR5,150,7.55081686,150,13.50387949,-5.813213e-01,2.898995,-2.053492,EXPECTED
5PR11D2,165,7.80346860,165,14.17853177,-5.971606e-01,2.851268,-2.235870,EXPECTED
5PR6,189,6.46492042,180,13.17651982,-7.120457e-01,2.813888,-2.385169,EXPECTED
5PR13D2,195,7.62638382,195,13.73991835,-5.886916e-01,2.786784,-2.193760,EXPECTED
7PR,210,8.47157302,210,14.49229254,-5.369008e-01,2.784226,-2.162439,EXPECTED
5PR15D2,231,7.08610300,225,12.83503288,-5.940428e-01,2.765387,-2.078888,EXPECTED
5PR8,240,7.16488512,240,12.72591005,-5.744480e-01,2.757488,-2.016700,EXPECTED
5PR17D2,255,7.67640042,255,13.18542453,-5.409613e-01,2.751797,-2.001973,EXPECTED
5PR9,273,7.30015233,270,12.59321100,-5.452626e-01,2.746975,-1.926868,EXPECTED
5PR19D2,285,6.85530843,285,12.97650807,-6.381173e-01,2.743955,-2.230794,EXPECTED
5PR10,300,6.86153383,300,12.47041533,-5.974281e-01,2.747557,-2.041407,EXPECTED
7PR3D2,315,8.44418898,315,13.98462525,-5.044800e-01,2.752867,-2.012606,EXPECTED
5PR11,330,8.18612235,330,13.22634971,-4.797707e-01,2.754119,-1.830069,EXPECTED
5PR23D2,345,7.70716244,345,12.69555079,-4.991015e-01,2.759582,-1.807661,EXPECTED
