START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
4,4,3.843624,4,0.000000,,6.116053,6.284484e-01,EXPECTED
5,5,2.590290,5,0.000000,,4.996182,5.184539e-01,EXPECTED
6,6,3.210402,6,0.000000,,6.369044,5.040634e-01,EXPECTED
8,8,2.162039,8,0.000000,,5.575458,3.877778e-01,EXPECTED
9,9,3.862237,9,0.000000,,5.497686,7.025205e-01,EXPECTED
10,10,2.120759,10,0.000000,,6.116696,3.467164e-01,EXPECTED
11,11,1.916634,11,0.000000,,6.116062,3.133771e-01,EXPECTED
12,12,5.292652,12,0.000000,,5.358197,9.877673e-01,EXPECTED
13,13,1.644741,13,0.000000,,6.280426,2.618837e-01,EXPECTED
14,14,3.095388,14,0.000000,,6.410240,4.828818e-01,EXPECTED
5PRD2,23,1.228915,29,0.000000,,5.242447,2.344163e-01,EXPECTED
5PR,34,0.956555,32,0.000000,,4.302956,2.223018e-01,EXPECTED
5PR3D2,53,2.199519,47,0.000000,,3.986454,5.517482e-01,EXPECTED
5PR2,67,1.928666,64,0.000000,,3.532627,5.459580e-01,EXPECTED
5PR5D2,79,1.735643,79,0.000000,,3.274978,5.299709e-01,EXPECTED
5PR3,103,1.930851,97,0.000000,,3.144661,6.140093e-01,EXPECTED
7PRD2,116,2.237289,109,0.000000,,3.115054,7.182184e-01,EXPECTED
5PR4,124,2.151399,128,0.000000,,3.026545,7.108432e-01,EXPECTED
5PR9D2,142,1.964818,139,0.000000,,2.958955,6.640243e-01,EXPECTED
5PR5,163,1.789399,157,0.000000,,2.898995,6.172480e-01,EXPECTED
5PR11D2,166,2.118845,167,0.000000,,2.851268,7.431238e-01,EXPECTED
5PR6,181,1.668171,191,0.000000,,2.813888,5.928349e-01,EXPECTED
5PR13D2,199,1.565312,199,0.000000,,2.786784,5.616912e-01,EXPECTED
7PR,214,2.088662,211,0.000000,,2.784226,7.501769e-01,EXPECTED
5PR15D2,229,1.987282,239,0.000000,,2.765387,7.186271e-01,EXPECTED
5PR8,241,2.197845,241,0.000000,,2.757488,7.970461e-01,EXPECTED
5PR17D2,256,2.375459,256,0.000000,,2.751797,8.632392e-01,EXPECTED
5PR9,277,2.000289,281,0.000000,,2.746975,7.281788e-01,EXPECTED
5PR19D2,298,2.369115,293,0.000000,,2.743955,8.633943e-01,EXPECTED
5PR10,313,1.834381,311,0.000000,,2.747557,6.676407e-01,EXPECTED
7PR3D2,316,1.821502,317,0.000000,,2.752867,6.616745e-01,EXPECTED
5PR11,334,2.192816,331,0.000000,,2.754119,7.961951e-01,EXPECTED
5PR23D2,346,2.136303,349,0.000000,,2.759582,7.741401e-01,EXPECTED
5PR12,361,2.491896,373,0.000000,,2.771234,8.992009e-01,EXPECTED
5PR25D2,389,2.364384,383,0.000000,,2.781889,8.499203e-01,EXPECTED
5PR13,404,2.490536,401,0.000000,,2.794848,8.911168e-01,EXPECTED
5PR27D2,419,2.617346,409,0.000000,,2.807946,9.321212e-01,EXPECTED
7PR2,433,2.371783,421,0.000000,,2.812880,8.431867e-01,EXPECTED
5PR29D2,439,2.172389,439,0.000000,,2.826316,7.686292e-01,EXPECTED
5PR15,451,2.484088,461,0.000000,,2.846111,8.728008e-01,EXPECTED
5PR31D2,466,2.603518,467,0.000000,,2.856146,9.115493e-01,EXPECTED
5PR16,491,2.170204,491,0.000000,,2.878367,7.539706e-01,EXPECTED
5PR33D2,496,2.158537,503,0.000000,,2.892531,7.462451e-01,EXPECTED
5PR17,514,2.425229,512,0.000000,,2.918300,8.310417e-01,EXPECTED
7PR5D2,526,2.224923,526,0.000000,,2.937263,7.574817e-01,EXPECTED
5PR18,548,2.471090,541,0.000000,,2.944808,8.391345e-01,EXPECTED
5PR37D2,556,2.138928,569,0.000000,,2.962828,7.219211e-01,EXPECTED
5PR19,571,2.250802,571,0.000000,,2.991163,7.524839e-01,EXPECTED
5PR39D2,593,2.479793,587,0.000000,,3.011856,8.233438e-01,EXPECTED
5PR20,601,2.459414,601,0.000000,,3.038993,8.092858e-01,EXPECTED
5PR41D2,619,2.264139,619,0.000000,,3.060883,7.397013e-01,EXPECTED
7PR3,631,2.515024,631,0.000000,,3.083275,8.156989e-01,EXPECTED
5PR43D2,653,2.451200,647,0.000000,,3.092358,7.926637e-01,EXPECTED
5PR22,661,2.293985,661,0.026569,4.458301e+00,2.545688,8.906889e-01,EXPECTED
5PR45D2,677,2.655002,677,0.061801,3.760281e+00,2.515976,1.030694e+00,EXPECTED
5PR23,694,2.475723,701,0.094649,3.264112e+00,2.459377,9.681614e-01,EXPECTED
5PR47D2,706,1.932420,709,0.124581,2.741572e+00,2.430224,7.438981e-01,EXPECTED
5PR24,724,2.401837,733,0.166479,2.669120e+00,2.398963,9.318018e-01,EXPECTED
7PR7D2,736,2.497206,739,0.191537,2.567847e+00,2.371739,9.721428e-01,EXPECTED
5PR25,757,2.448382,751,0.212820,2.442736e+00,2.361883,9.465168e-01,EXPECTED
5PR51D2,772,2.412496,769,0.245874,2.283598e+00,2.332989,9.286893e-01,EXPECTED
5PR26,787,2.261955,787,0.275420,2.105688e+00,2.296835,8.649010e-01,EXPECTED
5PR53D2,802,2.347371,797,0.293793,2.078176e+00,2.270091,9.046236e-01,EXPECTED
5PR27,811,2.444106,811,0.318843,2.036736e+00,2.239938,9.488044e-01,EXPECTED
5PR55D2,829,2.750946,829,0.343944,2.079221e+00,2.229866,1.079438e+00,EXPECTED
7PR4,841,2.494510,853,0.372302,1.902142e+00,2.205234,9.623505e-01,EXPECTED
5PR57D2,859,2.120215,863,0.393592,1.683958e+00,2.181354,7.915373e-01,EXPECTED
5PR29,877,2.529782,881,0.419107,1.797762e+00,2.152852,9.804088e-01,EXPECTED
5PR59D2,892,2.389002,887,0.434422,1.704615e+00,2.139375,9.136220e-01,EXPECTED
5PR30,907,2.469201,911,0.461918,1.676263e+00,2.110946,9.508926e-01,EXPECTED
5PR61D2,916,2.557395,919,0.479259,1.674503e+00,2.084280,9.970522e-01,EXPECTED
5PR31,944,2.604008,941,0.503214,1.643792e+00,2.063889,1.017881e+00,EXPECTED
7PR9D2,958,2.578016,953,0.512845,1.614802e+00,2.057852,1.003557e+00,EXPECTED
5PR32,971,2.653928,971,0.539555,1.593051e+00,2.039476,1.036724e+00,EXPECTED
5PR65D2,982,2.428988,977,0.552547,1.480691e+00,2.012767,9.322694e-01,EXPECTED
5PR33,997,2.403811,991,0.568418,1.441954e+00,1.996086,9.194960e-01,EXPECTED
5PR67D2,1009,2.382122,1009,0.589681,1.396165e+00,1.973303,9.083456e-01,EXPECTED
5PR34,1024,2.159339,1024,0.605198,1.272002e+00,1.955832,7.946189e-01,EXPECTED
5PR69D2,1039,2.526535,1039,0.621572,1.402352e+00,1.940454,9.817100e-01,EXPECTED
7PR5,1063,2.578666,1051,0.635380,1.400804e+00,1.923797,1.010130e+00,EXPECTED
5PR71D2,1069,2.567684,1069,0.655576,1.365245e+00,1.911840,1.000140e+00,EXPECTED
5PR36,1087,2.443828,1091,0.670571,1.293191e+00,1.902717,9.319605e-01,EXPECTED
5PR73D2,1109,2.406940,1097,0.684196,1.257867e+00,1.888005,9.124679e-01,EXPECTED
5PR37,1114,2.490995,1123,0.704317,1.263209e+00,1.866539,9.572144e-01,EXPECTED
5PR75D2,1126,2.196286,1129,0.712880,1.125210e+00,1.849152,8.022088e-01,EXPECTED
5PR38,1142,2.537361,1151,0.728187,1.248322e+00,1.834638,9.861204e-01,EXPECTED
11PRD2,1213,2.425805,1249,0.746311,1.178776e+00,1.814861,9.254119e-01,EXPECTED
7PR6,1336,2.178634,1361,0.831485,9.632401e-01,1.739017,7.746612e-01,EXPECTED
7PR13D2,1468,2.256079,1451,0.906262,9.120552e-01,1.652007,8.170770e-01,EXPECTED
7PR7,1546,2.243897,1559,0.972849,8.357405e-01,1.574572,8.072340e-01,EXPECTED
7PR15D2,1609,2.388505,1663,1.033957,8.372745e-01,1.523111,8.893298e-01,EXPECTED
7PR8,1753,2.371121,1783,1.091163,7.761187e-01,1.462951,8.749152e-01,EXPECTED
