n,ratio,c_pred,baseline,c_meas,lambda,status
4,0.42228476,9.10197203,6.23183504,3.84362411,-0.86207540,EXPECTED
5,0.27566379,9.39655656,5.13046327,2.59029039,-1.28857331,EXPECTED
6,0.22090011,14.53327495,9.11946764,3.21040200,-1.51004468,EXPECTED
7,0.00000000,9.36742496,5.97438848,0.00000000,,EXPECTED
8,0.24963060,8.66095151,5.84631371,2.16203856,-1.38777304,EXPECTED
9,0.35086010,13.75988860,7.93952153,4.82779584,-1.04736772,EXPECTED
10,0.20578313,10.30579715,6.45042512,2.12075924,-1.58093241,EXPECTED
11,0.00000000,10.09294603,6.99547781,0.00000000,,EXPECTED
12,0.31336244,13.13656898,7.57063190,4.11650737,-1.16039479,EXPECTED
13,0.20870725,10.50748573,7.41724801,2.19298840,-1.56682275,EXPECTED
14,0.18405975,10.81112242,7.42058115,1.98989245,-1.69249486,EXPECTED
21,0.37563121,14.80566562,8.14141065,5.56147012,-0.97914744,EXPECTED
30,0.39999558,15.42436214,8.08363803,6.16967660,-0.91630179,EXPECTED
45,0.41827335,15.74729152,8.46062958,6.58667241,-0.87162011,EXPECTED
72,0.43918270,13.88174973,8.45607532,6.09662436,-0.82283977,EXPECTED
77,0.42009414,9.45584830,5.83517392,3.97234643,-0.86727646,EXPECTED
92,0.42208990,8.42456915,5.58757965,3.55592555,-0.86253695,EXPECTED
105,0.44929086,18.54148125,9.87461542,8.33051805,-0.80008481,EXPECTED
132,0.50977713,12.75517551,6.75074881,6.50229671,-0.67378166,EXPECTED
138,0.45749819,12.30527598,6.64113075,5.62964148,-0.78198235,EXPECTED
162,0.43829793,11.66516370,6.26383958,5.11281708,-0.82485640,EXPECTED
165,0.46710773,16.33550940,8.33468322,7.63044269,-0.76119537,EXPECTED
189,0.56451755,12.42676415,5.95100976,7.01512641,-0.57178381,EXPECTED
204,0.48128436,11.52243689,5.77102047,5.54556868,-0.73129700,EXPECTED
222,0.51880655,11.15096155,5.60479294,5.78519192,-0.65622420,EXPECTED
237,0.55495590,10.95815221,5.49788143,6.08129119,-0.58886663,EXPECTED
252,0.57412225,11.83433058,5.37003992,6.79435245,-0.55491293,EXPECTED
255,0.48968092,14.81228162,7.15142854,7.25329173,-0.71400128,EXPECTED
273,0.56452312,12.29545353,5.24371405,6.94106775,-0.57177394,EXPECTED
291,0.54568612,10.57639102,5.13608344,5.77138979,-0.60571134,EXPECTED
312,0.62157525,10.88453257,5.01298759,6.76555602,-0.47549830,EXPECTED
321,0.55977225,10.41346413,4.97919906,5.82916821,-0.58022528,EXPECTED
333,0.54403907,10.45910156,4.92313634,5.69015986,-0.60873422,EXPECTED
351,0.58623332,10.71403831,4.84518766,6.28092620,-0.53403742,EXPECTED
366,0.59447340,10.24844729,4.77702517,6.09242934,-0.52007930,EXPECTED
384,0.54839014,10.08923221,4.71114071,5.53283544,-0.60076832,EXPECTED
399,0.53289306,11.49976085,4.66742459,6.12814272,-0.62943452,EXPECTED
414,0.54783321,10.24637413,4.61258393,5.61330407,-0.60178439,EXPECTED
429,0.55723514,11.09185740,4.57434171,6.18077271,-0.58476797,EXPECTED
444,0.66587236,10.05497384,4.52601269,6.69532921,-0.40665727,EXPECTED
462,0.64366776,11.64644024,4.47900665,7.49643810,-0.44057259,EXPECTED
477,0.57953738,9.92806771,4.44775284,5.75368634,-0.54552512,EXPECTED
483,0.59485443,11.18924635,4.43357860,6.65597280,-0.51943855,EXPECTED
501,0.56788705,9.79957478,4.39298829,5.56505156,-0.56583274,EXPECTED
513,0.63524780,10.05712222,4.36744324,6.38876481,-0.45374011,EXPECTED
528,0.57803485,10.30177166,4.33251472,5.95478306,-0.54812111,EXPECTED
552,0.58264543,9.91501882,4.28764878,5.77694043,-0.54017646,EXPECTED
561,0.56468478,10.64276066,4.27595245,6.00980501,-0.57148761,EXPECTED
570,0.59673907,13.25894770,5.67529214,7.91213209,-0.51627533,EXPECTED
597,0.65591152,9.61520560,4.21702057,6.30672417,-0.42172937,EXPECTED
