alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0009765625,990693,-0.60440221,917721,-0.35761172
0.0009765625,768747,-0.63552754,751233,-0.44810837
0.0009765625,572418,-0.55727442,516621,-0.44982771
0.0009765625,300951,-0.50326092,327768,-0.39217551
0.0009765625,252090,-0.79732902,267657,-0.32066916
0.0009765625,236589,-0.81051015,244443,-0.34033928
0.0009765625,224151,-0.76625544,219819,-0.35662317
0.0009765625,215484,-0.88136862,207369,-0.50573806
0.0009765625,202704,-0.85783852,190683,-0.28417324
0.0009765625,184677,-0.80787592,185694,-0.35846023
0.0009765625,174513,-0.93587904,162765,-0.58476294
0.0009765625,156669,-0.88629764,151602,-0.49064321
0.0009765625,143379,-0.85478055,136437,-0.46614801
0.0009765625,133137,-0.82114477,127599,-0.51434775
0.0009765625,117894,-0.8069138,113097,-0.46803133
0.0009765625,103902,-0.90643219,103986,-0.57462185
0.0009765625,91757,-0.84295234,86319,-0.66796829
0.0009765625,65894,-0.96578401,77584,-0.53862816
0.0009765625,60682,-0.92622677,55818,-0.54933621
0.0009765625,44095,-1.08061299,42462,-0.65798631
0.0009765625,29226,-1.00034835,33609,-0.58765327
0.0009765625,14883,-1.01682995,21508,-0.55787304
0.0009765625,14246,-1.53594359,14334,-0.97050557
0.0009765625,12326,-1.51636564,12279,-0.89430931
0.0009765625,11402,-1.49820906,11166,-0.85352392
0.0009765625,10337,-1.47929786,9621,-0.81109408
0.0009765625,9343,-1.45936176,8739,-0.76511361
0.0009765625,7303,-1.34776823,7554,-0.71642014
0.0009765625,6424,-1.25229698,6828,-0.66315287
0.0009765625,5276,-1.1415121,5652,-0.60596415
0.0009765625,4394,-1.02476415,4076,-0.88559021
0.0009765625,2139,-1.07857402,1998,-0.04595282
0.0009765625,1230,-0.06890864,1878,-0.04556843
0.0009765625,1032,-0.05465478,1062,-0.05386534
0.001953125,988611,-0.51326729,942051,-0.40842943
0.001953125,739362,-0.57310437,824121,-0.43066687
0.001953125,553762,-0.6062407,500068,-0.38519762
0.001953125,418827,-0.54588319,327768,-0.41692183
0.001953125,249588,-0.635376,267309,-0.40382862
0.001953125,232947,-0.79337934,238224,-0.47933097
0.001953125,217170,-0.66889326,229992,-0.41080023
0.001953125,212268,-0.74663225,209853,-0.45171419
0.001953125,195393,-0.74294398,190683,-0.46245355
0.001953125,187131,-0.67145284,176274,-0.34360479
0.001953125,165627,-0.77570804,169923,-0.4857486
0.001953125,148941,-0.67085933,149136,-0.41215947
0.001953125,142104,-0.81203712,136731,-0.48407261
0.001953125,133137,-0.66197756,128223,-0.54571506
0.001953125,110928,-0.78844823,115767,-0.42057127
0.001953125,99684,-0.75977016,105384,-0.4438557
0.001953125,88731,-0.814816,87552,-0.4657802
0.001953125,68823,-0.85665911,77616,-0.46493948
0.001953125,57759,-0.80127744,51506,-0.55013043
0.001953125,47611,-0.87649569,42021,-0.5654297
0.001953125,30196,-0.92995129,27771,-0.5422494
0.001953125,14954,-1.06669771,19452,-0.627232
0.001953125,14175,-1.4506592,14434,-0.6637849
0.001953125,12360,-1.35141223,12565,-0.9022265
0.001953125,11411,-1.67450587,11918,-0.59064911
0.001953125,10578,-1.2133286,9450,-0.79649002
0.001953125,9330,-1.17965916,9426,-0.74408575
0.001953125,7873,-1.57334009,8102,-0.87987431
0.001953125,6439,-1.52369878,5859,-0.51931613
0.001953125,5342,-1.48491667,5649,-0.51727179
0.001953125,4343,-1.44448609,3462,-0.67221775
