alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0009765625,7373892,-0.21018371,9585117,-0.14011784
0.0009765625,4832634,-0.3139165,5247462,-0.19481873
0.0009765625,4666569,-0.33748096,4761921,-0.22655417
0.0009765625,4515696,-0.39204694,4415697,-0.27207017
0.0009765625,4284828,-0.40669158,4246614,-0.25931707
0.0009765625,4055739,-0.39557994,4162422,-0.25954459
0.0009765625,3989882,-0.41728983,3945777,-0.25653139
0.0009765625,3755103,-0.40313351,3813633,-0.24284163
0.0009765625,3516452,-0.41386624,3675786,-0.29723141
0.0009765625,3471336,-0.43160655,3366663,-0.30008752
0.0009765625,3154398,-0.40307526,3277319,-0.28111215
0.0009765625,3022143,-0.45911466,3117852,-0.29213581
0.0009765625,2883261,-0.43614566,2819388,-0.27637543
0.0009765625,2757711,-0.45238084,2717148,-0.39140354
0.0009765625,2521743,-0.46330987,2526591,-0.38626788
0.0009765625,2324163,-0.53137226,2397417,-0.37413745
0.0009765625,2086374,-0.51206565,2156484,-0.25568041
0.0009765625,1953538,-0.52824491,2014309,-0.40234679
0.0009765625,1765088,-0.52952912,1777061,-0.39986685
0.0009765625,1588905,-0.56783775,1604889,-0.44961943
0.0009765625,1517483,-0.57655574,1354568,-0.47904426
0.0009765625,1296259,-0.67298112,1272886,-0.48177061
0.0009765625,1149859,-0.62477796,1075872,-0.49264899
0.0009765625,990693,-0.60440221,917721,-0.35761172
0.0009765625,768747,-0.63552754,751233,-0.44810837
0.0009765625,572418,-0.55727442,474999,-0.44119717
0.0009765625,300951,-0.50326092,327768,-0.39217551
0.0009765625,252090,-0.79732902,267657,-0.32066916
0.0009765625,236589,-0.81051015,229623,-0.55682416
0.0009765625,215484,-0.88136862,219819,-0.35662317
0.0009765625,202704,-0.85783852,207369,-0.50573806
0.0009765625,198891,-0.78441256,190683,-0.28417324
0.0009765625,174513,-0.93587904,185694,-0.35846023
0.0009765625,165621,-0.91149596,162765,-0.58476294
0.0009765625,156669,-0.88629764,151602,-0.49064321
0.0009765625,143379,-0.85478055,136437,-0.46614801
0.0009765625,131559,-0.81474745,127599,-0.51434775
0.0009765625,117729,-0.77221055,113097,-0.46803133
0.0009765625,103902,-0.90643219,93973,-0.64271803
0.0009765625,83419,-0.81896149,77584,-0.53862816
0.0009765625,65894,-0.96578401,65584,-0.67613257
0.0009765625,60682,-0.92622677,55818,-0.54933621
0.0009765625,44095,-1.08061299,42462,-0.65798631
0.0009765625,29226,-1.00034835,21508,-0.55787304
0.0009765625,14421,-1.02412073,14727,-0.60137723
0.0009765625,14246,-1.53594359,13161,-0.93585256
