alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0078125,950928,0.31658473,1010841,0.42771587
0.015625,970401,0.15519204,880269,0.25597959
0.015625,750849,0.20570814,667656,0.28735297
0.015625,633567,0.20748139,489786,0.35746052
0.015625,452166,0.26707376,387651,0.4701247
0.03125,953952,0.10324321,878922,0.16628744
0.03125,737919,0.12239682,679380,0.16831336
0.03125,650637,0.13153564,500526,0.19924715
0.03125,467874,0.15058459,316593,0.27180443
0.03125,290994,0.22387285,245862,0.39503515
0.03125,238953,0.26318572,244569,0.36812166
0.03125,219417,0.31486404,225084,0.42724504
0.03125,209814,0.33102672,211761,0.4309523
0.03125,199719,0.32966891,202323,0.42160474
0.03125,187473,0.35877506,184734,0.49408994
0.03125,169554,0.41568706,174732,0.51825272
0.03125,157872,0.36360265,148434,0.55852602
0.03125,145860,0.45145048,138996,0.6284525
0.03125,133722,0.52360557,121923,0.68889002
0.03125,118833,0.64081056,119301,0.68163506
0.0625,988416,0.11144325,867339,0.1358855
0.0625,677157,0.10050052,821613,0.13890444
0.0625,592449,0.08876316,509073,0.13039047
0.0625,388344,0.11787501,323928,0.15904709
0.0625,289047,0.14459663,253506,0.21364599
0.0625,242814,0.15450852,241098,0.20234495
0.0625,227337,0.14575427,218112,0.22247517
0.0625,203691,0.18502854,216486,0.23125189
0.0625,199716,0.14941417,195111,0.23435629
0.0625,186579,0.16279403,178629,0.26890531
0.0625,166374,0.18425696,174159,0.24259482
0.0625,156354,0.17770206,154527,0.2588316
0.0625,137982,0.20894369,135111,0.29993565
0.0625,127908,0.2366437,122928,0.32639778
0.0625,111969,0.2703915,107334,0.32178599
0.0625,101541,0.28816458,93522,0.38539633
0.0625,83421,0.29553097,80223,0.42172656
0.0625,72633,0.41887731,67977,0.48374961
0.0625,60996,0.41950053,55968,0.64690114
0.0625,45903,0.59112314,44517,0.69622311
0.125,987753,0.14223259,879087,0.15415329
0.125,685542,0.11543541,763347,0.14534972
0.125,592449,0.0998997,631059,0.1398814
0.125,381303,0.09341115,311586,0.12259256
0.125,264333,0.11158056,253341,0.14831955
0.125,241098,0.11010475,235875,0.14066996
0.125,227175,0.12311669,230736,0.1467256
0.125,209976,0.11826899,205251,0.15018219
0.125,198921,0.12066087,194409,0.15384274
0.125,184431,0.11964468,187473,0.16150298
0.125,161787,0.1184607,167505,0.15218494
0.125,157902,0.1150932,154242,0.1503508
0.125,144702,0.14798323,138246,0.17429805
0.125,132483,0.14176552,123369,0.18551017
0.125,117138,0.13561984,112914,0.18624726
0.125,98109,0.12326029,93522,0.20267871
0.125,83421,0.18671303,79764,0.22514249
0.125,69333,0.16389408,65094,0.23669102
0.125,57486,0.23642922,54780,0.29329024
0.125,50061,0.22974175,37329,0.35518402
0.125,35334,0.34460938,23463,0.55225495
0.125,23001,0.57920847,17043,0.72291814
0.25,980073,0.07023195,925158,0.08030411
0.25,836589,0.08213802,671619,0.10428283
0.25,611949,0.09783999,492609,0.13878301
0.25,325314,0.10731461,450528,0.13634409
0.25,249054,0.10040008,247416,0.12433413
0.25,240057,0.09828769,235773,0.1265352
0.25,230736,0.09884831,225753,0.13220901
0.25,211002,0.0974551,215127,0.12701331
0.25,189816,0.09523169,201057,0.12708374
0.25,187374,0.10461131,181146,0.12301188
0.25,162864,0.09859258,162267,0.12449489
0.25,161370,0.09748115,156636,0.13195687
0.25,142593,0.08383422,147147,0.12238318
0.25,132639,0.08892878,122736,0.13182086
0.25,106458,0.09432157,113178,0.12755361
0.25,92706,0.08483493,106005,0.13089608
0.25,88611,0.10815712,82533,0.13979525
0.25,69333,0.10485673,74349,0.14879596
0.25,55161,0.12453961,63816,0.14575572
0.25,45006,0.11723733,42624,0.18091893
0.25,33852,0.17617045,27324,0.25192341
0.25,21648,0.2474861,14988,0.45304064
0.25,13926,0.32232828,13641,0.46212011
0.25,12441,0.37980169,12672,0.52656057
0.25,11682,0.44792574,10998,0.58424394
0.25,9867,0.50871206,9984,0.65154712
0.25,9405,0.52751095,8418,0.7375256
0.25,7293,0.68669689,7062,0.82470657
0.25,6708,0.83837424,6552,0.97973166
0.5,991458,0.03403226,850617,0.04172123
0.5,764712,0.04189679,690183,0.05317685
0.5,634299,0.04530023,483582,0.06726404
0.5,452049,0.06560445,307086,0.09836284
0.5,277797,0.10288353,249237,0.13507507
0.5,240057,0.12595777,234156,0.14454405
0.5,220077,0.12221652,224367,0.13705628
0.5,207966,0.11559703,217107,0.13358293
0.5,193545,0.11269845,192699,0.12344518
0.5,187374,0.10928424,189006,0.12430818
0.5,164901,0.09928241,170214,0.11910145
0.5,148161,0.09940341,151962,0.11740323
0.5,144573,0.09132156,139854,0.11531313
0.5,121974,0.08069231,126108,0.11337633
0.5,118404,0.08344506,108537,0.10658359
0.5,103389,0.09140035,97812,0.10503978
