alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.00390625,9441861,0.15607628,8593398,0.18855492
0.00390625,4527297,0.21157639,4423266,0.32307033
0.00390625,4362996,0.20218317,4380747,0.25681498
0.00390625,4179747,0.2279536,4192914,0.277708
0.00390625,3997578,0.23439514,3924717,0.30742877
0.00390625,3760506,0.16052562,3713853,0.30594269
0.00390625,3530241,0.20070967,3605052,0.38258492
0.00390625,3359694,0.2229921,3402828,0.32201487
0.00390625,3179748,0.26172689,3186183,0.35031377
0.0078125,8998704,0.15040857,9441861,0.18115222
0.0078125,5034006,0.13526465,4805811,0.187949
0.0078125,4762173,0.14859318,4623747,0.20668612
0.0078125,4568628,0.15727206,4433991,0.22413896
0.0078125,4310724,0.14996037,4385082,0.19918885
0.0078125,4109586,0.12967301,4077957,0.19351346
0.0078125,3982308,0.14367813,4044216,0.20916343
0.0078125,3732417,0.14140759,3838692,0.2003354
0.0078125,3539757,0.13925197,3595323,0.22228904
0.0078125,3476682,0.13666298,3404724,0.23199951
0.0078125,3258849,0.16320543,3195414,0.24774784
0.0078125,3150537,0.17022894,3088137,0.22301533
0.0078125,2869779,0.16623739,2832036,0.23984716
0.0078125,2719926,0.1710013,2651298,0.2350635
0.0078125,2603952,0.15489847,2569809,0.23214115
0.0078125,2331261,0.16878626,2252415,0.25313878
0.0078125,2227413,0.16063215,2139456,0.24433671
0.0078125,1965834,0.17862997,1925979,0.27438595
0.0078125,1753359,0.19461512,1829982,0.27256886
0.0078125,1578951,0.23128682,1651716,0.29816029
0.0078125,1357161,0.21984865,1383477,0.33451329
0.0078125,1328613,0.24226823,1174926,0.37987814
0.0078125,1145232,0.31428612,1010841,0.42771587
0.0078125,950928,0.31658473,973053,0.42582129
0.015625,9622782,0.14733075,7614048,0.20299488
0.015625,4861779,0.14326212,4830969,0.19108848
0.015625,4602546,0.15700601,4644354,0.18782523
0.015625,4546113,0.15500289,4424454,0.19231427
0.015625,4278186,0.13950315,4406961,0.18109276
0.015625,4179747,0.14792927,4145889,0.18098689
0.015625,3932487,0.14743834,3885063,0.18188427
0.015625,3732417,0.13431455,3776649,0.17657908
