alpha,L11_lo,L11_hi,L13_lo,L13_hi,Lfinal_lo,Lfinal_lo_std,Lfinal_hi,Lfinal_hi_std
0.0009765625,,,,,,,,
0.00106494895768,,,,,,,,
0.001953125,,,,,,,,
0.00390625,,,,,0.21342,0.03908,-0.10534,0.00728
0.0078125,,,,,0.16435,0.00877,-0.11154,0.01023
0.015625,0.19249,-0.14731,,,0.17925,0.01501,-0.13168,0.01161
0.03125,0.19286,-0.14621,,,0.08601,0.00992,-0.07198,0.00746
0.0625,0.17660,-0.12649,,,0.04110,0.00634,-0.03769,0.00344
0.125,0.15403,-0.13246,,,0.02189,0.00274,-0.02079,0.00124
0.25,0.13634,-0.11056,,,0.01296,0.00145,-0.01324,0.00130
0.5,0.13551,-0.11599,,,0.01020,0.00062,-0.01069,0.00074
1.0,0.10054,-0.09715,,,0.00983,0.00061,-0.01113,0.00037
