alpha,L11_lo,L11_hi,L13_lo,L13_hi,Lfinal_lo,Lfinal_lo_std,Lfinal_hi,Lfinal_hi_std
0.0009765625,,,,,,,,
0.00106494895768,,,,,,,,
0.00116133507324,,,,,,,,
0.00126644487759,,,,,,,,
0.001381067932,,,,,,,,
0.00150606525919,,,,,,,,
0.00164237581104,,,,,,,,
0.00179102352188,,,,,,,,
0.001953125,,,,,,,,
0.00212989791536,,,,,,,,
0.00232267014649,,,,,,,,
0.00253288975518,,,,,,,,
0.00276213586401,,,,,,,,
0.00301213051837,,,,,,,,
0.00328475162208,,,,,,,,
0.00358204704377,,,,,,,,
0.00390625,,,,,,,,
0.00425979583072,,,,,,,,
0.00464534029298,,,,,,,,
0.00506577951036,,,,,,,,
0.00552427172802,,,,,,,,
0.00602426103675,,,,,,,,
0.00656950324417,,,,,,,,
0.00716409408754,,,,,,,,
0.0078125,,,,,,,-0.19790,0.02308
0.00851959166145,,,,,0.37502,0.03021,-0.19041,0.02440
0.00929068058596,,,,,0.33640,0.02925,-0.17201,0.02698
0.0101315590207,,,,,0.30341,0.03000,-0.16728,0.02655
0.011048543456,,,,,0.28091,0.02178,-0.15226,0.02524
0.0120485220735,,,,,0.26104,0.02317,-0.14009,0.02346
0.0131390064883,,,,,0.24189,0.02450,-0.13874,0.02224
0.0143281881751,,,,,0.22627,0.01975,-0.13573,0.02159
0.015625,,,,,0.20989,0.02716,-0.12298,0.01691
0.0170391833229,,,,,0.20080,0.02406,-0.12102,0.01930
0.0185813611719,,,,,0.18532,0.01916,-0.11823,0.02031
0.0202631180414,,,,,0.18072,0.01749,-0.11806,0.01725
0.0220970869121,,,,,0.16524,0.01895,-0.11850,0.01262
0.024097044147,,,,,0.15757,0.02348,-0.11586,0.01386
0.0262780129767,,,,,0.14749,0.01810,-0.10992,0.01118
0.0286563763501,,,,,0.14448,0.01985,-0.10986,0.01032
0.03125,,,,,0.14184,0.01564,-0.10976,0.00703
0.0340783666458,,,,,0.13882,0.01390,-0.10696,0.00833
0.0371627223438,,,,,0.13654,0.01268,-0.10092,0.00682
0.0405262360828,,,,,0.13257,0.01106,-0.10234,0.00920
0.0441941738242,,,,,0.12751,0.01195,-0.10078,0.00830
0.048194088294,,,,,0.12631,0.00785,-0.10444,0.00791
0.0525560259534,,,,,0.12838,0.00969,-0.10065,0.00786
0.0573127527003,,,,,0.12765,0.00859,-0.10262,0.00836
0.0625,,,,,0.12640,0.00758,-0.10397,0.00851
0.0681567332916,,,,,0.12844,0.00856,-0.10743,0.00838
0.0743254446877,,,,,0.12922,0.00839,-0.10707,0.00653
0.0810524721657,,,,,0.13048,0.00494,-0.10980,0.00739
0.0883883476483,,,,,0.13312,0.00680,-0.11392,0.00659
0.096388176588,,,,,0.13781,0.00663,-0.11594,0.00636
0.105112051907,,,,,0.14024,0.00623,-0.11788,0.00553
0.114625505401,0.15980,-0.11983,,,0.14517,0.00685,-0.11998,0.00535
0.125,0.15403,-0.13246,,,0.14931,0.00432,-0.12485,0.00505
0.136313466583,0.15890,-0.12751,,,0.14413,0.00982,-0.11931,0.00583
0.148650889375,0.15614,-0.12384,,,0.13141,0.00674,-0.11055,0.00673
0.162104944331,0.14310,-0.12523,,,0.11979,0.00595,-0.10068,0.00621
0.176776695297,0.14781,-0.12431,,,0.10932,0.00449,-0.09350,0.00465
0.192776353176,0.13090,-0.11616,,,0.10039,0.00558,-0.08590,0.00511
0.210224103813,0.12766,-0.11543,,,0.09125,0.00509,-0.08062,0.00448
0.229251010801,0.13500,-0.11561,,,0.08388,0.00441,-0.07426,0.00434
0.25,0.13634,-0.11056,,,0.07601,0.00318,-0.06787,0.00441
0.272626933166,0.13711,-0.11425,,,0.06823,0.00396,-0.06327,0.00406
0.297301778751,0.13970,-0.11402,,,0.06268,0.00378,-0.05775,0.00382
0.324209888663,0.12691,-0.10687,,,0.05738,0.00305,-0.05349,0.00259
0.353553390593,0.12154,-0.11430,,,0.05177,0.00381,-0.04973,0.00321
0.385552706352,0.13348,-0.10352,,,0.04686,0.00496,-0.04653,0.00247
0.420448207627,0.12642,-0.11122,,,0.04336,0.00358,-0.04288,0.00309
0.458502021602,0.13707,-0.11489,,,0.04064,0.00387,-0.04053,0.00232
0.5,0.13551,-0.11599,,,0.03667,0.00196,-0.03619,0.00191
0.545253866333,0.12271,-0.11438,,,0.03393,0.00290,-0.03407,0.00242
0.594603557501,0.12091,-0.11813,,,0.03159,0.00215,-0.03213,0.00198
0.648419777326,0.12809,-0.10887,,,0.02994,0.00234,-0.03003,0.00152
0.707106781187,0.12679,-0.09865,,,0.02707,0.00195,-0.02820,0.00128
0.771105412704,0.11325,-0.11680,,,0.02388,0.00223,-0.02682,0.00102
0.840896415254,0.11275,-0.10089,,,0.02176,0.00188,-0.02546,0.00119
0.917004043205,0.11621,-0.09805,,,0.02036,0.00133,-0.02326,0.00132
1.0,0.10054,-0.09715,,,0.01871,0.00125,-0.02149,0.00126
