alpha,L11_lo,L11_hi,L13_lo,L13_hi,Lfinal_lo,Lfinal_lo_std,Lfinal_hi,Lfinal_hi_std
0.0009765625,,,,,,,,
0.00106494895768,,,,,,,,
0.00116133507324,,,,,,,,
0.00126644487759,,,,,,,,
0.001381067932,,,,,,,,
0.00150606525919,,,,,,,,
0.00164237581104,,,,,,,,
0.00179102352188,,,,,,,,
0.001953125,,,,,,,,
0.00212989791536,,,,,,,,
0.00232267014649,,,,,,,,
0.00253288975518,,,,,,,,
0.00276213586401,,,,,,,,
0.00301213051837,,,,,,,,
0.00328475162208,,,,,,,,
0.00358204704377,,,,,,,-0.10949,0.00841
0.00390625,,,,,0.21342,0.03908,-0.10534,0.00728
0.00425979583072,,,,,0.18806,0.02969,-0.10625,0.00980
0.00464534029298,,,,,0.17240,0.02280,-0.11095,0.00689
0.00506577951036,,,,,0.16096,0.01204,-0.10881,0.00798
0.00552427172802,,,,,0.15875,0.01078,-0.10861,0.00769
0.00602426103675,,,,,0.15762,0.00941,-0.10750,0.00752
0.00656950324417,,,,,0.15578,0.01072,-0.10479,0.00865
0.00716409408754,,,,,0.16407,0.00981,-0.10896,0.00848
0.0078125,,,,,0.16435,0.00877,-0.11154,0.01023
0.00851959166145,,,,,0.16802,0.00841,-0.11682,0.00998
0.00929068058596,,,,,0.16856,0.00765,-0.11829,0.00971
0.0101315590207,,,,,0.17148,0.00874,-0.12382,0.01261
0.011048543456,,,,,0.17977,0.00656,-0.12617,0.01015
0.0120485220735,,-0.14692,,,0.18573,0.01016,-0.13400,0.01062
0.0131390064883,0.19546,-0.14433,,,0.18959,0.01046,-0.13972,0.01161
0.0143281881751,0.20029,-0.13851,,,0.18577,0.01346,-0.13668,0.00787
0.015625,0.19249,-0.14731,,,0.17925,0.01501,-0.13168,0.01161
0.0170391833229,0.19606,-0.14011,,,0.16898,0.01837,-0.12507,0.01324
0.0185813611719,0.18267,-0.13008,,,0.15491,0.02123,-0.11569,0.01219
0.0202631180414,0.18352,-0.14748,,,0.14110,0.01707,-0.10768,0.01279
0.0220970869121,0.16883,-0.14076,,,0.12807,0.01474,-0.09860,0.01292
0.024097044147,0.21437,-0.14651,,,0.11605,0.01495,-0.09315,0.01037
0.0262780129767,0.20700,-0.14718,,,0.10414,0.01076,-0.08534,0.00900
0.0286563763501,0.18291,-0.15043,,,0.09456,0.01006,-0.07853,0.00910
0.03125,0.19286,-0.14621,,,0.08601,0.00992,-0.07198,0.00746
0.0340783666458,0.16828,-0.15086,,,0.07934,0.00976,-0.06635,0.00704
0.0371627223438,0.19880,-0.14510,,,0.07284,0.01044,-0.05944,0.00508
0.0405262360828,0.18819,-0.14231,,,0.06709,0.00892,-0.05524,0.00529
0.0441941738242,0.19420,-0.12556,,,0.06042,0.00807,-0.05060,0.00592
0.048194088294,0.16527,-0.14400,,,0.05432,0.00745,-0.04683,0.00496
0.0525560259534,0.17482,-0.14294,,,0.04950,0.00696,-0.04363,0.00427
0.0573127527003,0.19325,-0.14482,,,0.04559,0.00667,-0.04042,0.00512
0.0625,0.17660,-0.12649,,,0.04110,0.00634,-0.03769,0.00344
0.0681567332916,0.17469,-0.13555,,,0.03760,0.00541,-0.03528,0.00298
0.0743254446877,0.17190,-0.13850,,,0.03473,0.00442,-0.03200,0.00352
0.0810524721657,0.16728,-0.13334,,,0.03161,0.00356,-0.02928,0.00303
0.0883883476483,0.13660,-0.13281,,,0.02900,0.00379,-0.02667,0.00253
0.096388176588,0.16920,-0.11521,,,0.02762,0.00298,-0.02598,0.00231
0.105112051907,0.15223,-0.11736,,,0.02605,0.00328,-0.02441,0.00227
0.114625505401,0.15980,-0.11983,,,0.02412,0.00347,-0.02248,0.00190
0.125,0.15403,-0.13246,,,0.02189,0.00274,-0.02079,0.00124
0.136313466583,0.15890,-0.12751,,,0.02012,0.00267,-0.01976,0.00151
0.148650889375,0.15614,-0.12384,,,0.01915,0.00198,-0.01850,0.00189
0.162104944331,0.14310,-0.12523,,,0.01762,0.00173,-0.01765,0.00219
0.176776695297,0.14781,-0.12431,,,0.01607,0.00188,-0.01662,0.00147
0.192776353176,0.13090,-0.11616,,,0.01528,0.00133,-0.01565,0.00131
0.210224103813,0.12766,-0.11543,,,0.01418,0.00154,-0.01439,0.00163
0.229251010801,0.13500,-0.11561,,,0.01368,0.00113,-0.01348,0.00165
0.25,0.13634,-0.11056,,,0.01296,0.00145,-0.01324,0.00130
0.272626933166,0.13711,-0.11425,,,0.01251,0.00100,-0.01290,0.00138
0.297301778751,0.13970,-0.11402,,,0.01202,0.00067,-0.01236,0.00127
0.324209888663,0.12691,-0.10687,,,0.01184,0.00079,-0.01204,0.00116
0.353553390593,0.12154,-0.11430,,,0.01114,0.00075,-0.01143,0.00124
0.385552706352,0.13348,-0.10352,,,0.01102,0.00066,-0.01100,0.00113
0.420448207627,0.12642,-0.11122,,,0.01093,0.00064,-0.01083,0.00100
0.458502021602,0.13707,-0.11489,,,0.01043,0.00078,-0.01052,0.00070
