n,C(n),Cminus(n),C(n)-Cminus(n),CminusAsym(n),C(n)-CminusAsym(n),preMertens,preMertensAsymp,alpha(n)
4,1.921812,1.921812,0.000000,1.700722,0.221090,4,,0.500000000000
5,2.590290,2.590290,0.000000,1.755811,0.834480,5,,0.500000000000
6,2.140268,1.605201,0.535067,1.792515,0.347753,5,,0.500000000000
7,0.000000,1.893283,-1.893283,1.819108,-1.819108,7,7,0.500000000000
8,2.162039,2.162039,0.000000,1.839477,0.322562,8,7,0.500000000000
9,4.827796,1.206949,3.620847,1.855708,2.972088,8,7,0.500000000000
10,2.120759,1.325475,0.795285,1.869031,0.251728,8,7,0.500000000000
11,0.000000,1.437475,-1.437475,1.880221,-1.880221,11,11,0.500000000000
12,4.116507,1.543690,2.572817,1.889792,2.226715,11,11,0.500000000000
13,2.192988,1.644741,0.548247,1.898101,0.294887,11,11,0.500000000000
14,1.989892,1.741156,0.248737,1.905405,0.084488,11,11,0.500000000000
19,0.000000,1.625573,-1.625573,1.932092,-1.932092,23,29,0.500000000000
43,0.000000,1.657808,-1.657808,1.984246,-1.984246,43,43,0.500000000000
59,1.146642,1.623663,-0.477021,1.999340,-0.852698,59,59,0.500000000000
64,1.081019,1.689093,-0.608073,2.002883,-0.921864,64,64,0.500000000000
79,0.979081,1.864460,-0.885380,2.011494,-1.032413,79,89,0.500000000000
97,0.871999,1.839373,-0.967374,2.019187,-1.147188,97,97,0.500000000000
107,1.647949,1.919121,-0.271171,2.022645,-0.374696,113,113,0.500000000000
113,1.596300,1.800514,-0.204214,2.024511,-0.428211,113,113,0.500000000000
128,2.207081,1.707039,0.500042,2.028627,0.178454,113,113,0.500000000000
146,1.360895,1.800877,-0.439982,2.032766,-0.671871,146,149,0.500000000000
157,1.311058,1.853757,-0.542700,2.034966,-0.723908,157,163,0.500000000000
167,1.893532,1.899311,-0.005779,2.036790,-0.143258,167,178,0.500000000000
178,1.810172,1.784705,0.025467,2.038632,-0.228461,167,178,0.500000000000
181,1.801625,1.796237,0.005388,2.039108,-0.237483,167,181,0.500000000000
199,1.132084,1.745955,-0.613871,2.041754,-0.909670,208,208,0.500000000000
223,1.053604,1.821879,-0.768275,2.044818,-0.991214,223,223,0.500000000000
236,1.517972,1.860261,-0.342288,2.046298,-0.528326,236,239,0.500000000000
241,1.504150,1.770422,-0.266272,2.046838,-0.542689,241,251,0.500000000000
262,2.366905,1.824769,0.542137,2.048955,0.317951,241,251,0.500000000000
283,1.808288,1.875652,-0.067364,2.050856,-0.242568,283,283,0.500000000000
292,2.207228,1.777981,0.429248,2.051614,0.155614,283,283,0.500000000000
313,1.693274,1.821750,-0.128476,2.053268,-0.359994,313,313,0.500000000000
316,2.096745,1.827804,0.268941,2.053493,0.043252,313,313,0.500000000000
337,1.613017,1.868897,-0.255879,2.054988,-0.441970,337,337,0.500000000000
349,1.970222,1.891435,0.078787,2.055788,-0.085565,337,349,0.500000000000
362,1.917761,1.726525,0.191235,2.056615,-0.138854,337,362,0.500000000000
379,1.492247,1.753527,-0.261280,2.057639,-0.565392,379,383,0.500000000000
391,1.826947,1.771987,0.054960,2.058326,-0.231379,379,391,0.500000000000
