FIRST,LAST,Alpha,PreMertens,Mertens,DeltaMertens,n_5precent,NzeroStat,EtaStat,MertensAsymp,DeltaMertensAsymp,NzeroStatAsymp,EtaStatAsymp
4,100000000,0.0009765625,99350348,0,0.000000,59742208,99752392,0.015614,0,0.000000,99752392,0.009778
4,100000000,0.00106494895768,98686388,0,0.000000,54188513,99205858,0.009604,0,0.000000,98732306,0.006329
4,100000000,0.00116133507324,98158948,0,0.000000,49147745,98686388,0.020052,0,0.000000,98686388,0.013442
4,100000000,0.00126644487759,99297428,0,0.000000,44572805,99752392,0.009722,0,0.000000,99752392,0.003921
4,100000000,0.001381067932,99297428,0,0.000000,40420894,99316478,0.057733,0,0.000000,99316478,0.051562
4,100000000,0.00150606525919,84700843,93011768,0.013970,36653127,93011768,0.013970,93011768,0.013970,93011768,0.008265
4,100000000,0.00164237581104,78296887,80607004,0.019601,33234172,93011768,0.029199,80607004,0.019601,93011768,0.023510
4,100000000,0.00179102352188,69815183,75636646,0.016557,30131933,90746212,0.064022,75636646,0.016557,90746212,0.057938
4,100000000,0.001953125,73484561,82308082,0.034408,27317248,98158948,0.062410,82308082,0.034408,98158948,0.055942
4,100000000,0.00212989791536,74097862,84132611,0.066008,24763629,93105884,0.110011,84132611,0.066008,93105884,0.104395
4,100000000,0.00232267014649,46229168,50182798,0.004486,22447010,92199997,0.122107,64757989,0.029633,89893208,0.121796
4,100000000,0.00253288975518,41926246,53485816,0.009294,20345931,95224391,0.136344,53485816,0.009294,95224391,0.130732
4,100000000,0.00276213586401,35480609,41540014,0.013825,18439716,91156157,0.156549,41540014,0.013825,89893208,0.155328
4,100000000,0.00301213051837,35480609,41525569,0.043140,16710764,93379267,0.154671,41525569,0.043140,93379267,0.149181
4,100000000,0.00328475162208,35480609,46147631,0.039678,15143002,93379267,0.175328,46147631,0.039678,91251572,0.173930
4,100000000,0.00358204704377,25265521,31056043,0.002525,13720926,93379267,0.174186,46147631,0.046671,93379267,0.168538
4,100000000,0.00390625,23699191,30662083,0.031954,12431616,98057387,0.175894,30662083,0.031954,98057387,0.169633
4,100000000,0.00425979583072,23699191,31080463,0.052567,11262277,96065527,0.208924,31080463,0.052567,96065527,0.203152
4,100000000,0.00464534029298,22187332,34221364,0.040089,10202267,99319523,0.215983,34221364,0.040089,99319523,0.209989
4,100000000,0.00506577951036,20173091,33349982,0.063455,9241026,93693667,0.235780,33349982,0.063455,93693667,0.230206
4,100000000,0.00552427172802,17193173,20173091,0.017955,8369792,93732712,0.238988,20173091,0.017955,90335152,0.234169
4,100000000,0.00602426103675,14077352,20173091,0.030201,7580017,93173084,0.248610,20173091,0.030201,93173084,0.242952
4,100000000,0.00656950324417,14077352,21085681,0.060073,6864142,93173084,0.248508,21085681,0.060073,93173084,0.242914
4,100000000,0.00716409408754,13067672,21085681,0.080417,6215301,93173084,0.264905,21085681,0.080417,93173084,0.259382
4,100000000,0.0078125,9057157,11141506,0.018453,5627264,93707387,0.271161,11141506,0.018453,93707387,0.265949
4,100000000,0.00851959166145,12973039,22153519,0.095889,5094376,90230051,0.282467,22153519,0.095889,90230051,0.276052
4,100000000,0.00929068058596,7238339,8391736,0.025681,4611503,92174956,0.286233,8391736,0.025681,92174956,0.281118
4,100000000,0.0101315590207,6384029,7216597,0.008751,4173988,99823459,0.276028,8391736,0.051481,99823459,0.270572
4,100000000,0.011048543456,5719144,6068224,0.021493,3777603,99823459,0.290863,6068224,0.021493,99823459,0.285516
4,100000000,0.0120485220735,5506681,6384029,0.026452,3418511,99823459,0.290185,6384029,0.026452,99823459,0.284956
4,100000000,0.0131390064883,4540013,5051327,0.008551,3093309,99823459,0.305631,5051327,0.008551,92278733,0.301928
4,100000000,0.0143281881751,4347407,5051327,0.023721,2798680,99823459,0.314445,5051327,0.023721,99823459,0.309265
4,100000000,0.015625,4343501,5042162,0.019217,2531904,91594831,0.323541,5042162,0.019217,91594831,0.317895
4,100000000,0.0170391833229,3936271,4290386,0.010622,2290310,98976467,0.327674,5042162,0.074455,90585239,0.326270
4,100000000,0.0185813611719,3936271,4328171,0.045007,2071485,93036584,0.329111,4328171,0.045007,93036584,0.323685
4,100000000,0.0202631180414,2451667,3008938,0.018217,1873404,93036584,0.337374,3008938,0.018217,93036584,0.331920
4,100000000,0.0220970869121,2451667,3529576,0.056232,1694070,93036584,0.342892,3529576,0.056232,93036584,0.337204
4,100000000,0.024097044147,2324848,3293681,0.089469,1531724,91322636,0.355060,3293681,0.089469,91322636,0.349244
4,100000000,0.0262780129767,1875931,2324848,0.007527,1384770,90566846,0.357426,3178982,0.116875,90566846,0.351708
4,100000000,0.0286563763501,1726924,2121734,0.065565,1251764,90566846,0.366389,2121734,0.065565,90566846,0.360494
4,100000000,0.03125,1665278,2181689,0.052224,1131392,90253964,0.370833,2181689,0.052224,90253964,0.364870
4,100000000,0.0340783666458,1665278,2006657,0.056839,1022497,90253964,0.368987,2006657,0.056839,90253964,0.363125
4,100000000,0.0371627223438,1665278,2620586,0.072703,923937,91021811,0.378232,2620586,0.072703,91021811,0.372699
4,100000000,0.0405262360828,944362,1385326,0.003184,834793,91021811,0.373817,2620586,0.108313,91021811,0.368219
4,100000000,0.0441941738242,1385326,2620586,0.130072,754150,92922098,0.388853,2620586,0.130072,90077551,0.383083
4,100000000,0.048194088294,733504,874813,0.044717,681184,91793792,0.386366,874813,0.029388,91793792,0.380960
4,100000000,0.0525560259534,611264,732877,0.044217,615211,98075491,0.391726,732877,0.026132,90198254,0.389621
4,100000000,0.0573127527003,594974,648502,0.054999,555549,91063514,0.395494,648502,0.037111,91063514,0.389453
4,100000000,0.0625,594974,638167,0.062160,501616,92512297,0.398146,638167,0.042497,89931607,0.397254
4,100000000,0.0681567332916,476416,594974,0.015143,452839,92512297,0.396760,626047,0.083907,92512297,0.391230
4,100000000,0.0743254446877,424313,594974,0.026131,408743,92512297,0.405121,594974,0.004483,90385499,0.401881
4,100000000,0.0810524721657,266374,360403,0.012987,368897,92512297,0.401251,699044,0.115896,90385499,0.397723
4,100000000,0.0883883476483,284938,360403,0.068906,332872,90385499,0.406560,360403,0.046747,90385499,0.400449
4,100000000,0.096388176588,284938,306707,0.080601,300328,90385499,0.407546,306707,0.063782,90385499,0.401207
4,100000000,0.105112051907,266374,319268,0.104733,270921,90385499,0.412738,319268,0.087841,90385499,0.406903
4,100000000,0.114625505401,266374,336068,0.110586,244353,91338344,0.415939,336068,0.090387,91338344,0.410501
4,100000000,0.125,119563,266374,0.003820,220352,91338344,0.417686,340478,0.109532,91338344,0.412050
4,100000000,0.136313466583,119563,266374,0.056946,198682,91338344,0.421921,266374,0.033364,91338344,0.415755
