FIRST,LAST,Alpha,PreMertens,Mertens,DeltaMertens,n_5precent,NzeroStat,EtaStat,MertensAsymp,DeltaMertensAsymp,NzeroStatAsymp,EtaStatAsymp
900900,1021020,0.0009765625,1021015,0,-2.186544,0,0,0.000000,0,-2.197996,0,0.000000
900900,1021020,0.00106494895768,1021019,0,-2.186544,0,0,0.000000,0,-2.197982,0,0.000000
900900,1021020,0.00116133507324,1021019,0,-1.862050,0,0,0.000000,0,-1.873474,0,0.000000
900900,1021020,0.00126644487759,1021004,0,-1.888772,0,0,0.000000,0,-1.900232,0,0.000000
900900,1021020,0.001381067932,1021007,0,-1.913422,0,0,0.000000,0,-1.924864,0,0.000000
900900,1021020,0.00150606525919,1021007,0,-1.936119,0,0,0.000000,0,-1.947541,0,0.000000
900900,1021020,0.00164237581104,1021007,0,-1.497429,0,0,0.000000,0,-1.510479,0,0.000000
900900,1021020,0.00179102352188,1021007,0,-1.343322,0,0,0.000000,0,-1.358071,0,0.000000
900900,1021020,0.001953125,1021007,0,-1.413739,0,0,0.000000,0,-1.426740,0,0.000000
900900,1021020,0.00212989791536,1021004,0,-1.123898,0,0,0.000000,0,-1.138563,0,0.000000
900900,1021020,0.00232267014649,1021004,0,-1.212390,0,0,0.000000,0,-1.225333,0,0.000000
900900,1021020,0.00253288975518,1021004,0,-0.997421,0,0,0.000000,0,-1.011690,0,0.000000
900900,1021020,0.00276213586401,1021007,0,-1.092863,0,0,0.000000,0,-1.106186,0,0.000000
900900,1021020,0.00301213051837,1021007,0,-1.183526,0,0,0.000000,0,-1.196810,0,0.000000
900900,1021020,0.00328475162208,1021007,0,-0.922506,0,0,0.000000,0,-0.935747,0,0.000000
900900,1021020,0.00358204704377,1021007,0,-0.916171,0,0,0.000000,0,-0.929016,0,0.000000
900900,1021020,0.00390625,1021004,0,-0.833880,0,0,0.000000,0,-0.847022,0,0.000000
900900,1021020,0.00425979583072,1021004,0,-0.767694,0,0,0.000000,0,-0.779350,0,0.000000
900900,1021020,0.00464534029298,1021004,0,-0.643036,0,0,0.000000,0,-0.656062,0,0.000000
900900,1021020,0.00506577951036,1020982,0,-0.696619,0,0,0.000000,0,-0.709578,0,0.000000
900900,1021020,0.00552427172802,1020982,0,-0.615599,0,0,0.000000,0,-0.628486,0,0.000000
900900,1021020,0.00602426103675,1020997,0,-0.556024,0,0,0.000000,0,-0.569219,0,0.000000
900900,1021020,0.00656950324417,1020997,0,-0.637194,0,0,0.000000,0,-0.649614,0,0.000000
900900,1021020,0.00716409408754,1020997,0,-0.604460,0,0,0.000000,0,-0.617476,0,0.000000
900900,1021020,0.0078125,1020997,0,-0.494033,0,0,0.000000,0,-0.506947,0,0.000000
900900,1021020,0.00851959166145,1020982,0,-0.418282,0,0,0.000000,0,-0.433752,0,0.000000
900900,1021020,0.00929068058596,1020982,0,-0.362506,0,0,0.000000,0,-0.377854,0,0.000000
900900,1021020,0.0101315590207,1020982,0,-0.326263,0,0,0.000000,0,-0.341799,0,0.000000
900900,1021020,0.011048543456,1020982,0,-0.310141,0,0,0.000000,0,-0.325534,0,0.000000
900900,1021020,0.0120485220735,1020847,0,-0.309393,0,0,0.000000,0,-0.324628,0,0.000000
900900,1021020,0.0131390064883,1020841,0,-0.292591,0,0,0.000000,0,-0.305925,0,0.000000
900900,1021020,0.0143281881751,1020106,0,-0.291978,0,0,0.000000,0,-0.305126,0,0.000000
900900,1021020,0.015625,1020064,0,-0.184661,0,0,0.000000,0,-0.199337,0,0.000000
900900,1021020,0.0170391833229,1020064,0,-0.151141,0,0,0.000000,0,-0.163866,0,0.000000
900900,1021020,0.0185813611719,1018432,0,-0.096962,0,0,0.000000,0,-0.109447,0,0.000000
900900,1021020,0.0202631180414,1019896,0,-0.049014,0,0,0.000000,0,-0.064658,0,0.000000
900900,1021020,0.0220970869121,1017028,0,-0.056647,0,0,0.000000,0,-0.070757,0,0.000000
