FIRST,LAST,Alpha,PreMertens,Mertens,DeltaMertens,n_5precent,NzeroStat,EtaStat,PreMertensAsymp,MertensAsymp,DeltaMertensAsymp,NzeroStatAsymp,EtaStatAsymp
4,1000000,0.0009765625,999994,0,0.000000,0,0,0.000000,999994,0,0.000000,0,0.000000
4,1000000,0.00106494895768,999988,0,0.000000,0,0,0.000000,999988,0,0.000000,0,0.000000
4,1000000,0.00116133507324,999988,0,0.000000,0,0,0.000000,999988,0,0.000000,0,0.000000
4,1000000,0.00126644487759,999997,0,0.000000,0,0,0.000000,999997,0,0.000000,0,0.000000
4,1000000,0.001381067932,999997,0,0.000000,0,0,0.000000,999997,0,0.000000,0,0.000000
4,1000000,0.00150606525919,999997,0,0.000000,0,0,0.000000,999997,0,0.000000,0,0.000000
4,1000000,0.00164237581104,999997,0,0.000000,0,0,0.000000,999997,0,0.000000,0,0.000000
4,1000000,0.00179102352188,999994,0,0.000000,0,0,0.000000,999994,0,0.000000,0,0.000000
4,1000000,0.001953125,999988,0,0.000000,0,0,0.000000,999988,0,0.000000,0,0.000000
4,1000000,0.00212989791536,999988,0,0.000000,0,0,0.000000,999988,0,0.000000,0,0.000000
4,1000000,0.00232267014649,999988,0,0.000000,0,0,0.000000,999988,0,0.000000,0,0.000000
4,1000000,0.00253288975518,999988,0,0.000000,0,0,0.000000,999988,0,0.000000,0,0.000000
4,1000000,0.00276213586401,999932,0,0.000000,0,0,0.000000,999932,0,0.000000,0,0.000000
4,1000000,0.00301213051837,999854,0,0.000000,0,0,0.000000,999854,0,0.000000,0,0.000000
4,1000000,0.00328475162208,999797,0,0.000000,0,0,0.000000,999797,0,0.000000,0,0.000000
4,1000000,0.00358204704377,999932,0,0.000000,0,0,0.000000,999932,0,0.000000,0,0.000000
4,1000000,0.00390625,999932,0,0.000000,0,0,0.000000,999932,0,0.000000,0,0.000000
4,1000000,0.00425979583072,999932,0,0.000000,0,0,0.000000,999932,0,0.000000,0,0.000000
4,1000000,0.00464534029298,999854,0,0.000000,0,0,0.000000,999854,0,0.000000,0,0.000000
4,1000000,0.00506577951036,999854,0,0.000000,0,0,0.000000,999904,0,0.000000,0,0.000000
4,1000000,0.00552427172802,999854,0,0.000000,0,0,0.000000,999854,0,0.000000,0,0.000000
4,1000000,0.00602426103675,999934,0,0.000000,0,0,0.000000,999934,0,0.000000,0,0.000000
4,1000000,0.00656950324417,999904,0,0.000000,0,0,0.000000,999904,0,0.000000,0,0.000000
4,1000000,0.00716409408754,999934,0,0.000000,0,0,0.000000,999934,0,0.000000,0,0.000000
4,1000000,0.0078125,999934,0,0.000000,0,0,0.000000,999934,0,0.000000,0,0.000000
4,1000000,0.00851959166145,999454,0,0.000000,0,0,0.000000,999776,0,0.000000,0,0.000000
4,1000000,0.00929068058596,999886,0,0.000000,0,0,0.000000,999886,0,0.000000,0,0.000000
4,1000000,0.0101315590207,999454,0,0.000000,0,0,0.000000,999454,0,0.000000,0,0.000000
4,1000000,0.011048543456,999454,0,0.000000,0,0,0.000000,999454,0,0.000000,0,0.000000
4,1000000,0.0120485220735,998474,0,0.000000,0,0,0.000000,999454,0,0.000000,0,0.000000
4,1000000,0.0131390064883,998474,0,0.000000,0,0,0.000000,998474,0,0.000000,0,0.000000
4,1000000,0.0143281881751,998021,0,0.000000,0,0,0.000000,998021,0,0.000000,0,0.000000
4,1000000,0.015625,998021,0,0.000000,0,0,0.000000,998021,0,0.000000,0,0.000000
4,1000000,0.0170391833229,998021,0,0.000000,0,0,0.000000,998021,0,0.000000,0,0.000000
4,1000000,0.0185813611719,998021,0,0.000000,0,0,0.000000,998021,0,0.000000,0,0.000000
4,1000000,0.0202631180414,998912,0,0.000000,0,0,0.000000,998912,0,0.000000,0,0.000000
4,1000000,0.0220970869121,997967,0,0.000000,0,0,0.000000,997967,0,0.000000,0,0.000000
4,1000000,0.024097044147,997967,0,0.000000,0,0,0.000000,997967,0,0.000000,0,0.000000
4,1000000,0.0262780129767,996943,0,0.000000,0,0,0.000000,996943,0,0.000000,0,0.000000
4,1000000,0.0286563763501,996943,0,0.000000,0,0,0.000000,996943,0,0.000000,0,0.000000
4,1000000,0.03125,996943,0,0.000000,0,0,0.000000,996943,0,0.000000,0,0.000000
4,1000000,0.0340783666458,979361,0,0.000000,0,0,0.000000,979361,0,0.000000,0,0.000000
