FIRST,LAST,Alpha,PreMertens,Mertens,DeltaMertens,n_5precent,NzeroStat,EtaStat,MertensAsymp,DeltaMertensAsymp,NzeroStatAsymp,EtaStatAsymp
4,102102000,0.0009765625,101735827,101934821,0.027513,59742208,101737912,0.010398,101934821,0.027513,101737912,0.005542
4,102102000,0.00106494895768,101612032,102065519,0.072566,54188513,101703241,0.010037,102065519,0.072566,101659024,0.006180
4,102102000,0.00116133507324,100409572,100708222,0.001908,49147745,100708222,0.001908,100862044,0.080178,101494412,0.028003
4,102102000,0.00126644487759,99297428,99752392,0.009722,44572805,100311049,0.009013,99752392,0.009722,99752392,0.003921
4,102102000,0.001381067932,99297428,99791746,0.096924,40420894,100311049,0.007595,99791746,0.096924,100311049,0.002260
4,102102000,0.00150606525919,84700843,84937997,0.042446,36653127,93011768,0.013970,84937997,0.042446,93011768,0.008265
4,102102000,0.00164237581104,78296887,78405373,0.029156,33234172,93011768,0.029199,78405373,0.029156,93011768,0.023510
4,102102000,0.00179102352188,69815183,70038676,0.043155,30131933,90746212,0.064022,70038676,0.043155,90746212,0.057938
4,102102000,0.001953125,73484561,73620566,0.127773,27317248,98158948,0.062410,73620566,0.127773,98158948,0.055942
4,102102000,0.00212989791536,74097862,74444324,0.080115,24763629,93105884,0.110011,74444324,0.080115,93105884,0.104395
4,102102000,0.00232267014649,46229168,46528574,0.057570,22447010,92199997,0.122107,47320993,0.087561,89893208,0.121796
4,102102000,0.00253288975518,41926246,42189997,0.105026,20345931,100394509,0.127326,42189997,0.105026,100394509,0.122326
4,102102000,0.00276213586401,35480609,35870878,0.068037,18439716,100423594,0.137305,35870878,0.068037,100423594,0.132402
4,102102000,0.00301213051837,35480609,35849614,0.055440,16710764,93379267,0.154671,35849614,0.055440,93379267,0.149181
4,102102000,0.00328475162208,35480609,35873053,0.083271,15143002,93379267,0.175328,35873053,0.083271,91251572,0.173930
4,102102000,0.00358204704377,25265521,25276486,0.043753,13720926,93379267,0.174186,31218262,0.045560,93379267,0.168538
4,102102000,0.00390625,23699191,23775286,0.043396,12431616,98057387,0.175894,24581576,0.009910,98057387,0.169633
4,102102000,0.00425979583072,23699191,23879929,0.042563,11262277,100465969,0.199932,23879929,0.042563,100465969,0.194870
4,102102000,0.00464534029298,22187332,22340671,0.017289,10202267,99319523,0.215983,22340671,0.017289,99319523,0.209989
4,102102000,0.00506577951036,20173091,20459074,0.042176,9241026,93693667,0.235780,20459074,0.042176,93693667,0.230206
4,102102000,0.00552427172802,17193173,17390482,0.103087,8369792,100241794,0.235103,17390482,0.103087,90335152,0.234169
4,102102000,0.00602426103675,14077352,14378131,0.063070,7580017,100204939,0.236878,14378131,0.063070,100204939,0.231407
4,102102000,0.00656950324417,14077352,14450707,0.055862,6864142,93173084,0.248508,14450707,0.055862,93173084,0.242914
4,102102000,0.00716409408754,13067672,13481324,0.066309,6215301,93173084,0.264905,13481324,0.066309,93173084,0.259382
4,102102000,0.0078125,9057157,9417181,0.021194,5627264,93707387,0.271161,9417181,0.021194,93707387,0.265949
4,102102000,0.00851959166145,12973039,13050508,0.090449,5094376,90230051,0.282467,13050508,0.090449,90230051,0.276052
4,102102000,0.00929068058596,7238339,7638497,0.016485,4611503,92174956,0.286233,7638497,0.016485,92174956,0.281118
4,102102000,0.0101315590207,6384029,6651937,0.030187,4173988,99823459,0.276028,6651937,0.030187,99823459,0.270572
4,102102000,0.011048543456,5719144,6068224,0.021493,3777603,99823459,0.290863,6068224,0.021493,99823459,0.285516
4,102102000,0.0120485220735,5506681,5771728,0.026958,3418511,99823459,0.290185,5771728,0.026958,99823459,0.284956
4,102102000,0.0131390064883,4540013,4553048,0.072624,3093309,99823459,0.305631,4553048,0.072624,92278733,0.301928
4,102102000,0.0143281881751,4347407,4362716,0.037246,2798680,99823459,0.314445,4362716,0.037246,99823459,0.309265
4,102102000,0.015625,4343501,4362716,0.065480,2531904,91594831,0.323541,4362716,0.065480,91594831,0.317895
4,102102000,0.0170391833229,3936271,3952873,0.013783,2290310,98976467,0.327674,4304087,0.093750,90585239,0.326270
4,102102000,0.0185813611719,3936271,3952873,0.057429,2071485,93036584,0.329111,3952873,0.057429,93036584,0.323685
4,102102000,0.0202631180414,2451667,2468068,0.065506,1873404,93036584,0.337374,2468068,0.065506,93036584,0.331920
4,102102000,0.0220970869121,2451667,2468068,0.093749,1694070,93036584,0.342892,2468068,0.093749,93036584,0.337204
4,102102000,0.024097044147,2324848,2330203,0.054640,1531724,91322636,0.355060,2330203,0.054640,91322636,0.349244
4,102102000,0.0262780129767,1875931,1882459,0.078942,1384770,90566846,0.357426,2330203,0.093763,90566846,0.351708
4,102102000,0.0286563763501,1726924,1742443,0.036204,1251764,90566846,0.366389,1742443,0.036204,90566846,0.360494
4,102102000,0.03125,1665278,1681271,0.085831,1131392,90253964,0.370833,1681271,0.085831,90253964,0.364870
4,102102000,0.0340783666458,1665278,1681271,0.127754,1022497,90253964,0.368987,1681271,0.127754,90253964,0.363125
4,102102000,0.0371627223438,1665278,1681271,0.135617,923937,91021811,0.378232,1681271,0.135617,91021811,0.372699
4,102102000,0.0405262360828,944362,951124,0.025422,834793,91021811,0.373817,951124,0.010531,91021811,0.368219
4,102102000,0.0441941738242,1385326,1400299,0.089043,754150,92922098,0.388853,1400299,0.089043,90077551,0.383083
4,102102000,0.048194088294,733504,736279,0.071743,681184,91793792,0.386366,736279,0.051936,91793792,0.380960
4,102102000,0.0525560259534,611264,627271,0.056101,615211,98075491,0.391726,627271,0.037337,90198254,0.389621
4,102102000,0.0573127527003,594974,606104,0.087853,555549,91063514,0.395494,606104,0.066806,91063514,0.389453
4,102102000,0.0625,594974,606104,0.106550,501616,92512297,0.398146,606104,0.086305,89931607,0.397254
4,102102000,0.0681567332916,476416,480659,0.053695,452839,92512297,0.396760,480659,0.028163,92512297,0.391230
4,102102000,0.0743254446877,424313,435443,0.096208,408743,92512297,0.405121,480659,0.017742,90385499,0.401881
4,102102000,0.0810524721657,266374,281291,0.005420,368897,92512297,0.401251,435443,0.060056,90385499,0.397723
4,102102000,0.0883883476483,284938,294824,0.109189,332872,90385499,0.406560,294824,0.092943,90385499,0.400449
4,102102000,0.096388176588,284938,286733,0.097151,300328,90385499,0.407546,286733,0.080490,90385499,0.401207
4,102102000,0.105112051907,266374,284938,0.080503,270921,90385499,0.412738,284938,0.063053,90385499,0.406903
4,102102000,0.114625505401,266374,283982,0.104699,244353,91338344,0.415939,283982,0.087572,91338344,0.410501
4,102102000,0.125,119563,120418,0.053110,220352,91338344,0.417686,281581,0.157500,91338344,0.412050
4,102102000,0.136313466583,119563,120418,0.087315,198682,91338344,0.421921,150184,0.045989,91338344,0.415755
4,102102000,0.148650889375,109981,111119,0.048076,179105,91338344,0.426775,150184,0.029170,91338344,0.421245
4,102102000,0.162104944331,109981,111637,0.146522,161433,101352367,0.434715,111637,0.114318,89921978,0.433632
4,102102000,0.176776695297,92381,92489,0.131961,145472,92645677,0.437283,111119,0.113716,89921978,0.434368
4,102102000,0.192776353176,92381,92843,0.146649,131069,91338344,0.441411,95516,0.177484,89923076,0.439981
4,102102000,0.210224103813,58543,59027,0.084778,118070,92108453,0.443361,59027,0.037570,90141281,0.442096
4,102102000,0.229251010801,28921,30749,0.112918,106338,98399011,0.447988,59027,0.107882,98399011,0.442667
4,102102000,0.25,25052,25633,0.059169,95756,91689881,0.451234,59027,0.168394,89858018,0.447912
4,102102000,0.272626933166,20947,22772,0.074661,86206,99404419,0.456099,34396,0.085585,90595664,0.451126
4,102102000,0.297301778751,12574,12671,0.169945,77595,96761486,0.457910,36436,0.054878,89915116,0.456967
4,102102000,0.324209888663,23201,24256,0.168985,69829,96761486,0.463682,36436,0.137955,89879269,0.463379
4,102102000,0.353553390593,23201,24256,0.231317,62826,92445274,0.466779,30014,0.068165,89879269,0.466292
4,102102000,0.385552706352,6046,6184,0.129128,56512,99003746,0.472358,30014,0.110481,89883994,0.471908
4,102102000,0.420448207627,4801,4909,0.154197,50822,92445274,0.478184,11351,0.219942,89993809,0.475792
4,102102000,0.458502021602,4801,4933,0.219921,45693,92977351,0.483481,8881,0.204141,89880332,0.483072
4,102102000,0.5,5416,5557,0.306962,41072,92977351,0.488997,7246,0.034658,90408334,0.486601
4,102102000,0.545253866333,1966,2029,0.027049,36910,100657418,0.497452,5557,0.263971,89880332,0.496059
4,102102000,0.594603557501,1669,1733,0.083101,33160,90101311,0.505363,3964,0.074105,89994391,0.504544
4,102102000,0.648419777326,1109,1114,0.393096,29784,90101311,0.513197,1567,0.072563,90101311,0.508780
4,102102000,0.707106781187,841,859,0.061293,26745,90101311,0.525128,1114,0.334123,89860711,0.523920
4,102102000,0.771105412704,556,571,0.231394,24008,92127289,0.538024,1468,0.218116,89860711,0.536313
4,102102000,0.840896415254,556,577,0.378010,21545,101285614,0.553236,577,0.161320,89855291,0.552399
4,102102000,0.917004043205,199,214,0.394117,19330,101285614,0.575217,733,0.460297,91125604,0.572326
4,102102000,1,199,214,0.394117,17571,101285614,0.616677,724,0.405829,90024433,0.616598
