2N,N-M,N+M,2M
4,2,2,0
6,3,3,0
8,3,5,2
10,3,7,4
12,5,7,2
14,3,11,8
16,5,11,6
18,7,11,4
20,7,13,6
22,5,17,12
24,11,13,2
26,7,19,12
28,11,17,6
30,13,17,4
32,13,19,6
34,11,23,12
36,17,19,2
38,7,31,24
40,17,23,6
42,19,23,4
44,13,31,18
46,17,29,12
48,19,29,10
50,19,31,12
52,23,29,6
54,23,31,8
56,19,37,18
58,17,41,24
60,29,31,2
62,19,43,24
64,23,41,18
66,29,37,8
68,31,37,6
70,29,41,12
72,31,41,10
74,31,43,12
76,29,47,18
78,37,41,4
80,37,43,6
82,29,53,24
84,41,43,2
86,19,67,48
88,41,47,6
90,43,47,4
92,31,61,30
94,41,53,12
96,43,53,10
98,37,61,24
100,47,53,6
102,43,59,16
104,43,61,18
106,47,59,12
108,47,61,14
110,43,67,24
112,53,59,6
114,53,61,8
116,43,73,30
118,47,71,24
120,59,61,2
122,43,79,36
124,53,71,18
126,59,67,8
128,61,67,6
130,59,71,12
132,61,71,10
134,61,73,12
136,53,83,30
138,67,71,4
140,67,73,6
142,59,83,24
144,71,73,2
146,67,79,12
148,59,89,30
150,71,79,8
152,73,79,6
154,71,83,12
156,73,83,10
158,61,97,36
160,71,89,18
162,79,83,4
164,67,97,30
166,59,107,48
168,79,89,10
170,73,97,24
172,83,89,6
174,73,101,28
176,79,97,18
178,71,107,36
180,83,97,14
182,79,103,24
184,83,101,18
186,89,97,8
188,79,109,30
190,89,101,12
192,89,103,14
194,67,127,60
196,89,107,18
198,97,101,4
200,97,103,6
202,89,113,24
204,101,103,2
206,97,109,12
208,101,107,6
210,103,107,4
212,103,109,6
214,101,113,12
216,107,109,2
218,79,139,60
220,107,113,6
222,109,113,4
224,97,127,30
226,89,137,48
228,101,127,26
230,103,127,24
232,101,131,30
234,107,127,20
236,109,127,18
238,107,131,24
240,113,127,14
242,103,139,36
244,113,131,18
246,109,137,28
248,109,139,30
250,113,137,24
252,113,139,26
254,103,151,48
256,107,149,42
258,127,131,4
260,109,151,42
262,113,149,36
264,127,137,10
266,127,139,12
268,131,137,6
270,131,139,8
272,109,163,54
274,107,167,60
276,137,139,2
278,127,151,24
280,131,149,18
282,131,151,20
284,127,157,30
286,137,149,12
288,139,149,10
290,139,151,12
292,113,179,66
294,137,157,20
296,139,157,18
298,131,167,36
300,149,151,2
302,139,163,24
304,137,167,30
306,149,157,8
308,151,157,6
310,137,173,36
312,149,163,14
314,151,163,12
316,149,167,18
318,151,167,16
320,157,163,6
322,149,173,24
324,157,167,10
326,127,199,72
328,149,179,30
330,163,167,4
332,151,181,30
334,137,197,60
336,163,173,10
338,157,181,24
340,167,173,6
342,163,179,16
344,163,181,18
346,167,179,12
348,167,181,14
350,157,193,36
352,173,179,6
354,173,181,8
356,163,193,30
358,167,191,24
360,179,181,2
362,163,199,36
364,173,191,18
366,173,193,20
368,157,211,54
370,179,191,12
372,181,191,10
374,181,193,12
376,179,197,18
378,181,197,16
380,181,199,18
382,149,233,84
384,191,193,2
386,163,223,60
388,191,197,6
390,193,197,4
392,193,199,6
394,167,227,60
396,197,199,2
398,157,241,84
400,173,227,54
402,191,211,20
404,193,211,18
406,179,227,48
408,197,211,14
410,199,211,12
412,179,233,54
414,191,223,32
416,193,223,30
418,191,227,36
420,197,223,26
422,199,223,24
424,197,227,30
426,199,227,28
428,199,229,30
430,197,233,36
432,199,233,34
434,211,223,12
436,197,239,42
438,211,227,16
440,211,229,18
442,191,251,60
444,211,233,22
446,163,283,120
448,197,251,54
450,223,227,4
452,223,229,6
454,197,257,60
456,227,229,2
458,181,277,96
460,227,233,6
462,229,233,4
464,223,241,18
466,227,239,12
468,229,239,10
470,229,241,12
472,233,239,6
474,233,241,8
476,199,277,78
478,227,251,24
480,239,241,2
482,211,271,60
484,233,251,18
486,229,257,28
488,211,277,66
490,239,251,12
492,241,251,10
494,223,271,48
496,239,257,18
498,241,257,16
500,229,271,42
502,239,263,24
504,241,263,22
506,229,277,48
508,251,257,6
510,241,269,28
512,241,271,30
514,251,263,12
516,239,277,38
518,241,277,36
520,257,263,6
522,251,271,20
524,241,283,42
526,257,269,12
528,257,271,14
530,223,307,84
532,263,269,6
534,263,271,8
536,229,307,78
538,257,281,24
540,269,271,2
542,229,313,84
544,263,281,18
546,269,277,8
548,271,277,6
550,269,281,12
552,271,281,10
554,271,283,12
556,263,293,30
558,277,281,4
560,277,283,6
562,269,293,24
564,281,283,2
566,229,337,108
568,257,311,54
570,277,293,16
572,241,331,90
574,281,293,12
576,283,293,10
578,271,307,36
580,269,311,42
582,271,311,40
584,277,307,30
586,269,317,48
588,281,307,26
590,283,307,24
592,281,311,30
594,283,311,28
596,283,313,30
598,281,317,36
600,293,307,14
602,271,331,60
604,293,311,18
606,293,313,20
608,277,331,54
610,293,317,24
612,281,331,50
614,283,331,48
616,269,347,78
618,307,311,4
620,307,313,6
622,269,353,84
624,311,313,2
626,277,349,72
628,311,317,6
630,313,317,4
632,283,349,66
634,281,353,72
636,283,353,70
638,307,331,24
640,293,347,54
642,311,331,20
644,313,331,18
646,293,353,60
648,317,331,14
650,313,337,24
652,293,359,66
654,317,337,20
656,307,349,42
658,311,347,36
660,313,347,34
662,313,349,36
664,317,347,30
666,317,349,32
668,331,337,6
670,317,353,36
672,313,359,46
674,307,367,60
676,317,359,42
678,331,347,16
680,331,349,18
682,293,389,96
684,337,347,10
686,337,349,12
688,269,419,150
690,337,353,16
692,313,379,66
694,311,383,72
696,347,349,2
698,331,367,36
700,347,353,6
702,349,353,4
704,337,367,30
706,347,359,12
708,349,359,10
710,337,373,36
712,353,359,6
714,347,367,20
716,349,367,18
718,317,401,84
720,353,367,14
722,349,373,24
724,293,431,138
726,359,367,8
728,349,379,30
730,347,383,36
732,359,373,14
734,337,397,60
736,353,383,30
738,359,379,20
740,367,373,6
742,359,383,24
744,347,397,50
746,367,379,12
748,359,389,30
750,367,383,16
752,373,379,6
754,353,401,48
756,373,383,10
758,349,409,60
760,359,401,42
762,379,383,4
764,367,397,30
766,347,419,72
768,379,389,10
770,373,397,24
772,383,389,6
774,373,401,28
776,379,397,18
778,359,419,60
780,383,397,14
782,373,409,36
784,383,401,18
786,389,397,8
788,379,409,30
790,389,401,12
792,383,409,26
794,373,421,48
796,353,443,90
798,397,401,4
800,379,421,42
802,383,419,36
804,383,421,38
806,397,409,12
808,389,419,30
810,401,409,8
812,379,433,54
814,383,431,48
816,397,419,22
818,397,421,24
820,401,419,18
822,401,421,20
824,367,457,90
826,383,443,60
828,409,419,10
830,409,421,12
832,401,431,30
