Dec,n_0,C_min,Npred_0,CpredAlign,Lambda_min
2,223,1.053604,256,0.073329,2.665012e+00
2,379,1.492247,397,0.450209,1.198327e+00
2,433,1.364958,499,0.620560,7.882572e-01
2,569,1.983900,512,0.633750,1.141165e+00
2,661,1.788981,691,0.842853,7.526087e-01
2,706,1.706515,797,0.933304,6.034775e-01
2,802,1.784236,887,0.997965,5.810276e-01
2,967,1.761041,997,1.066483,5.015385e-01
3,1402,1.647631,1024,1.078937,4.233626e-01
3,2029,1.715762,2048,1.431712,1.809867e-01
3,3076,1.845344,3989,1.701219,8.132037e-02
3,4801,1.856187,4096,1.709954,8.205773e-02
3,5416,1.965120,5987,1.836535,6.767246e-02
3,6353,2.124621,6997,1.883580,1.204190e-01
3,7219,2.055910,7993,1.921711,6.750267e-02
3,8777,2.179478,8192,1.928219,1.224886e-01
3,9649,2.163663,9973,1.981236,8.808190e-02
4,11272,2.131467,16384,2.098481,1.559653e-02
4,20816,2.279925,29989,2.215614,2.861320e-02
4,35792,2.297694,32768,2.230577,2.964554e-02
4,40597,2.307754,49999,2.295924,5.139333e-03
4,51826,2.346624,59999,2.321028,1.096750e-02
4,67904,2.413565,65536,2.332531,3.415086e-02
4,71633,2.358847,79999,2.357264,6.713470e-04
4,89459,2.383150,89989,2.370976,5.121358e-03
4,92357,2.434532,99991,2.382740,2.150327e-02
5,116728,2.402456,131072,2.410834,-3.481074e-03
5,204928,2.464243,262144,2.470690,-2.612730e-03
5,366794,2.499164,399989,2.499940,-3.105547e-04
5,463549,2.513127,499979,2.513510,-1.524201e-04
5,548461,2.531963,524288,2.516240,6.229361e-03
5,686398,2.527108,699967,2.531812,-1.859769e-03
5,770558,2.532269,799999,2.538418,-2.425367e-03
5,804191,2.552045,899981,2.543953,3.175652e-03
5,915961,2.547074,999983,2.548687,-6.329846e-04
6,1201553,2.553525,1048576,2.550751,1.087081e-03
6,2053553,2.579809,2097152,2.576785,1.172866e-03
6,3004042,2.591117,3999971,2.595174,-1.564371e-03
6,4792159,2.588525,4194304,2.596339,-3.013978e-03
6,5167067,2.597599,5999993,2.604424,-2.623867e-03
6,6175451,2.603294,6999997,2.607545,-1.631630e-03
6,7376626,2.610535,7999993,2.610089,1.710359e-04
6,8143934,2.607556,8388608,2.610957,-1.303612e-03
6,9121549,2.613892,9999991,2.614029,-5.222242e-05
7,10030684,2.609830,16777216,2.621834,-4.588846e-03
7,24496594,2.621733,29999999,2.628742,-2.669767e-03
7,30099763,2.626030,33554432,2.629881,-1.465554e-03
7,41344276,2.629465,49999991,2.633510,-1.536984e-03
7,53699671,2.633020,59999999,2.634964,-7.379911e-04
7,66759878,2.632266,67108864,2.635799,-1.341426e-03
7,78822322,2.634340,79999987,2.637028,-1.019759e-03
7,82476448,2.635786,89999999,2.637798,-7.629120e-04
7,96281998,2.635636,99999989,2.638452,-1.067824e-03
