START,n_0,C_min,Npred_0,CpredAlign,Lambda_min
(5#)15/2,236,1.517972,239,0.021709,4.247416e+00
(5#)8,241,1.504150,251,0.066178,3.123640e+00
(5#)17/2,262,2.366905,256,0.073329,3.474385e+00
(5#)9,283,1.808288,283,0.172140,2.351830e+00
(5#)19/2,292,2.207228,293,0.202833,2.387110e+00
(5#)10,313,1.693274,313,0.258699,1.878752e+00
(7#)3/2,316,2.096745,317,0.269307,2.052290e+00
(5#)11,337,1.613017,337,0.319805,1.618151e+00
(5#)23/2,349,1.970222,359,0.370338,1.671485e+00
(5#)12,362,1.917761,373,0.401396,1.563965e+00
(5#)25/2,379,1.492247,389,0.434382,1.234113e+00
(5#)13,391,1.826947,401,0.457964,1.383611e+00
(5#)27/2,412,2.111809,419,0.491123,1.458606e+00
(7#)2,433,1.364958,433,0.516530,9.717459e-01
(5#)29/2,439,2.366648,449,0.543705,1.470824e+00
(5#)15,463,1.956971,463,0.565994,1.240570e+00
(5#)31/2,466,1.944258,479,0.590916,1.190962e+00
(5#)16,481,1.907067,491,0.608895,1.141676e+00
(5#)33/2,496,1.863948,509,0.635203,1.076507e+00
(5#)17,524,2.394277,512,0.633750,1.329182e+00
(7#)5/2,526,2.089567,538,0.679521,1.123324e+00
(5#)18,548,2.031998,547,0.685692,1.086347e+00
(5#)37/2,569,1.983900,569,0.713417,1.022754e+00
(5#)19,577,2.245675,577,0.723017,1.133328e+00
(5#)39/2,599,2.188595,599,0.748199,1.073347e+00
(5#)20,601,1.910627,613,0.764131,9.164470e-01
(5#)41/2,617,1.876316,619,0.770351,8.902189e-01
(7#)3,631,2.111378,643,0.795712,9.758594e-01
(5#)43/2,649,2.329513,659,0.811932,1.053998e+00
(5#)22,661,1.788981,673,0.825991,7.728178e-01
(5#)45/2,677,2.010889,683,0.835304,8.785364e-01
(5#)23,697,2.216917,701,0.852406,9.558097e-01
(5#)47/2,706,1.706515,719,0.868389,6.755690e-01
(5#)24,734,2.135493,733,0.880929,8.854754e-01
(7#)7/2,743,2.355865,743,0.889246,9.742888e-01
(5#)25,751,2.338294,761,0.904563,9.497247e-01
(5#)51/2,766,2.072834,773,0.914341,8.184684e-01
(5#)26,788,1.806384,787,0.925254,6.690146e-01
(5#)53/2,802,1.784236,809,0.942503,6.382064e-01
(5#)27,821,1.976976,823,0.952779,7.299404e-01
(5#)55/2,839,2.379710,839,0.964504,9.031202e-01
(7#)4,841,2.159749,853,0.974742,7.955742e-01
(5#)57/2,859,1.914982,863,0.981544,6.683369e-01
(5#)29,883,2.295458,883,0.995269,8.356745e-01
(5#)59/2,886,2.287381,887,0.997964,8.294452e-01
(5#)30,904,2.050129,911,1.013805,7.041926e-01
(5#)61/2,919,1.825774,929,1.025524,5.768007e-01
(5#)31,943,1.991920,941,1.033037,6.565960e-01
(7#)9/2,958,2.164457,953,1.040423,7.325418e-01
(5#)32,967,1.761041,971,1.051085,5.160824e-01
(5#)65/2,982,1.933461,983,1.058174,6.027671e-01
(5#)33,997,2.106150,997,1.066483,6.804955e-01
(5#)67/2,1009,1.898450,1019,1.078767,5.652187e-01
(5#)34,1024,2.252124,1024,1.078937,7.358976e-01
(5#)69/2,1048,2.030676,1049,1.095373,6.172734e-01
(7#)5,1063,2.195023,1063,1.102657,6.884695e-01
(5#)71/2,1072,2.361462,1069,1.105983,7.585466e-01
(5#)36,1094,2.506504,1093,1.118369,8.070177e-01
(5#)73/2,1109,1.952088,1109,1.126426,5.498500e-01
(5#)37,1123,2.110511,1123,1.133191,6.218923e-01
(5#)75/2,1126,2.104611,1129,1.136283,6.163679e-01
(5#)38,1147,2.252003,1153,1.147809,6.739655e-01
(11#)/2,1244,2.122683,1259,1.194993,5.745407e-01
(7#)6,1319,1.723241,1361,1.235902,3.324061e-01
(7#)13/2,1402,1.647631,1459,1.271284,2.593108e-01
(7#)7,1489,1.865276,1571,1.308156,3.547905e-01
(7#)15/2,1676,2.104753,1669,1.337747,4.532112e-01
(7#)8,1774,2.019039,1783,1.369165,3.884206e-01
(7#)17/2,1849,2.204669,1889,1.396229,4.568026e-01
(7#)9,1966,1.989272,1993,1.420790,3.365557e-01
(7#)19/2,2029,1.715762,2048,1.431712,1.809866e-01
(7#)10,2104,2.003507,2203,1.465443,3.127418e-01
(7#)21/2,2287,1.989104,2309,1.485976,2.916123e-01
(11#),2347,2.156625,2411,1.504442,3.601222e-01
(7#)23/2,2447,2.190317,2503,1.520280,3.651520e-01
(7#)12,2623,2.363446,2621,1.539544,4.286343e-01
(7#)25/2,2633,2.168203,2729,1.556128,3.316983e-01
(7#)13,2809,2.065835,2833,1.571283,2.736421e-01
(7#)27/2,2909,2.274897,2939,1.585927,3.607654e-01
(7#)14,2974,2.064698,3041,1.599463,2.553159e-01
(7#)29/2,3076,1.845344,3137,1.611609,1.354324e-01
(7#)15,3221,2.107297,3253,1.625635,2.595073e-01
(7#)31/2,3334,2.210551,3359,1.637830,2.998694e-01
(7#)16,3386,2.340982,3463,1.649346,3.501915e-01
(11#)3/2,3559,2.029695,3559,1.659570,2.013268e-01
(7#)17,3571,2.249487,3673,1.671279,2.971130e-01
(7#)35/2,3769,1.943543,3779,1.681658,1.447325e-01
(7#)18,3799,2.075010,3881,1.691358,2.044343e-01
(7#)37/2,3964,2.216472,3989,1.701220,2.645712e-01
(7#)19,4051,2.044491,4093,1.710382,1.784323e-01
(7#)39/2,4153,2.340594,4096,1.709954,3.139382e-01
(7#)20,4282,2.220909,4297,1.727473,2.512568e-01
(7#)41/2,4393,2.306710,4409,1.736398,2.840094e-01
(7#)21,4486,2.143577,4513,1.744415,2.060565e-01
(7#)43/2,4603,2.102361,4603,1.751124,1.828033e-01
(11#)2,4651,2.085780,4723,1.759839,1.699208e-01
(7#)45/2,4801,1.856187,4817,1.766489,4.953061e-02
(7#)23,4909,2.178086,4933,1.774420,2.049726e-01
(7#)47/2,4987,2.151973,5039,1.781424,1.889721e-01
(7#)24,5086,2.176695,5119,1.786600,1.974934e-01
(7#)49/2,5242,2.126897,5237,1.794066,1.701798e-01
(7#)25,5308,2.217466,5351,1.801012,2.080162e-01
(7#)51/2,5416,1.965120,5449,1.806874,8.395498e-02
(7#)26,5557,2.301782,5563,1.813462,2.384459e-01
(7#)53/2,5596,2.182571,5669,1.819473,1.819565e-01
(7#)27,5728,2.248387,5749,1.823891,2.092410e-01
(11#)5/2,5857,2.159168,5879,1.830872,1.649305e-01
(7#)28,5906,2.349289,5981,1.836248,2.463886e-01
(7#)57/2,6038,2.309643,6089,1.841781,2.263598e-01
(7#)29,6131,2.233345,6173,1.845993,1.904831e-01
(7#)59/2,6218,2.356115,6299,1.852146,2.406690e-01
(7#)30,6353,2.124621,6397,1.856857,1.347082e-01
(7#)61/2,6421,2.298798,6491,1.861242,2.111425e-01
(7#)31,6568,2.399779,6607,1.866563,2.512781e-01
(7#)63/2,6719,2.265862,6719,1.871581,1.911719e-01
(7#)32,6791,2.430712,6823,1.876139,2.589681e-01
(7#)65/2,6863,2.365471,6917,1.880200,2.295992e-01
(11#)3,7024,2.323062,7027,1.884815,2.090565e-01
(7#)67/2,7108,2.390305,7129,1.889045,2.353495e-01
(7#)34,7219,2.055910,7243,1.893637,8.221940e-02
(7#)69/2,7246,2.136908,7349,1.897854,1.186359e-01
(7#)35,7351,2.199762,7451,1.901800,1.455481e-01
(7#)71/2,7522,2.372402,7559,1.905917,2.189394e-01
(7#)36,7561,2.321013,7649,1.909307,1.952635e-01
(7#)73/2,7727,2.199214,7759,1.913337,1.392513e-01
(7#)37,7846,2.336977,7873,1.917468,1.978529e-01
(7#)75/2,7951,2.232082,7963,1.920641,1.502757e-01
(7#)38,8062,2.328303,8081,1.924769,1.903339e-01
(11#)7/2,8116,2.236375,8179,1.928104,1.483191e-01
(7#)39,8224,2.292547,8192,1.928219,1.730667e-01
(7#)79/2,8311,2.234912,8389,1.935123,1.440311e-01
(7#)40,8429,2.249292,8501,1.938760,1.485667e-01
(7#)81/2,8599,2.329117,8609,1.942207,1.816641e-01
(7#)41,8614,2.287560,8713,1.945472,1.619812e-01
(7#)83/2,8777,2.179478,8819,1.948730,1.119074e-01
(7#)42,8839,2.279660,8923,1.951890,1.552283e-01
(7#)85/2,9014,2.281605,9029,1.955074,1.544511e-01
(7#)43,9091,2.412999,9133,1.958135,2.088778e-01
(7#)87/2,9173,2.323530,9239,1.961192,1.695351e-01
(11#)4,9283,2.301998,9343,1.964159,1.587131e-01
(7#)89/2,9349,2.396602,9439,1.966860,1.976137e-01
(7#)45,9511,2.294051,9551,1.969962,1.523048e-01
(7#)91/2,9649,2.163663,9649,1.972650,9.242456e-02
(7#)46,9748,2.284701,9749,1.975342,1.454938e-01
(7#)93/2,9817,2.375649,9859,1.978245,1.830604e-01
