START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
5,5,2.590290,5,0.163541,2.762461e+00,3.585599,6.768043e-01
9,9,4.827796,9,0.611506,2.066221e+00,3.813561,1.105604e+00
12,12,4.116507,12,0.286402,2.665364e+00,3.414290,1.121787e+00
(7#)15/2,1676,2.104753,1669,0.039879,3.966104e+00,0.550807,3.748816e+00
(7#)8,1774,2.019039,1783,0.146311,2.624642e+00,0.529300,3.538122e+00
(7#)17/2,1849,2.204669,1889,0.229037,2.264449e+00,0.510278,3.871678e+00
(7#)9,1966,1.989272,1993,0.315377,1.841755e+00,0.492430,3.399255e+00
(7#)19/2,2029,1.715762,2048,0.386403,1.490732e+00,0.476485,2.789928e+00
(7#)10,2104,2.003507,2203,0.457343,1.477221e+00,0.461392,3.351085e+00
(7#)21/2,2287,1.989104,2309,0.518358,1.344773e+00,0.447799,3.284389e+00
(11#),2347,2.156625,2411,0.576285,1.319697e+00,0.434832,3.634369e+00
(7#)23/2,2447,2.190317,2503,0.624113,1.255470e+00,0.421354,3.717074e+00
(7#)12,2623,2.363446,2621,0.587821,1.391454e+00,0.411816,4.311695e+00
(7#)25/2,2633,2.168203,2729,0.545150,1.380593e+00,0.401537,4.042101e+00
(7#)13,2809,2.065835,2833,0.512284,1.394411e+00,0.391414,3.969074e+00
(7#)27/2,2909,2.274897,2939,0.461712,1.594749e+00,0.382548,4.739758e+00
(7#)14,2974,2.064698,3041,0.426261,1.577687e+00,0.373756,4.383708e+00
(7#)29/2,3076,1.845344,3137,0.451066,1.408807e+00,0.365664,3.813003e+00
(7#)15,3221,2.107297,3253,0.518443,1.402331e+00,0.357801,4.440608e+00
(7#)31/2,3334,2.210551,3359,0.559419,1.374098e+00,0.350538,4.710280e+00
(7#)16,3386,2.340982,3463,0.620517,1.327773e+00,0.343455,5.009288e+00
(11#)3/2,3559,2.029695,3559,0.670596,1.107474e+00,0.336892,4.034228e+00
(7#)17,3571,2.249487,3673,0.706681,1.157878e+00,0.328986,4.689579e+00
(7#)35/2,3769,1.943543,3779,0.762227,9.360235e-01,0.324509,3.640318e+00
(7#)18,3799,2.075010,3881,0.799453,9.537935e-01,0.318661,4.002865e+00
(7#)37/2,3964,2.216472,3989,0.844217,9.652625e-01,0.313212,4.381234e+00
(7#)19,4051,2.044491,4093,0.881686,8.410682e-01,0.307856,3.777107e+00
(7#)39/2,4153,2.340594,4096,0.922601,9.309632e-01,0.302476,4.687952e+00
(7#)20,4282,2.220909,4297,0.956845,8.420304e-01,0.297930,4.242822e+00
(7#)41/2,4393,2.306710,4409,0.994412,8.414259e-01,0.293321,4.473931e+00
(7#)21,4486,2.143577,4513,1.025997,7.368111e-01,0.288773,3.870099e+00
(7#)43/2,4603,2.102361,4603,1.019818,7.234368e-01,0.284509,3.804952e+00
(11#)2,4651,2.085780,4723,1.001662,7.334823e-01,0.280294,3.867789e+00
(7#)45/2,4801,1.856187,4817,0.991027,6.275379e-01,0.275004,3.145991e+00
(7#)23,4909,2.178086,4933,0.965769,8.132771e-01,0.272416,4.450242e+00
(7#)47/2,4987,2.151973,5039,0.947237,8.205910e-01,0.268730,4.483072e+00
(7#)24,5086,2.176695,5119,0.925886,8.548118e-01,0.265075,4.718698e+00
(7#)49/2,5242,2.126897,5237,0.906685,8.526243e-01,0.261632,4.663848e+00
(7#)25,5308,2.217466,5351,0.888134,9.149977e-01,0.258214,5.148179e+00
(7#)51/2,5416,1.965120,5449,0.867364,8.178499e-01,0.254989,4.305111e+00
(7#)26,5557,2.301782,5563,0.850183,9.959873e-01,0.251621,5.768990e+00
(7#)53/2,5596,2.182571,5669,0.830795,9.658757e-01,0.248757,5.434122e+00
(7#)27,5728,2.248387,5749,0.807175,1.024428e+00,0.245744,5.864688e+00
(11#)5/2,5857,2.159168,5879,0.789158,1.006512e+00,0.242896,5.640315e+00
(7#)28,5906,2.349289,5981,0.775622,1.108203e+00,0.238782,6.590392e+00
(7#)57/2,6038,2.309643,6089,0.796200,1.064998e+00,0.237373,6.375801e+00
(7#)29,6131,2.233345,6173,0.830737,9.889425e-01,0.234694,5.976327e+00
(7#)59/2,6218,2.356115,6299,0.867854,9.987459e-01,0.232156,6.410608e+00
(7#)30,6353,2.124621,6397,0.890652,8.693949e-01,0.229624,5.373868e+00
(7#)61/2,6421,2.298798,6469,0.916694,9.193679e-01,0.227221,6.082642e+00
(7#)31,6568,2.399779,6607,0.943838,9.331774e-01,0.224822,6.475972e+00
(7#)63/2,6719,2.265862,6719,0.975486,8.427747e-01,0.222543,5.798322e+00
(7#)32,6791,2.430712,6823,1.002883,8.853054e-01,0.220266,6.482294e+00
(7#)65/2,6863,2.365471,6917,1.026114,8.351983e-01,0.217953,6.145164e+00
(11#)3,7024,2.323062,7027,1.059772,7.848324e-01,0.215938,5.850244e+00
(7#)67/2,7108,2.390305,7129,1.076644,7.975722e-01,0.212744,6.174844e+00
(7#)34,7219,2.055910,7243,1.099798,6.255920e-01,0.211819,4.513816e+00
(7#)69/2,7246,2.136908,7349,1.124610,6.419236e-01,0.209858,4.823728e+00
(7#)35,7351,2.199762,7451,1.146638,6.515150e-01,0.207894,5.065678e+00
(7#)71/2,7522,2.372402,7559,1.170307,7.066368e-01,0.206024,5.834733e+00
(7#)36,7561,2.321013,7649,1.194969,6.638835e-01,0.204149,5.515795e+00
(7#)73/2,7727,2.199214,7759,1.219459,5.896927e-01,0.202358,4.841691e+00
(7#)37,7846,2.336977,7873,1.237775,6.355428e-01,0.200570,5.480391e+00
(7#)75/2,7951,2.232082,7963,1.257271,5.739913e-01,0.198862,4.901947e+00
(7#)38,8062,2.328303,8081,1.274481,6.026006e-01,0.197147,5.345362e+00
(11#)7/2,8116,2.236375,8179,1.295020,5.463301e-01,0.195511,4.814844e+00
(7#)39,8224,2.292547,8192,1.318451,5.532059e-01,0.193904,5.023599e+00
(7#)79/2,8311,2.234912,8389,1.334740,5.154653e-01,0.192300,4.681082e+00
(7#)40,8429,2.249292,8501,1.359683,5.033639e-01,0.190725,4.664354e+00
(7#)81/2,8599,2.329117,8609,1.374197,5.276197e-01,0.189221,5.046586e+00
(7#)41,8614,2.287560,8713,1.386089,5.009996e-01,0.187709,4.802492e+00
(7#)83/2,8777,2.179478,8819,1.405779,4.384938e-01,0.186264,4.153776e+00
(7#)42,8839,2.279660,8923,1.423298,4.710496e-01,0.184811,4.633718e+00
(7#)85/2,9014,2.281605,9029,1.437585,4.619145e-01,0.183422,4.601520e+00
(7#)43,9091,2.412999,9133,1.456089,5.051163e-01,0.182024,5.257054e+00
(7#)87/2,9173,2.323530,9239,1.471190,4.570160e-01,0.180687,4.717218e+00
(11#)4,9283,2.301998,9343,1.492741,4.331634e-01,0.179342,4.512367e+00
(7#)89/2,9349,2.396602,9439,1.500560,4.682135e-01,0.177041,5.061212e+00
(7#)45,9511,2.294051,9551,1.519058,4.122288e-01,0.176754,4.384585e+00
(7#)91/2,9649,2.163663,9649,1.530278,3.463532e-01,0.175387,3.611357e+00
(7#)46,9748,2.284701,9749,1.544030,3.918393e-01,0.174268,4.250184e+00
(7#)93/2,9817,2.375649,9829,1.560217,4.204457e-01,0.173071,4.711546e+00
(7#)47,9941,2.284239,9973,1.574734,3.719466e-01,0.171865,4.128269e+00
(7#)95/2,10078,2.360845,10079,1.586442,3.975258e-01,0.170710,4.536366e+00
(7#)48,10174,2.343381,10181,1.599221,3.820781e-01,0.169545,4.389159e+00
(7#)97/2,10273,2.292671,10289,1.613011,3.516149e-01,0.168429,4.035291e+00
(7#)49,10369,2.243034,10391,1.627784,3.206098e-01,0.167304,3.677437e+00
(11#)9/2,10462,2.194423,10499,1.638689,2.920226e-01,0.166225,3.343264e+00
(7#)50,10501,2.449522,10601,1.653045,3.932739e-01,0.165160,4.822457e+00
(7#)101/2,10687,2.319381,10709,1.664733,3.316356e-01,0.164093,3.989494e+00
(7#)51,10786,2.430362,10799,1.674967,3.722468e-01,0.163039,4.633217e+00
(7#)103/2,10883,2.318296,10909,1.691963,3.149430e-01,0.162029,3.865561e+00
(7#)52,11023,2.452351,11003,1.700893,3.658937e-01,0.160885,4.670777e+00
(7#)105/2,11054,2.258518,11087,1.710586,2.778728e-01,0.160031,3.423912e+00
(7#)53,11197,2.391314,11213,1.726693,3.256350e-01,0.159042,4.178902e+00
(7#)107/2,11272,2.131467,11329,1.734061,2.063444e-01,0.158091,2.513780e+00
(7#)54,11353,2.334737,11443,1.743453,2.920316e-01,0.157136,3.762881e+00
(7#)109/2,11461,2.347919,11549,1.755758,2.906287e-01,0.156216,3.790655e+00
(11#)5,11593,2.296655,11633,1.764828,2.634005e-01,0.155287,3.424801e+00
(7#)111/2,11749,2.392249,11743,1.775782,2.979930e-01,0.154392,3.992869e+00
(7#)56,11839,2.348206,11863,1.787515,2.728252e-01,0.153493,3.652877e+00
(7#)113/2,11932,2.392674,11969,1.793302,2.883530e-01,0.152627,3.927038e+00
(7#)57,11971,2.386736,12073,1.796685,2.839834e-01,0.151751,3.888284e+00
(7#)115/2,12101,2.395745,12163,1.800644,2.855499e-01,0.150909,3.943443e+00
(7#)58,12281,2.223656,12281,1.803667,2.093309e-01,0.150059,2.798826e+00
(7#)117/2,12326,2.217079,12347,1.806722,2.046764e-01,0.149238,2.749682e+00
(7#)59,12422,2.346659,12491,1.809830,2.597597e-01,0.148414,3.617105e+00
(7#)119/2,12574,2.295932,12589,1.813033,2.361377e-01,0.147619,3.271252e+00
(7#)60,12671,2.225896,12703,1.816118,2.034583e-01,0.146815,2.791118e+00
(11#)11/2,12757,2.354186,12809,1.819391,2.576932e-01,0.146042,3.661926e+00
(7#)61,12878,2.336543,12911,1.822498,2.484644e-01,0.145277,3.538378e+00
(7#)123/2,12982,2.377047,13009,1.825220,2.641584e-01,0.144507,3.818687e+00
(7#)62,13049,2.340065,13121,1.828462,2.467035e-01,0.143777,3.558309e+00
(7#)125/2,13142,2.381559,13229,1.831041,2.628707e-01,0.143013,3.849426e+00
(7#)63,13241,2.313245,13331,1.834147,2.320718e-01,0.142272,3.367479e+00
(7#)127/2,13339,2.408045,13421,1.836716,2.708360e-01,0.141558,4.036006e+00
(7#)64,13451,2.365320,13537,1.839463,2.514396e-01,0.140836,3.733825e+00
(7#)129/2,13646,2.418129,13649,1.842378,2.719370e-01,0.140141,4.108369e+00
(7#)65,13729,2.380300,13751,1.845205,2.546361e-01,0.139466,3.836742e+00
(7#)131/2,13807,2.343338,13859,1.847578,2.377008e-01,0.138759,3.572813e+00
(11#)6,13943,2.508139,13963,1.850474,3.040992e-01,0.138073,4.763169e+00
(7#)133/2,14051,2.389016,14029,1.852779,2.541949e-01,0.137410,3.902460e+00
(7#)67,14096,2.408715,14173,1.855306,2.610438e-01,0.136758,4.046630e+00
(7#)135/2,14243,2.286441,14251,1.857857,2.075728e-01,0.180135,2.379238e+00
(7#)68,14332,2.428418,14369,1.860317,2.664931e-01,0.179194,3.170313e+00
(7#)137/2,14411,2.316236,14489,1.862783,2.178718e-01,0.134817,3.363470e+00
(7#)69,14528,2.225437,14593,1.865454,1.764488e-01,0.134179,2.682856e+00
(7#)139/2,14699,2.430591,14699,1.868139,2.631917e-01,0.133565,4.211073e+00
(7#)70,14779,2.470069,14797,1.870169,2.782173e-01,0.175589,3.416501e+00
(7#)141/2,14831,2.313924,14869,1.872411,2.117179e-01,0.169221,2.609091e+00
(7#)71,14951,2.398094,15013,1.874805,2.461696e-01,0.173849,3.010020e+00
(13#)/2,15784,2.297078,16141,1.876841,2.020478e-01,0.164996,2.546953e+00
(11#)7,17218,2.342733,17321,1.900179,2.093701e-01,0.157141,2.816286e+00
(11#)15/2,18322,2.313856,18461,1.920249,1.864605e-01,0.150149,2.621443e+00
(11#)8,18637,2.262025,19609,1.938140,1.545317e-01,0.221856,1.459888e+00
(11#)17/2,20509,2.288028,20789,1.954366,1.576245e-01,0.212604,1.569406e+00
(11#)9,20816,2.279925,21943,1.968428,1.469073e-01,0.204186,1.525555e+00
(11#)19/2,22354,2.333078,23099,1.981138,1.635170e-01,0.196522,1.790843e+00
(11#)10,23201,2.282149,24251,1.992636,1.356592e-01,0.189482,1.527918e+00
(11#)21/2,24256,2.336632,25409,2.003112,1.540086e-01,0.183017,1.822344e+00
(11#)11,25496,2.309603,26561,2.012337,1.377789e-01,0.177031,1.679175e+00
(11#)23/2,27182,2.331847,27701,2.020989,1.430737e-01,0.171493,1.812657e+00
(11#)12,27904,2.328254,28871,2.028865,1.376421e-01,0.166333,1.799937e+00
(11#)25/2,29738,2.340355,30029,2.035979,1.393258e-01,0.163670,1.859693e+00
(13#),30332,2.331433,31183,2.042628,1.322459e-01,0.161250,1.791039e+00
(11#)27/2,31294,2.341935,32327,2.048600,1.338209e-01,0.156244,1.877416e+00
(11#)14,32972,2.389670,32768,2.054138,1.512990e-01,0.144462,2.322632e+00
(11#)29/2,34274,2.354215,34649,2.059275,1.338534e-01,0.142979,2.062820e+00
(11#)15,35792,2.297694,35803,2.063955,1.072820e-01,0.144914,1.612950e+00
(11#)31/2,36436,2.373766,36947,2.068311,1.377454e-01,0.134790,2.266155e+00
(11#)16,37201,2.393769,38113,2.072346,1.441878e-01,0.131090,2.451926e+00
(11#)33/2,38188,2.401751,39251,2.076010,1.457503e-01,0.127611,2.552609e+00
