START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
5,5,2.590290,5,1.675803,4.354774e-01,2.590290,3.530443e-01
6,6,3.210402,6,2.203405,3.763923e-01,3.210402,3.136669e-01
8,8,2.162039,8,0.652599,1.197844e+00,2.162039,6.981558e-01
9,9,4.827796,9,3.406469,3.487138e-01,2.413898,5.888099e-01
10,10,2.120759,10,1.734613,2.009897e-01,2.120759,1.820792e-01
12,12,4.116507,12,3.507683,1.600493e-01,2.058254,2.957963e-01
13,13,2.192988,13,0.897249,8.936869e-01,2.192988,5.908555e-01
14,14,1.989892,14,1.400649,3.511447e-01,1.989892,2.961181e-01
(7#)15/2,1676,2.104753,1669,0.051742,3.705684e+00,0.394361,5.205918e+00
(7#)8,1774,2.019039,1783,0.146889,2.620700e+00,0.377014,4.965731e+00
(7#)17/2,1849,2.204669,1889,0.233014,2.247234e+00,0.361710,5.450928e+00
(7#)9,1966,1.989272,1993,0.323016,1.817822e+00,0.347411,4.796210e+00
(7#)19/2,2029,1.715762,2048,0.396029,1.466125e+00,0.334665,3.943445e+00
(7#)10,2104,2.003507,2203,0.469027,1.451994e+00,0.322648,4.755895e+00
(7#)21/2,2287,1.989104,2309,0.522323,1.337153e+00,0.311846,4.703543e+00
(11#),2347,2.156625,2411,0.577102,1.318281e+00,0.416108,3.795945e+00
(7#)23/2,2447,2.190317,2503,0.633036,1.241274e+00,0.403295,3.861394e+00
(7#)12,2623,2.363446,2621,0.597906,1.374442e+00,0.391050,4.514870e+00
(7#)25/2,2633,2.168203,2729,0.565192,1.344488e+00,0.379900,4.219560e+00
(7#)13,2809,2.065835,2833,0.549319,1.324610e+00,0.369189,4.107696e+00
(7#)27/2,2909,2.274897,2939,0.479412,1.557130e+00,0.359388,4.995951e+00
(7#)14,2974,2.064698,3041,0.426716,1.576621e+00,0.349929,4.680898e+00
(7#)29/2,3076,1.845344,3137,0.455289,1.399489e+00,0.341236,4.073588e+00
(7#)15,3221,2.107297,3253,0.522070,1.395360e+00,0.332814,4.763102e+00
(7#)31/2,3334,2.210551,3359,0.561006,1.371265e+00,0.325044,5.074836e+00
(7#)16,3386,2.340982,3463,0.621321,1.326478e+00,0.317491,5.416409e+00
(11#)3/2,3559,2.029695,3559,0.671447,1.106206e+00,0.310500,4.374390e+00
(7#)17,3571,2.249487,3673,0.714452,1.146942e+00,0.303683,5.054728e+00
(7#)35/2,3769,1.943543,3779,0.768217,9.281956e-01,0.297354,3.952615e+00
(7#)18,3799,2.075010,3881,0.804048,9.480623e-01,0.291167,4.365062e+00
(7#)37/2,3964,2.216472,3989,0.847906,9.609022e-01,0.285407,4.795138e+00
(7#)19,4051,2.044491,4093,0.883476,8.390400e-01,0.279763,4.149995e+00
(7#)39/2,4153,2.340594,4096,0.923372,9.301278e-01,0.287413,4.930960e+00
(7#)20,4282,2.220909,4297,0.963749,8.348410e-01,0.281997,4.458062e+00
(7#)41/2,4393,2.306710,4409,1.000071,8.357513e-01,0.276932,4.718267e+00
(7#)21,4486,2.143577,4513,1.029550,7.333541e-01,0.271948,4.096471e+00
(7#)43/2,4603,2.102361,4603,1.055878,6.886884e-01,0.267279,3.915321e+00
(11#)2,4651,2.085780,4723,1.021461,7.139089e-01,0.262675,4.051847e+00
(7#)45/2,4801,1.856187,4817,0.993308,6.252389e-01,0.258354,3.339910e+00
(7#)23,4909,2.178086,4933,0.973844,8.049507e-01,0.254088,4.739468e+00
(7#)47/2,4987,2.151973,5039,0.989800,7.766375e-01,0.250076,4.647279e+00
(7#)24,5086,2.176695,5119,0.944637,8.347622e-01,0.246110,5.006127e+00
(7#)49/2,5242,2.126897,5237,0.921536,8.363775e-01,0.242375,4.973124e+00
(7#)25,5308,2.217466,5351,0.896675,9.054269e-01,0.238676,5.533824e+00
(7#)51/2,5416,1.965120,5449,0.920441,7.584557e-01,0.235189,4.441870e+00
(7#)26,5557,2.301782,5563,0.866229,9.772896e-01,0.231731,6.194911e+00
(7#)53/2,5596,2.182571,5669,0.839656,9.552665e-01,0.228466,5.877964e+00
(7#)27,5728,2.248387,5749,0.861678,9.590867e-01,0.225225,6.156994e+00
(11#)5/2,5857,2.159168,5879,0.818599,9.698839e-01,0.222162,6.034196e+00
(7#)28,5906,2.349289,5981,0.775854,1.107904e+00,0.219118,7.180766e+00
(7#)57/2,6038,2.309643,6089,0.799007,1.061479e+00,0.216237,6.986020e+00
(7#)29,6131,2.233345,6173,0.832084,9.873223e-01,0.213371,6.567251e+00
(7#)59/2,6218,2.356115,6299,0.868247,9.982931e-01,0.210657,7.062989e+00
(7#)30,6353,2.124621,6397,0.893639,8.660468e-01,0.207954,5.919492e+00
(7#)61/2,6421,2.298798,6469,0.917288,9.187202e-01,0.205391,6.726244e+00
(7#)31,6568,2.399779,6607,0.948601,9.281437e-01,0.212381,6.832899e+00
(7#)63/2,6719,2.265862,6719,0.978467,8.397235e-01,0.209843,6.135039e+00
(7#)32,6791,2.430712,6823,1.003123,8.850661e-01,0.207311,6.886219e+00
(7#)65/2,6863,2.365471,6917,1.030458,8.309738e-01,0.204906,6.515246e+00
(11#)3,7024,2.323062,7027,1.061746,7.829714e-01,0.202505,6.228567e+00
(7#)67/2,7108,2.390305,7129,1.082559,7.920933e-01,0.200223,6.531447e+00
(7#)34,7219,2.055910,7243,1.103095,6.225987e-01,0.197943,4.813583e+00
(7#)69/2,7246,2.136908,7349,1.125676,6.409762e-01,0.195773,5.165329e+00
(7#)35,7351,2.199762,7451,1.151315,6.474444e-01,0.193605,5.415392e+00
(7#)71/2,7522,2.372402,7559,1.172727,7.045711e-01,0.191540,6.263313e+00
(7#)36,7561,2.321013,7649,1.195004,6.638542e-01,0.189475,5.942784e+00
(7#)73/2,7727,2.199214,7759,1.223622,5.862847e-01,0.187508,5.202935e+00
(7#)37,7846,2.336977,7873,1.239466,6.341776e-01,0.185538,5.915290e+00
(7#)75/2,7951,2.232082,7963,1.262280,5.700152e-01,0.183661,5.280392e+00
(7#)38,8062,2.328303,8081,1.276552,6.009770e-01,0.181781,5.785814e+00
(11#)7/2,8116,2.236375,8179,1.297016,5.447900e-01,0.179987,5.219038e+00
