START,n_1,C_max,Npred_1,CpredAlign,Lambda_max,Jitter,JitterRatio
4e0,4,3.843624,4,3.843624,2.861882e-08,5.013439,2.194103e-08
5e0,5,2.590290,5,5.180581,-6.931472e-01,3.585599,-7.224150e-01
6e0,6,3.210402,6,6.420804,-6.931472e-01,4.712567,-6.812427e-01
8e0,8,2.162039,8,6.538781,-1.106699e+00,3.724143,-1.175235e+00
9e0,9,4.827796,9,9.655592,-6.931472e-01,4.158239,-1.161019e+00
1e1,15,4.190592,15,12.389644,-1.084019e+00,4.355926,-1.882275e+00
2e1,21,5.561470,21,11.117484,-6.926565e-01,4.480635,-1.240006e+00
3e1,30,6.169677,30,12.866123,-7.349513e-01,4.620724,-1.449220e+00
4e1,45,6.586672,45,13.464246,-7.149895e-01,4.583942,-1.500362e+00
5e1,57,5.837951,51,10.620416,-5.983983e-01,4.556597,-1.049569e+00
6e1,60,6.705463,60,13.194937,-6.769106e-01,4.289376,-1.512918e+00
7e1,75,7.053239,75,12.768142,-5.934662e-01,4.069351,-1.404377e+00
8e1,81,4.827796,84,10.572137,-7.838319e-01,3.884322,-1.478853e+00
9e1,90,5.399543,90,12.341054,-8.266171e-01,3.710992,-1.870527e+00
1e2,105,8.330518,105,13.708074,-4.980594e-01,2.854641,-1.883794e+00
2e2,210,8.169017,210,12.552967,-4.296085e-01,2.472453,-1.773118e+00
3e2,315,8.431106,315,12.073244,-3.590638e-01,2.256641,-1.613964e+00
4e2,420,7.991882,420,11.796064,-3.893397e-01,2.119604,-1.794761e+00
5e2,570,7.912132,525,11.630982,-3.852751e-01,2.024086,-1.837298e+00
6e2,660,7.918936,630,11.515283,-3.744182e-01,1.954865,-1.839690e+00
7e2,735,8.545496,735,11.439287,-2.916493e-01,1.905532,-1.518626e+00
8e2,840,8.204146,840,11.385042,-3.276608e-01,1.868503,-1.702377e+00
9e2,975,7.586652,945,11.351412,-4.029517e-01,1.840445,-2.045570e+00
1e3,1155,9.135596,1155,12.286302,-2.963066e-01,1.806534,-1.744061e+00
2e3,2730,9.539146,2310,12.467057,-2.676858e-01,1.632068,-1.793988e+00
3e3,3465,9.205098,3465,11.920962,-2.585409e-01,1.446140,-1.878009e+00
4e3,4620,9.432003,4620,11.525411,-2.004458e-01,1.490815,-1.404204e+00
5e3,5775,9.302545,5775,11.268628,-1.917346e-01,1.385402,-1.419143e+00
6e3,6930,9.570228,6930,11.085917,-1.470185e-01,1.393753,-1.087488e+00
7e3,7770,9.129686,7140,10.652957,-1.543062e-01,1.410286,-1.080115e+00
8e3,8925,9.643464,8085,10.948792,-1.269487e-01,1.443433,-9.043216e-01
9e3,9240,9.637497,9240,10.841119,-1.176848e-01,1.483991,-8.110713e-01
1e4,15015,10.422348,15015,11.390348,-8.881399e-02,1.529731,-6.327911e-01
2e4,21945,10.036306,21945,10.905027,-8.301477e-02,0.547924,-1.585477e+00
3e4,30030,10.293246,30030,11.097387,-7.522168e-02,0.455233,-1.766437e+00
4e4,45045,10.267641,45045,10.988736,-6.787342e-02,0.405892,-1.776568e+00
5e4,58905,10.142189,58905,10.705633,-5.406622e-02,0.375550,-1.500317e+00
6e4,60060,10.288579,60060,10.933853,-6.082929e-02,0.341549,-1.889257e+00
7e4,75075,10.186498,75075,10.902758,-6.795271e-02,0.331653,-2.159668e+00
8e4,87780,9.960052,87780,10.580807,-6.045941e-02,0.324583,-1.912469e+00
9e4,90090,10.384689,90090,10.884509,-4.700811e-02,0.319555,-1.564114e+00
1e5,150150,10.404410,105105,10.883926,-4.505726e-02,0.312014,-1.536841e+00
2e5,255255,10.988793,255255,11.609224,-5.492397e-02,0.319508,-1.941831e+00
3e5,345345,10.823075,345345,11.376907,-4.990513e-02,0.349181,-1.586087e+00
4e5,435435,10.808231,435435,11.178610,-3.369418e-02,0.282517,-1.310998e+00
5e5,510510,11.026899,510510,11.432086,-3.608629e-02,0.240319,-1.686037e+00
6e5,690690,10.755350,690690,11.151911,-3.620754e-02,0.210969,-1.879711e+00
7e5,765765,10.999099,765765,11.324281,-2.913578e-02,0.189259,-1.718183e+00
8e5,855855,10.950614,855855,11.219113,-2.422334e-02,0.172478,-1.556716e+00
9e5,930930,10.674738,930930,10.951117,-2.556144e-02,0.159082,-1.737336e+00
1e6,1276275,11.043507,1021020,11.265915,-1.993912e-02,0.148113,-1.501609e+00
2e6,2042040,11.036389,2042040,11.168595,-1.190795e-02,0.094909,-1.392980e+00
3e6,3573570,11.047450,3063060,11.131601,-7.588348e-03,0.075025,-1.121637e+00
4e6,4849845,11.627998,4849845,11.748431,-1.030387e-02,0.064425,-1.869348e+00
5e6,5870865,11.544510,5870865,11.615695,-6.147229e-03,0.057806,-1.231452e+00
6e6,6561555,11.429827,6561555,11.526009,-8.379812e-03,0.053285,-1.805053e+00
7e6,7402395,11.421215,7402395,11.489716,-5.979751e-03,0.050015,-1.369602e+00
8e6,8273265,11.322354,8273265,11.401822,-6.994143e-03,0.047556,-1.671035e+00
9e6,9699690,11.630432,9699690,11.720292,-7.696616e-03,0.045654,-1.968290e+00
