START,n_1,C_max,Npred_1,CpredAlign,Lambda_max,Jitter,JitterRatio,Status
4e0,4,3.84362411,4,3.84362411,0.000000e+00,3.843624,0.000000,EXACT
5e0,5,2.59029039,5,5.18058079,-6.931472e-01,2.935933,-0.882272,EXPECTED
6e0,6,3.21040200,6,6.42080399,-6.931472e-01,3.648593,-0.879901,EXPECTED
8e0,8,2.16203856,8,5.40633584,-9.165200e-01,2.591698,-1.251804,EXPECTED
9e0,9,4.82779584,9,8.71403758,-5.905452e-01,2.893671,-1.343014,EXPECTED
1e1,15,4.19059194,15,10.04312293,-8.740461e-01,2.483436,-2.356626,EXPECTED
2e1,21,5.56147012,21,9.13343376,-4.960792e-01,2.414401,-1.479441,EXPECTED
3e1,30,6.16967660,30,9.53183205,-4.349905e-01,2.157557,-1.558316,EXPECTED
4e1,45,6.58667241,45,9.30194448,-3.451752e-01,2.068383,-1.312751,EXPECTED
5e1,57,5.83795127,51,7.74942698,-2.832390e-01,1.924980,-0.992985,EXPECTED
6e1,60,6.70546296,60,9.08102287,-3.032643e-01,1.805168,-1.315977,EXPECTED
7e1,75,7.05323920,75,8.98015678,-2.415304e-01,1.775072,-1.085543,EXPECTED
8e1,81,4.82779584,84,8.18553639,-5.279787e-01,1.701861,-1.972982,EXPECTED
9e1,90,5.39954322,90,8.88486849,-4.980353e-01,1.633982,-2.133025,EXPECTED
1e2,105,8.33051805,105,10.26841259,-2.091468e-01,1.617265,-1.198254,EXPECTED
2e2,210,8.16901684,210,10.00844254,-2.030804e-01,1.381099,-1.331857,EXPECTED
3e2,315,8.43110623,315,9.92365941,-1.629938e-01,1.315505,-1.134586,EXPECTED
4e2,420,7.99188162,420,9.89458666,-2.135616e-01,1.293027,-1.471512,EXPECTED
5e2,570,7.91213209,525,9.78775020,-2.127343e-01,1.218626,-1.539125,EXPECTED
6e2,660,7.91893649,630,9.66981265,-1.997520e-01,1.106866,-1.581832,EXPECTED
7e2,735,8.54549570,735,9.58106840,-1.143848e-01,1.019253,-1.016011,EXPECTED
8e2,840,8.20414590,840,9.50930718,-1.476314e-01,0.944657,-1.381625,EXPECTED
9e2,975,7.58665247,945,9.45281719,-2.199224e-01,0.889637,-2.097670,EXPECTED
1e3,1155,9.13559580,1155,10.31552116,-1.214713e-01,0.841746,-1.401759,EXPECTED
2e3,2730,9.53914578,2310,10.07887734,-5.503794e-02,0.600786,-0.898376,EXPECTED
3e3,3465,9.20509845,3465,9.98347534,-8.117375e-02,0.503105,-1.547146,EXPECTED
4e3,4620,9.43200294,4620,9.93078495,-5.153105e-02,0.449420,-1.109835,EXPECTED
5e3,5775,9.30254452,5775,9.89773937,-6.201842e-02,0.415557,-1.432282,EXPECTED
6e3,6930,9.57022794,6930,9.87529100,-3.137876e-02,0.392499,-0.777233,EXPECTED
7e3,7770,9.12968576,7140,9.49200725,-3.891883e-02,0.376216,-0.963068,EXPECTED
8e3,8925,9.64346441,8085,9.85931102,-2.213587e-02,0.364097,-0.592827,EXPECTED
9e3,9240,9.63749652,9240,9.84756483,-2.156282e-02,0.355193,-0.591420,EXPECTED
1e4,15015,10.42234789,15015,10.68466468,-2.485717e-02,0.348400,-0.752918,EXPECTED
2e4,21945,10.03630588,21945,10.38016396,-3.368757e-02,0.338363,-1.016240,EXPECTED
3e4,30030,10.29324643,30030,10.61659289,-3.093015e-02,0.273931,-1.180394,EXPECTED
4e4,45045,10.26764128,45045,10.54736320,-2.687857e-02,0.225792,-1.238848,EXPECTED
5e4,58905,10.14218881,58905,10.28172163,-1.366389e-02,0.194928,-0.715817,EXPECTED
6e4,60060,10.28857922,60060,10.50905611,-2.120291e-02,0.173322,-1.272065,EXPECTED
7e4,75075,10.18649755,75075,10.48430067,-2.881589e-02,0.157233,-1.894024,EXPECTED
8e4,87780,9.96005196,87780,10.16524850,-2.039260e-02,0.144694,-1.418141,EXPECTED
9e4,90090,10.38468869,90090,10.46678758,-7.874676e-03,0.134680,-0.609585,EXPECTED
1e5,150150,10.40441005,105105,10.45364064,-4.720545e-03,0.126432,-0.389384,EXPECTED
2e5,255255,10.98879350,255255,11.08870184,-9.050757e-03,0.086101,-1.160362,EXPECTED
3e5,345345,10.82307543,345345,10.88030751,-5.274036e-03,0.071005,-0.806029,EXPECTED
4e5,435435,10.80823080,435435,10.76373401,4.125433e-03,0.063080,0.705403,OUTLIER
5e5,510510,11.02689928,510510,11.06518378,-3.465906e-03,0.058265,-0.657075,EXPECTED
6e5,690690,10.75535033,690690,10.86190114,-9.858022e-03,0.055104,-1.933631,EXPECTED
7e5,765765,10.99909949,765765,11.05653789,-5.208512e-03,0.052937,-1.085033,EXPECTED
8e5,855855,10.95061370,855855,10.97382353,-2.117257e-03,0.051419,-0.451386,EXPECTED
9e5,930930,10.67473805,930930,10.72153042,-4.373888e-03,0.050351,-0.929324,EXPECTED
