START,n_1,C_max,Npred_1,CpredAlign,Lambda_max,Jitter,JitterRatio,Status
4,4,3.84362411,6,10.41038476,-9.963881e-01,6.116053,-1.073693,EXPECTED
7,9,4.82779584,9,10.15404479,-7.434821e-01,5.733925,-0.928901,EXPECTED
10,12,4.11650737,12,9.90306707,-8.778394e-01,6.633549,-0.872317,EXPECTED
13,15,4.19059194,15,11.91996073,-1.045372e+00,6.968500,-1.109187,EXPECTED
16,18,3.71299951,18,9.30007986,-9.181829e-01,7.662846,-0.729113,EXPECTED
19,21,5.56147012,21,11.44840602,-7.219880e-01,7.979612,-0.737747,EXPECTED
22,24,3.36667538,24,9.67779425,-1.055908e+00,8.359408,-0.754972,EXPECTED
25,25,3.45372053,27,9.96799219,-1.059927e+00,6.575393,-0.990705,EXPECTED
28,30,6.16967660,30,11.28690046,-6.039964e-01,6.594707,-0.775959,EXPECTED
31,33,4.58458692,33,9.15982439,-6.921270e-01,6.242923,-0.732868,EXPECTED
34,36,4.28053599,36,9.60956483,-8.086807e-01,6.144472,-0.867288,EXPECTED
37,39,2.82561767,39,9.67802377,-1.231131e+00,6.144397,-1.115228,EXPECTED
40,42,5.32197111,42,10.40269465,-6.702211e-01,5.959419,-0.852554,EXPECTED
43,45,6.58667241,45,10.82537173,-4.968443e-01,5.726766,-0.740156,EXPECTED
46,48,3.74654932,48,7.94247842,-7.513901e-01,5.719385,-0.733633,EXPECTED
49,51,4.94696090,51,9.69289611,-6.726198e-01,5.647711,-0.840329,EXPECTED
52,54,4.71466481,54,8.44970441,-5.834536e-01,5.462131,-0.683806,EXPECTED
55,57,5.83795127,57,9.48846863,-4.856973e-01,5.347359,-0.682677,EXPECTED
58,60,6.70546296,60,10.40996321,-4.398408e-01,5.338351,-0.693941,EXPECTED
61,63,5.53727915,63,8.73198680,-4.554897e-01,5.192977,-0.615198,EXPECTED
64,66,4.25532287,66,9.59740215,-8.133218e-01,5.145668,-1.038170,EXPECTED
67,69,4.21827245,69,8.59383351,-7.116192e-01,5.136903,-0.851790,EXPECTED
70,72,6.09662436,72,8.92622181,-3.812580e-01,5.048043,-0.560534,EXPECTED
73,75,7.05323920,75,9.90063074,-3.391115e-01,4.935021,-0.576977,EXPECTED
76,78,5.84028055,78,7.87132965,-2.984482e-01,4.897408,-0.414719,EXPECTED
79,81,4.82779584,81,8.84880689,-6.058926e-01,4.889579,-0.822363,EXPECTED
82,84,4.67431845,84,9.17143171,-6.740100e-01,4.792191,-0.938425,EXPECTED
85,87,4.63821752,87,8.95134695,-6.574739e-01,4.727766,-0.912298,EXPECTED
88,90,5.39954322,90,9.82192777,-5.983031e-01,4.720841,-0.936779,EXPECTED
91,93,5.35942387,93,7.39543848,-3.220069e-01,4.638627,-0.438926,EXPECTED
94,96,4.34026550,96,8.29822152,-6.481057e-01,4.610728,-0.858423,EXPECTED
97,99,5.17105137,99,8.64130847,-5.134780e-01,4.604504,-0.753666,EXPECTED
100,102,4.19419089,102,8.97267924,-7.604839e-01,4.551517,-1.049867,EXPECTED
103,105,8.33051805,105,11.14066060,-2.906759e-01,4.483088,-0.626832,EXPECTED
106,108,4.87163396,108,7.03430767,-3.673699e-01,4.477676,-0.482990,EXPECTED
109,111,4.03266813,111,8.50956717,-7.467629e-01,4.454440,-1.005042,EXPECTED
112,120,6.87602316,120,9.64390546,-3.382857e-01,4.293759,-0.644629,EXPECTED
127,132,6.50229671,135,9.61449225,-3.911161e-01,4.186266,-0.743430,EXPECTED
142,147,5.45850244,150,9.52787927,-5.570477e-01,4.082804,-0.996711,EXPECTED
157,165,7.63044269,165,10.23666562,-2.938301e-01,4.043182,-0.644597,EXPECTED
172,180,5.99262241,180,9.05151300,-4.124028e-01,3.940170,-0.776335,EXPECTED
187,195,7.45275910,195,9.81068051,-2.748873e-01,3.859781,-0.610895,EXPECTED
202,210,8.16901684,210,10.52644246,-2.535419e-01,3.785416,-0.622765,EXPECTED
217,225,6.28588791,225,9.63066424,-4.266451e-01,3.720591,-0.898991,EXPECTED
232,237,6.08129119,240,9.14878175,-4.084037e-01,3.677330,-0.834162,EXPECTED
247,255,7.25329173,255,9.62997470,-2.834252e-01,3.628660,-0.654975,EXPECTED
262,270,6.96496187,270,9.12721175,-2.703681e-01,3.613915,-0.598312,EXPECTED
277,285,5.85011607,285,9.16435031,-4.488595e-01,3.586808,-0.924007,EXPECTED
292,300,6.94040203,300,8.86786651,-2.450745e-01,3.542686,-0.544069,EXPECTED
307,315,8.43110623,315,10.28734917,-1.989869e-01,3.522527,-0.526963,EXPECTED
322,330,7.74497014,330,9.73969024,-2.291657e-01,3.494147,-0.570875,EXPECTED
337,345,7.94116543,345,9.34039743,-1.622888e-01,3.471171,-0.403101,EXPECTED
352,360,6.15932812,360,9.19925024,-4.011543e-01,3.454941,-0.879877,EXPECTED
367,375,6.01128592,375,8.94334640,-3.972711e-01,3.448547,-0.850231,EXPECTED
382,390,6.57136743,390,9.21593177,-3.382118e-01,3.429995,-0.771011,EXPECTED
