START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
5,5,2.590290,5,1.114773,8.431190e-01,4.996182,2.953289e-01,EXPECTED
6,6,3.210402,6,0.417230,2.040514e+00,6.369044,4.385544e-01,EXPECTED
8,8,2.162039,8,0.652599,1.197844e+00,5.575458,2.707293e-01,EXPECTED
9,9,4.827796,9,1.486689,1.177839e+00,6.363339,5.250556e-01,EXPECTED
10,10,2.120759,10,0.634184,1.207190e+00,6.116696,2.430356e-01,EXPECTED
12,12,4.116507,12,1.228807,1.208961e+00,6.060473,4.764810e-01,EXPECTED
13,13,2.192988,13,0.897249,8.936869e-01,6.997923,1.851605e-01,EXPECTED
14,14,1.989892,14,0.324487,1.813590e+00,6.968500,2.389905e-01,EXPECTED
(7#),223,1.053604,223,0.001027,6.933330e+00,3.762821,2.797308e-01,EXPECTED
(5#)8,241,1.504150,251,0.153961,2.279284e+00,3.677330,3.671656e-01,EXPECTED
(5#)17/2,262,2.366905,256,0.122748,2.959205e+00,3.628660,6.184534e-01,EXPECTED
(5#)9,283,1.808288,283,0.211780,2.144588e+00,3.586808,4.451055e-01,EXPECTED
(5#)19/2,292,2.207228,293,0.406384,1.692194e+00,3.542686,5.083273e-01,EXPECTED
(5#)10,313,1.693274,313,0.299359,1.732776e+00,3.522527,3.957145e-01,EXPECTED
(7#)3/2,316,2.096745,317,0.314076,1.898506e+00,3.494147,5.101872e-01,EXPECTED
(5#)11,337,1.613017,337,0.370193,1.471837e+00,3.492159,3.558899e-01,EXPECTED
(5#)23/2,349,1.970222,359,0.340106,1.756644e+00,3.471171,4.696156e-01,EXPECTED
(5#)12,362,1.917761,373,0.404197,1.557011e+00,3.448547,4.388990e-01,EXPECTED
(5#)25/2,379,1.492247,379,0.421429,1.264387e+00,3.429995,3.121923e-01,EXPECTED
(5#)13,391,1.826947,401,0.466686,1.364745e+00,3.417958,3.979748e-01,EXPECTED
(5#)27/2,412,2.111809,419,0.896382,8.569335e-01,3.403807,3.570787e-01,EXPECTED
(7#)2,433,1.364958,433,0.505618,9.930975e-01,3.399999,2.527471e-01,EXPECTED
(5#)29/2,439,2.366648,439,0.516258,1.522623e+00,3.391967,5.455212e-01,EXPECTED
(5#)15,463,1.956971,463,0.528729,1.308677e+00,3.384836,4.219531e-01,EXPECTED
(5#)31/2,466,1.944258,479,0.580650,1.208488e+00,3.378423,4.036226e-01,EXPECTED
(5#)16,481,1.907067,491,0.594921,1.164893e+00,3.374116,3.888859e-01,EXPECTED
(5#)33/2,496,1.863948,499,1.156139,4.776108e-01,3.367088,2.102140e-01,EXPECTED
(5#)17,524,2.394277,512,0.624953,1.343160e+00,3.366764,5.255266e-01,EXPECTED
(7#)5/2,526,2.089567,538,0.653512,1.162351e+00,3.362859,4.270340e-01,EXPECTED
(5#)18,548,2.031998,541,0.660835,1.123271e+00,3.362404,4.077925e-01,EXPECTED
(5#)37/2,569,1.983900,557,0.646329,1.121511e+00,3.361809,3.978724e-01,EXPECTED
(5#)19,577,2.245675,577,0.661663,1.222005e+00,3.363872,4.708895e-01,EXPECTED
(5#)39/2,599,2.188595,599,0.939863,8.452809e-01,3.363069,3.713073e-01,EXPECTED
(5#)20,601,1.910627,601,0.992241,6.552207e-01,3.366790,2.727779e-01,EXPECTED
(5#)41/2,617,1.876316,619,0.830944,8.145032e-01,3.367550,3.104251e-01,EXPECTED
(7#)3,631,2.111378,643,0.733417,1.057382e+00,3.368642,4.090553e-01,EXPECTED
(5#)43/2,649,2.329513,659,0.910416,9.395129e-01,3.373128,4.207065e-01,EXPECTED
(5#)22,661,1.788981,661,0.782687,8.266686e-01,3.375340,2.981312e-01,EXPECTED
(5#)45/2,677,2.010889,677,0.983366,7.153508e-01,3.379134,3.040788e-01,EXPECTED
(5#)23,697,2.216917,701,0.964546,8.322152e-01,3.388027,3.696461e-01,EXPECTED
(5#)47/2,706,1.706515,719,0.837726,7.115175e-01,3.392102,2.561211e-01,EXPECTED
(5#)24,734,2.135493,733,1.010875,7.478812e-01,3.398744,3.308922e-01,EXPECTED
(7#)7/2,743,2.355865,739,0.980238,8.768678e-01,3.403721,4.041539e-01,EXPECTED
(5#)25,751,2.338294,761,0.798453,1.074501e+00,3.406755,4.519964e-01,EXPECTED
(5#)51/2,766,2.072834,773,0.784556,9.715541e-01,3.412290,3.775406e-01,EXPECTED
(5#)26,788,1.806384,787,0.776549,8.442226e-01,3.422778,3.008769e-01,EXPECTED
(5#)53/2,802,1.784236,797,0.930229,6.513148e-01,3.429240,2.490368e-01,EXPECTED
(5#)27,821,1.976976,823,0.796043,9.096705e-01,3.439653,3.433291e-01,EXPECTED
(5#)55/2,839,2.379710,839,1.072826,7.966823e-01,3.442795,3.795997e-01,EXPECTED
(7#)4,841,2.159749,853,0.801991,9.906499e-01,3.450186,3.935318e-01,EXPECTED
(5#)57/2,859,1.914982,859,0.961537,6.889305e-01,3.459199,2.756259e-01,EXPECTED
(5#)29,883,2.295458,883,0.811399,1.039928e+00,3.470750,4.275903e-01,EXPECTED
(5#)59/2,886,2.287381,887,0.823368,1.021760e+00,3.475546,4.212325e-01,EXPECTED
(5#)30,904,2.050129,911,0.831295,9.026733e-01,3.488943,3.493419e-01,EXPECTED
(5#)61/2,919,1.825774,919,0.893409,7.147148e-01,3.500513,2.663510e-01,EXPECTED
(5#)31,943,1.991920,941,0.831648,8.734450e-01,3.510742,3.304920e-01,EXPECTED
(7#)9/2,958,2.164457,953,0.932919,8.416064e-01,3.514713,3.503950e-01,EXPECTED
(5#)32,967,1.761041,971,0.963707,6.028731e-01,3.524117,2.262507e-01,EXPECTED
(5#)65/2,982,1.933461,977,0.886103,7.802337e-01,3.538234,2.960115e-01,EXPECTED
(5#)33,997,2.106150,997,0.842782,9.159086e-01,3.549164,3.559621e-01,EXPECTED
(5#)67/2,1009,1.898450,1019,1.140895,5.092247e-01,3.562579,2.126423e-01,EXPECTED
(5#)34,1024,2.252124,1024,0.853691,9.700597e-01,3.573901,3.912904e-01,EXPECTED
(5#)69/2,1048,2.030676,1039,0.944136,7.658538e-01,3.584902,3.030878e-01,EXPECTED
(7#)5,1063,2.195023,1063,0.868913,9.267048e-01,3.596550,3.687172e-01,EXPECTED
(5#)71/2,1072,2.361462,1069,1.160701,7.102568e-01,3.604853,3.330957e-01,EXPECTED
(5#)36,1094,2.506504,1093,0.895408,1.029365e+00,3.612671,4.459570e-01,EXPECTED
(5#)73/2,1109,1.952088,1097,0.883886,7.923268e-01,3.623747,2.947783e-01,EXPECTED
(5#)37,1123,2.110511,1123,0.879879,8.749010e-01,3.640760,3.380151e-01,EXPECTED
