START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
5e0,5,2.590290,5,1.114773,8.431190e-01,3.663224,4.027919e-01,EXPECTED
6e0,6,3.210402,6,0.873613,1.301514e+00,4.540194,5.146892e-01,EXPECTED
8e0,8,2.162039,8,0.445228,1.580221e+00,3.724143,4.609949e-01,EXPECTED
9e0,9,4.827796,9,2.324833,7.307418e-01,4.158239,6.019286e-01,EXPECTED
3e2,379,1.492247,397,0.299359,1.606395e+00,2.256641,5.286122e-01,EXPECTED
4e2,433,1.364958,499,0.465702,1.075333e+00,2.119604,4.242566e-01,EXPECTED
5e2,569,1.983900,512,0.624953,1.155143e+00,2.024086,6.713880e-01,EXPECTED
6e2,661,1.788981,691,0.733417,8.916870e-01,1.954865,5.399677e-01,EXPECTED
7e2,706,1.706515,797,0.776549,7.873488e-01,1.905653,4.880038e-01,EXPECTED
8e2,802,1.784236,887,0.796043,8.070924e-01,1.868503,5.288688e-01,EXPECTED
9e2,967,1.761041,997,0.831295,7.506757e-01,1.840445,5.051746e-01,EXPECTED
1e3,1402,1.647631,1999,0.853691,6.575245e-01,1.806534,4.394825e-01,EXPECTED
2e3,2029,1.715762,2999,0.827222,7.295395e-01,1.632068,5.444258e-01,EXPECTED
3e3,3076,1.845344,3989,1.074175,5.411128e-01,1.636457,4.712431e-01,EXPECTED
4e3,4801,1.856187,4999,1.311835,3.470975e-01,1.514955,3.593189e-01,EXPECTED
5e3,5416,1.965120,5987,1.497108,2.720181e-01,1.420092,3.295646e-01,EXPECTED
6e3,6353,2.124621,6997,1.610026,2.773431e-01,1.367064,3.764235e-01,EXPECTED
7e3,7219,2.055910,7993,1.718126,1.794844e-01,1.293243,2.611914e-01,EXPECTED
8e3,8777,2.179478,8999,1.778847,2.031200e-01,1.196989,3.346990e-01,EXPECTED
9e3,9649,2.163663,9973,1.839926,1.620773e-01,1.118177,2.895221e-01,EXPECTED
1e4,11272,2.131467,19997,1.880368,1.253430e-01,1.053533,2.383399e-01,EXPECTED
2e4,20816,2.279925,29989,2.124157,7.076753e-02,0.547924,2.842876e-01,EXPECTED
3e4,35792,2.297694,39989,2.212073,3.797593e-02,0.455233,1.880817e-01,EXPECTED
4e4,40597,2.307754,49999,2.260776,2.056664e-02,0.405892,1.157401e-01,EXPECTED
5e4,51826,2.346624,59999,2.290608,2.416042e-02,0.375550,1.491572e-01,EXPECTED
6e4,67904,2.413565,69997,2.309670,4.400025e-02,0.341549,3.041877e-01,EXPECTED
7e4,71633,2.358847,79999,2.323018,1.530574e-02,0.331653,1.080316e-01,EXPECTED
8e4,89459,2.383150,89989,2.332802,2.135302e-02,0.324583,1.551159e-01,EXPECTED
9e4,92357,2.434532,99991,2.339474,3.982842e-02,0.319555,2.974699e-01,EXPECTED
1e5,116728,2.402456,199999,2.342782,2.515244e-02,0.312014,1.912542e-01,EXPECTED
2e5,204928,2.464243,299993,2.309336,6.492462e-02,0.319508,4.848298e-01,EXPECTED
3e5,366794,2.499164,399989,2.313042,7.739273e-02,0.349181,5.330244e-01,EXPECTED
4e5,463549,2.513127,499979,2.378886,5.489548e-02,0.282517,4.751608e-01,EXPECTED
5e5,548461,2.531963,599999,2.420300,4.510339e-02,0.240319,4.646449e-01,EXPECTED
6e5,686398,2.527108,699967,2.449398,3.123329e-02,0.210969,3.683480e-01,EXPECTED
7e5,770558,2.532269,799999,2.471213,2.440662e-02,0.189259,3.226055e-01,EXPECTED
8e5,804191,2.552045,899981,2.487643,2.555932e-02,0.172478,3.733925e-01,EXPECTED
9e5,915961,2.547074,999983,2.500641,1.839815e-02,0.159082,2.918809e-01,EXPECTED
