START,n_geom,C_avg,Cpred_avg,Lambda_avg
4e0,4,3.843624,2.870137,2.920559e-01
5e0,5,2.590290,4.266093,-4.989285e-01
6e0,6,3.210402,5.413807,-5.225564e-01
8e0,8,2.162039,2.814638,-2.637820e-01
9e0,9,4.827796,5.820367,-1.869733e-01
1e1,14,2.225233,4.109955,-6.135508e-01
2e1,24,2.767780,4.008611,-3.703992e-01
3e1,34,3.110719,4.342959,-3.337019e-01
4e1,44,2.746579,4.046823,-3.875760e-01
5e1,54,3.444943,3.928729,-1.314086e-01
6e1,64,3.262668,4.340828,-2.855201e-01
7e1,74,3.922845,4.047203,-3.120890e-02
8e1,84,3.287355,3.908389,-1.730421e-01
9e1,94,3.436758,4.323499,-2.295364e-01
1e2,141,3.583408,4.080978,-1.300224e-01
2e2,245,3.602339,4.063568,-1.204779e-01
3e2,346,3.754889,4.098430,-8.754530e-02
4e2,447,3.819910,4.057834,-6.042230e-02
5e2,547,3.788293,4.051346,-6.713370e-02
6e2,648,3.849522,4.082269,-5.870395e-02
7e2,748,3.944286,4.065224,-3.020087e-02
8e2,848,3.919971,4.041064,-3.042379e-02
9e2,948,3.790608,4.079346,-7.341005e-02
1e3,1414,3.930334,4.057525,-3.184872e-02
2e3,2449,3.938192,4.050963,-2.823300e-02
3e3,3464,3.947789,4.053752,-2.648734e-02
4e3,4472,3.975565,4.048587,-1.820092e-02
5e3,5477,3.956638,4.045511,-2.221340e-02
6e3,6480,4.021600,4.048910,-6.767869e-03
7e3,7483,3.972489,4.045514,-1.821593e-02
8e3,8485,3.976809,4.043497,-1.663015e-02
9e3,9486,3.991146,4.047210,-1.394922e-02
1e4,14142,4.004160,4.042471,-9.522304e-03
2e4,24494,4.010742,4.039792,-7.217001e-03
3e4,34641,4.011841,4.038770,-6.690054e-03
4e4,44721,4.011235,4.037474,-6.520070e-03
5e4,54772,4.015062,4.036630,-5.357457e-03
6e4,64807,4.024570,4.036300,-2.910548e-03
7e4,74833,4.012790,4.035598,-5.667835e-03
8e4,84852,4.016448,4.035115,-4.636965e-03
9e4,94868,4.025406,4.034996,-2.379657e-03
1e5,141421,4.020835,4.033551,-3.157659e-03
2e5,244949,4.022875,4.031931,-2.248401e-03
3e5,346410,4.023491,4.031021,-1.869690e-03
4e5,447213,4.022716,4.030332,-1.891684e-03
5e5,547722,4.024812,4.029818,-1.243202e-03
6e5,648074,4.023686,4.029451,-1.431682e-03
7e5,748331,4.022217,4.029090,-1.707285e-03
8e5,848528,4.025351,4.028787,-8.531433e-04
9e5,948683,4.024420,4.028575,-1.032022e-03
1e6,1414213,4.023671,4.027680,-9.958575e-04
2e6,2449489,4.023685,4.026567,-7.159781e-04
3e6,3464101,4.023936,4.025915,-4.916554e-04
4e6,4472136,4.023153,4.025447,-5.700892e-04
5e6,5477225,4.023416,4.025090,-4.159873e-04
6e6,6480740,4.022315,4.024805,-6.189569e-04
7e6,7483314,4.023270,4.024562,-3.210785e-04
8e6,8485281,4.023595,4.024353,-1.884818e-04
9e6,9486833,4.022609,4.024177,-3.895665e-04
1e7,14142135,4.022242,4.023548,-3.246090e-04
2e7,24494897,4.021850,4.022738,-2.208136e-04
3e7,34641016,4.021567,4.022255,-1.709038e-04
4e7,44721359,4.021290,4.021911,-1.543701e-04
5e7,54772255,4.021122,4.021646,-1.304156e-04
6e7,64807407,4.020612,4.021432,-2.037626e-04
7e7,74833147,4.021107,4.021251,-3.582507e-05
8e7,84852813,4.020558,4.021095,-1.335275e-04
9e7,94868329,4.020444,4.020960,-1.282721e-04
