Dec,n_geom,C_avg,Cpred_avg,Lambda_avg
4,4,3.843624,2.870137,2.920559e-01
5,5,2.590290,4.266093,-4.989285e-01
6,6,3.210402,5.413807,-5.225564e-01
8,8,2.162039,2.814638,-2.637820e-01
9,9,4.827796,5.820367,-1.869733e-01
10,14,2.225233,4.109955,-6.135508e-01
20,24,2.767780,4.008611,-3.703992e-01
30,34,3.110719,4.342959,-3.337019e-01
40,44,2.746579,4.046823,-3.875760e-01
50,54,3.444943,3.928729,-1.314086e-01
60,64,3.262668,4.340828,-2.855201e-01
70,74,3.922845,4.047203,-3.120890e-02
80,84,3.287355,3.908389,-1.730421e-01
90,94,3.436758,4.323499,-2.295364e-01
100,141,3.583408,4.080978,-1.300224e-01
200,245,3.602339,4.063568,-1.204779e-01
300,346,3.754889,4.098430,-8.754530e-02
400,447,3.819910,4.057834,-6.042230e-02
500,547,3.788293,4.051346,-6.713370e-02
600,648,3.849522,4.082269,-5.870395e-02
700,748,3.944286,4.065224,-3.020087e-02
800,848,3.919971,4.041064,-3.042379e-02
900,948,3.790608,4.079346,-7.341005e-02
1000,1414,3.930334,4.057525,-3.184872e-02
2000,2449,3.938192,4.050963,-2.823300e-02
3000,3464,3.947789,4.053752,-2.648734e-02
4000,4472,3.975565,4.048587,-1.820092e-02
5000,5477,3.956638,4.045511,-2.221340e-02
6000,6480,4.021600,4.048910,-6.767869e-03
7000,7483,3.972489,4.045514,-1.821593e-02
8000,8485,3.976809,4.043497,-1.663015e-02
9000,9486,3.991146,4.047210,-1.394922e-02
10000,14142,4.004160,4.042471,-9.522304e-03
20000,24494,4.010742,4.039792,-7.217001e-03
30000,34641,4.011841,4.038770,-6.690054e-03
40000,44721,4.011235,4.037474,-6.520070e-03
50000,54772,4.015062,4.036630,-5.357457e-03
60000,64807,4.024570,4.036300,-2.910548e-03
70000,74833,4.012790,4.035598,-5.667835e-03
80000,84852,4.016448,4.035115,-4.636965e-03
90000,94868,4.025406,4.034996,-2.379657e-03
100000,141421,4.020835,4.033551,-3.157659e-03
200000,244949,4.022875,4.031931,-2.248401e-03
300000,346410,4.023491,4.031021,-1.869690e-03
400000,447213,4.022716,4.030332,-1.891684e-03
500000,547722,4.024812,4.029818,-1.243202e-03
600000,648074,4.023686,4.029451,-1.431682e-03
700000,748331,4.022217,4.029090,-1.707285e-03
800000,848528,4.025351,4.028787,-8.531433e-04
900000,948683,4.024420,4.028575,-1.032022e-03
1000000,1414213,4.023671,4.027680,-9.958575e-04
2000000,2449489,4.023685,4.026567,-7.159781e-04
3000000,3464101,4.023936,4.025915,-4.916554e-04
4000000,4472136,4.023153,4.025447,-5.700892e-04
5000000,5477225,4.023416,4.025090,-4.159873e-04
6000000,6480740,4.022315,4.024805,-6.189569e-04
7000000,7483314,4.023270,4.024562,-3.210785e-04
8000000,8485281,4.023595,4.024353,-1.884818e-04
9000000,9486833,4.022609,4.024177,-3.895665e-04
