Dec,n_geom,C_avg,Cpred_avg,Lambda_avg
0,4,1.921812,2.640647,-3.177556e-01
0,5,2.590290,4.206005,-4.847434e-01
0,6,2.140268,5.936968,-1.020267e+00
0,8,2.162039,2.862411,-2.806124e-01
0,9,4.827796,5.801713,-1.837631e-01
1,15,2.225233,4.018767,-5.911135e-01
1,25,2.767780,4.020536,-3.733696e-01
1,35,3.110719,4.330991,-3.309425e-01
1,45,2.746579,4.052320,-3.889334e-01
1,55,3.444943,3.923090,-1.299723e-01
1,65,3.262668,4.344501,-2.863657e-01
1,75,3.922845,4.043416,-3.027260e-02
1,85,3.287355,3.910746,-1.736448e-01
1,95,3.436758,4.320554,-2.288551e-01
2,141,3.583408,4.080978,-1.300223e-01
2,245,3.602339,4.064237,-1.206427e-01
2,347,3.754889,4.097355,-8.728301e-02
2,447,3.819910,4.057444,-6.032627e-02
2,547,3.788293,4.051346,-6.713363e-02
2,649,3.849522,4.082694,-5.880796e-02
2,749,3.944286,4.065582,-3.028904e-02
2,849,3.919971,4.041218,-3.046187e-02
2,949,3.790608,4.079482,-7.344356e-02
3,1415,3.930334,4.057327,-3.180007e-02
3,2449,3.938192,4.050963,-2.823293e-02
3,3465,3.947789,4.053814,-2.650249e-02
3,4473,3.975565,4.048633,-1.821242e-02
3,5477,3.956638,4.045530,-2.221781e-02
3,6481,4.021600,4.048925,-6.771645e-03
3,7483,3.972489,4.045500,-1.821224e-02
3,8485,3.976809,4.043508,-1.663284e-02
3,9487,3.991146,4.047199,-1.394651e-02
4,14143,4.004160,4.042457,-9.518842e-03
4,24495,4.010742,4.039788,-7.216018e-03
4,34641,4.011841,4.038772,-6.690544e-03
4,44721,4.011235,4.037476,-6.520481e-03
4,54773,4.015062,4.036633,-5.358102e-03
4,64807,4.024570,4.036299,-2.910132e-03
4,74833,4.012790,4.035599,-5.668049e-03
4,84853,4.016448,4.035116,-4.637214e-03
4,94869,4.025406,4.034998,-2.379951e-03
5,141421,4.020835,4.033551,-3.157584e-03
5,244949,4.022875,4.031931,-2.248591e-03
5,346411,4.023491,4.031021,-1.869648e-03
5,447213,4.022716,4.030332,-1.891570e-03
5,547723,4.024812,4.029818,-1.243104e-03
5,648075,4.023686,4.029451,-1.431686e-03
5,748331,4.022217,4.029090,-1.707259e-03
5,848529,4.025351,4.028787,-8.532434e-04
5,948683,4.024420,4.028575,-1.031976e-03
