Dec,n_0,C_min,Npred_0,CpredBound,Lambda_min
0,4,1.921812,4,2.870137,-4.010913e-01
0,5,2.590290,5,4.266093,-4.989286e-01
0,6,2.140268,6,6.218875,-1.066658e+00
0,8,2.162039,8,2.814638,-2.637818e-01
0,9,4.827796,9,5.820367,-1.869733e-01
1,28,1.586227,29,2.855749,-5.879761e-01
1,37,1.448748,32,2.734624,-6.352943e-01
1,59,1.146642,59,2.764597,-8.800573e-01
1,64,1.081019,64,2.715385,-9.210297e-01
1,79,0.979081,79,2.745929,-1.031260e+00
1,89,1.831623,89,2.743169,-4.039112e-01
1,97,0.871999,97,2.738599,-1.144413e+00
2,199,1.132084,128,2.702466,-8.701044e-01
2,223,1.053604,256,2.693275,-9.385414e-01
2,379,1.492247,397,2.696054,-5.915061e-01
2,433,1.364958,499,2.692035,-6.791737e-01
2,569,1.983900,512,2.686429,-3.031482e-01
2,661,1.788981,691,2.687864,-4.071005e-01
2,706,1.706515,797,2.686508,-4.537890e-01
2,802,1.784236,887,2.685154,-4.087479e-01
2,967,1.761041,997,2.684190,-4.214741e-01
3,1402,1.647631,1024,2.681141,-4.869038e-01
3,2029,1.715762,2048,2.676937,-4.448159e-01
3,3076,1.845344,3989,2.674342,-3.710375e-01
3,4801,1.856187,4096,2.673517,-3.648705e-01
3,5416,1.965120,5987,2.672347,-3.074040e-01
3,6353,2.124621,6997,2.671684,-2.291155e-01
3,7219,2.055910,7993,2.671125,-2.617810e-01
3,8777,2.179478,8192,2.670682,-2.032485e-01
3,9649,2.163663,9973,2.670244,-2.103672e-01
4,11272,2.131467,16384,2.668294,-2.246289e-01
4,20816,2.279925,29989,2.666592,-1.566589e-01
4,35792,2.297694,32768,2.666256,-1.487693e-01
4,40597,2.307754,49999,2.665207,-1.440070e-01
4,51826,2.346624,59999,2.664751,-1.271330e-01
4,67904,2.413565,65536,2.664496,-9.891011e-02
4,71633,2.358847,79999,2.664067,-1.216809e-01
4,89459,2.383150,89989,2.663800,-1.113304e-01
4,92357,2.434532,99991,2.663563,-8.991034e-02
5,116728,2.402456,131072,2.662962,-1.029474e-01
5,204928,2.464243,262144,2.661612,-7.704720e-02
5,366794,2.499164,399989,2.660873,-6.269787e-02
5,463549,2.513127,499979,2.660498,-5.698560e-02
5,548461,2.531963,524288,2.660415,-4.948734e-02
5,686398,2.527108,699967,2.659959,-5.123532e-02
5,770558,2.532269,799999,2.659754,-4.911777e-02
5,804191,2.552045,899981,2.659576,-4.127169e-02
5,915961,2.547074,999983,2.659420,-4.316264e-02
6,1201553,2.553525,1048576,2.659347,-4.060603e-02
6,2053553,2.579809,2097152,2.658389,-3.000486e-02
6,3004042,2.591117,3999971,2.657580,-2.532707e-02
6,4792159,2.588525,4194304,2.657523,-2.630638e-02
6,5167067,2.597599,5999993,2.657109,-2.265108e-02
6,6175451,2.603294,6999997,2.656936,-2.039614e-02
6,7376626,2.610535,7999993,2.656790,-1.756338e-02
6,8143934,2.607556,8388608,2.656738,-1.868570e-02
6,9121549,2.613892,9999991,2.656551,-1.618826e-02
