START,n_0,C_min,Npred_0,CpredBound,Lambda_min,Jitter,JitterRatio
3e3,3076,1.845344,3989,0.092700,2.991053e+00,8.008543,6.349352e+00
4e3,4801,1.856187,4999,0.221861,2.124229e+00,8.378353,6.721413e+00
5e3,5416,1.965120,5987,0.257405,2.032658e+00,8.783970,7.693613e+00
6e3,6353,2.124621,6997,0.250395,2.138309e+00,9.634478,8.683034e+00
7e3,7219,2.055910,7993,0.241889,2.139995e+00,9.634478,9.318157e+00
8e3,8777,2.179478,8999,0.324416,1.904814e+00,9.634478,1.045074e+01
9e3,9649,2.163663,9973,0.415020,1.651231e+00,9.634478,1.067511e+01
1e4,11272,2.131467,19997,0.472286,1.506981e+00,10.567336,1.600663e+01
2e4,20816,2.279925,29989,1.197235,6.441278e-01,12.177555,1.254521e+01
3e4,35792,2.297694,39989,1.508385,4.208665e-01,13.943683,1.008014e+01
4e4,40597,2.307754,49999,1.665680,3.260413e-01,17.967592,7.631175e+00
5e4,51826,2.346624,59999,1.774006,2.797374e-01,21.554797,6.583930e+00
6e4,67904,2.413565,69997,1.852107,2.647810e-01,21.768039,7.252942e+00
7e4,71633,2.358847,79999,1.914178,2.088847e-01,22.190667,6.288556e+00
8e4,89459,2.383150,89989,1.963881,1.935005e-01,22.190667,6.532888e+00
9e4,92357,2.434532,99991,2.001175,1.960200e-01,22.623679,7.225184e+00
1e5,116728,2.402456,199999,2.033306,1.668285e-01,22.623679,1.095181e+01
2e5,204928,2.464243,299993,2.181022,1.220911e-01,24.433172,1.093181e+01
3e5,366794,2.499164,399989,2.228507,1.146244e-01,25.391425,1.281224e+01
4e5,463549,2.513127,499979,2.246773,1.120328e-01,26.387260,1.465431e+01
5e5,548461,2.531963,599999,2.250165,1.179913e-01,27.693557,1.724529e+01
6e5,686398,2.527108,699967,2.243604,1.189921e-01,28.513446,1.921079e+01
7e5,770558,2.532269,799999,2.233822,1.254017e-01,29.067208,2.222968e+01
8e5,804191,2.552045,899981,2.222942,1.380635e-01,29.338614,2.685422e+01
9e5,915961,2.547074,999983,2.224943,1.352140e-01,29.631725,2.847773e+01
1e6,1201553,2.553525,1999993,2.241097,1.305093e-01,30.207206,4.913417e+01
2e6,2053553,2.579809,2999999,2.366457,8.632147e-02,33.902541,4.243851e+01
3e6,3004042,2.591117,3999971,2.434853,6.220267e-02,36.983173,3.656720e+01
4e6,4792159,2.588525,4999999,2.471550,4.624273e-02,39.180052,3.137043e+01
5e6,5167067,2.597599,5999993,2.494673,4.042990e-02,41.507431,3.053980e+01
6e6,6175451,2.603294,6999997,2.510750,3.619605e-02,43.135326,3.022681e+01
7e6,7376626,2.610535,7999993,2.522608,3.426189e-02,44.827066,3.105440e+01
8e6,8143934,2.607556,8999993,2.531725,2.951250e-02,46.585155,2.856804e+01
9e6,9121549,2.613892,9999991,2.539002,2.906921e-02,47.973200,3.004466e+01
