START,n_0,C_min,Npred_0,CpredBound,Lambda_min
5,5,2.590290,5,0.930573,1.023725e+00
6,6,3.210402,6,3.141027,2.184635e-02
8,8,2.162039,8,0.478609,1.507923e+00
9,9,4.827796,9,3.672029,2.736457e-01
10,10,2.120759,10,1.400104,4.152275e-01
12,12,4.116507,12,3.909125,5.169142e-02
14,14,1.989892,14,0.236924,2.128096e+00
(5#)3/2,59,1.146642,59,0.077237,2.697714e+00
(5#)2,64,1.081019,64,0.155472,1.939194e+00
(5#)5/2,79,0.979081,89,0.216613,1.508502e+00
(5#)3,97,0.871999,103,0.249914,1.249671e+00
(5#)11/2,178,1.810172,179,0.054204,3.508422e+00
(5#)6,181,1.801625,193,0.146686,2.508150e+00
(5#)13/2,199,1.132084,199,0.240245,1.550156e+00
(7#),223,1.053604,223,0.313275,1.212891e+00
(5#)15/2,236,1.517972,239,0.388318,1.363306e+00
(5#)8,241,1.504150,251,0.447720,1.211815e+00
(5#)17/2,262,2.366905,256,0.503800,1.547159e+00
(5#)9,283,1.808288,283,0.558945,1.174085e+00
(5#)19/2,292,2.207228,293,0.629201,1.255042e+00
(5#)10,313,1.693274,313,0.669818,9.274132e-01
(7#)3/2,316,2.096745,317,0.697117,1.101188e+00
(5#)11,337,1.613017,337,0.733166,7.884895e-01
(5#)23/2,349,1.970222,359,0.771561,9.374858e-01
(5#)12,362,1.917761,373,0.815830,8.547076e-01
(5#)25/2,379,1.492247,379,0.840615,5.739045e-01
(5#)13,391,1.826947,401,0.875558,7.355401e-01
(5#)27/2,412,2.111809,419,0.897491,8.556971e-01
(7#)2,433,1.364958,433,0.918427,3.962165e-01
(5#)29/2,439,2.366648,439,0.948108,9.147615e-01
(5#)15,463,1.956971,463,0.975906,6.957869e-01
(5#)31/2,466,1.944258,479,0.990604,6.743208e-01
(5#)16,481,1.907067,491,1.018532,6.272041e-01
(5#)33/2,496,1.863948,499,1.034417,5.888588e-01
(5#)17,524,2.394277,512,1.048880,8.253584e-01
(7#)5/2,526,2.089567,538,1.076072,6.636395e-01
(5#)18,548,2.031998,541,1.085464,6.270120e-01
(5#)37/2,569,1.983900,557,1.103247,5.868070e-01
(5#)19,577,2.245675,577,1.118134,6.973449e-01
(5#)39/2,599,2.188595,599,1.134431,6.571286e-01
(5#)20,601,1.910627,601,1.148102,5.093213e-01
(5#)41/2,617,1.876316,619,1.163095,4.782257e-01
(7#)3,631,2.111378,643,1.175695,5.854814e-01
(5#)43/2,649,2.329513,659,1.189538,6.720942e-01
(5#)22,661,1.788981,661,1.201191,3.983326e-01
(5#)45/2,677,2.010889,677,1.214013,5.046455e-01
(5#)23,697,2.216917,701,1.224822,5.933220e-01
(5#)47/2,706,1.706515,719,1.238190,3.208026e-01
