START,n_0,C_min,Npred_0,CpredBound,Lambda_min
5e0,5,2.590290,5,0.930573,1.023725e+00
6e0,6,3.210402,6,3.141027,2.184635e-02
8e0,8,2.162039,8,0.478609,1.507923e+00
9e0,9,4.827796,9,3.672029,2.736457e-01
5e1,59,1.146642,59,0.115001,2.299652e+00
6e1,64,1.081019,64,0.155472,1.939194e+00
7e1,79,0.979081,79,0.193700,1.620304e+00
8e1,89,1.831623,89,0.225981,2.092507e+00
9e1,97,0.871999,97,0.249914,1.249671e+00
2e2,223,1.053604,256,0.292479,1.281579e+00
3e2,379,1.492247,397,0.669818,8.010323e-01
4e2,433,1.364958,499,0.882985,4.355707e-01
5e2,569,1.983900,512,1.039576,6.462517e-01
6e2,661,1.788981,691,1.148102,4.435360e-01
7e2,706,1.706515,797,1.232320,3.255547e-01
8e2,802,1.784236,887,1.303130,3.142212e-01
9e2,967,1.761041,997,1.354612,2.623900e-01
1e3,1402,1.647631,1999,1.398730,1.637738e-01
2e3,2029,1.715762,2999,1.599793,6.998305e-02
3e3,3076,1.845344,3989,1.654231,1.093295e-01
4e3,4801,1.856187,4999,1.648956,1.183820e-01
5e3,5416,1.965120,5987,1.636862,1.827723e-01
6e3,6353,2.124621,6997,1.691870,2.277590e-01
7e3,7219,2.055910,7993,1.782289,1.428201e-01
8e3,8777,2.179478,8999,1.854019,1.617297e-01
9e3,9649,2.163663,9973,1.911001,1.241754e-01
1e4,11272,2.131467,19997,1.958745,8.450651e-02
2e4,20816,2.279925,29989,2.195471,3.774595e-02
3e4,35792,2.297694,39989,2.287600,4.402778e-03
4e4,40597,2.307754,49999,2.337978,-1.301170e-02
5e4,51826,2.346624,59999,2.370134,-9.968794e-03
6e4,67904,2.413565,69997,2.392476,8.776095e-03
7e4,71633,2.358847,79999,2.408947,-2.101678e-02
8e4,89459,2.383150,89989,2.421623,-1.601483e-02
9e4,92357,2.434532,99991,2.431597,1.206298e-03
1e5,116728,2.402456,199999,2.439672,-1.537206e-02
2e5,204928,2.464243,299993,2.474799,-4.274520e-03
3e5,366794,2.499164,399989,2.481223,7.204692e-03
4e5,463549,2.513127,499979,2.476360,1.473805e-02
5e5,548461,2.531963,599999,2.469112,2.513632e-02
6e5,686398,2.527108,699967,2.463277,2.558299e-02
7e5,770558,2.532269,799999,2.469594,2.506197e-02
8e5,804191,2.552045,899981,2.485846,2.628195e-02
9e5,915961,2.547074,999983,2.498801,1.913423e-02
