alpha,L11_lo,L11_hi,L13_lo,L13_hi,Lfinal_lo,Lfinal_lo_std,Lfinal_hi,Lfinal_hi_std
0.0009765625,,,,,,,,
0.00106494895768,,,,,,,,
0.001953125,,,,,,,,
0.00390625,,,,,5.20696,1.97605,-0.20869,0.01595
0.0078125,,,,,0.65682,0.10278,-0.17862,0.01474
0.015625,0.28159,-0.19265,,,0.26267,0.02879,-0.18579,0.01008
0.03125,0.27751,-0.18606,,,0.13004,0.01527,-0.11185,0.01181
0.0625,0.25056,-0.17514,,,0.07950,0.00472,-0.06535,0.00813
0.125,0.20521,-0.15839,,,0.05546,0.00352,-0.04002,0.00436
0.25,0.19339,-0.15483,,,0.05528,0.00210,-0.02721,0.00256
0.5,0.17601,-0.13865,,,0.06476,0.00251,-0.01963,0.00202
1.0,0.14420,-0.11577,,,0.03306,0.00329,-0.01636,0.00115
