alpha,L11_lo,L11_hi,L13_lo,L13_hi,Lfinal_lo,Lfinal_lo_std,Lfinal_hi,Lfinal_hi_std
0.0009765625,,,,,0.49378,0.01484,-0.24619,0.01239
0.00106494895768,0.50495,-0.25065,,,0.44297,0.01355,-0.27296,0.01150
0.001953125,0.42486,-0.28937,,,0.22700,0.00742,-0.17189,0.01041
0.00390625,0.36136,-0.22150,,,0.12155,0.00521,-0.09972,0.00714
0.0078125,0.32477,-0.21738,,,0.08506,0.00563,-0.05976,0.00436
0.015625,0.28159,-0.19265,,,0.07583,0.00340,-0.03742,0.00245
0.03125,0.27751,-0.18606,,,0.08589,0.00196,-0.02629,0.00237
0.0625,0.25056,-0.17514,,,0.05602,0.00129,-0.02119,0.00174
0.125,0.20521,-0.15839,,,0.02742,0.00083,-0.02196,0.00107
0.25,0.19339,-0.15483,0.02051,-0.02312,0.01451,0.00037,-0.01594,0.00096
0.5,0.17601,-0.13865,0.02052,-0.02161,0.00783,0.00042,-0.00876,0.00045
1.0,0.14420,-0.11577,0.01754,-0.01784,0.00472,0.00025,-0.00498,0.00026
