alpha,L11_lo,L11_hi,L13_lo,L13_hi,Lfinal_lo,Lfinal_lo_std,Lfinal_hi,Lfinal_hi_std
0.0009765625,,,,,,,,
0.00106494895768,,,,,,,,
0.00116133507324,,,,,,,,
0.00126644487759,,,,,,,,
0.001381067932,,,,,,,,
0.00150606525919,,,,,,,,
0.00164237581104,,,,,,,,
0.00179102352188,,,,,,,,
0.001953125,,,,,,,,
0.00212989791536,,,,,,,,
0.00232267014649,,,,,,,,
0.00253288975518,,,,,,,,
0.00276213586401,,,,,,,,
0.00301213051837,,,,,,,,
0.00328475162208,,,,,,,,
0.00358204704377,,,,,,,,
0.00390625,,,,,,,,
0.00425979583072,,,,,,,,
0.00464534029298,,,,,,,,
0.00506577951036,,,,,,,,
0.00552427172802,,,,,,,,
0.00602426103675,,,,,,,,
0.00656950324417,,,,,,,,
0.00716409408754,,,,,,,,
0.0078125,,,,,,,-0.34374,0.04182
0.00851959166145,,,,,2.87406,0.36359,-0.32773,0.03725
0.00929068058596,,,,,2.27151,0.17662,-0.30975,0.04030
0.0101315590207,,,,,1.97028,0.10172,-0.28779,0.04026
0.011048543456,,,,,1.77175,0.07356,-0.27606,0.04129
0.0120485220735,,,,,1.63562,0.05833,-0.26035,0.04089
0.0131390064883,,,,,1.53093,0.03319,-0.25168,0.03486
0.0143281881751,,,,,1.45821,0.03078,-0.24164,0.02927
0.015625,,,,,1.41630,0.01869,-0.23550,0.02861
0.0170391833229,,,,,1.37490,0.03254,-0.23053,0.02341
0.0185813611719,,,,,1.37127,0.03253,-0.22221,0.02146
0.0202631180414,,,,,1.36345,0.04603,-0.21172,0.02150
0.0220970869121,,,,,1.38075,0.04417,-0.20405,0.01944
0.024097044147,,,,,1.41123,0.05548,-0.19334,0.01633
0.0262780129767,,,,,1.45681,0.06317,-0.18963,0.01406
0.0286563763501,,,,,1.52155,0.07191,-0.17879,0.01591
0.03125,,,,,1.47177,0.09375,-0.17909,0.01382
0.0340783666458,,,,,1.29304,0.14429,-0.17622,0.01270
0.0371627223438,,,,,1.07245,0.11561,-0.17541,0.01469
0.0405262360828,,,,,0.91474,0.08565,-0.17022,0.01498
0.0441941738242,,,,,0.79056,0.06709,-0.16567,0.01265
0.048194088294,,,,,0.69058,0.05553,-0.16260,0.01146
0.0525560259534,,,,,0.60387,0.04916,-0.16017,0.01266
0.0573127527003,,,,,0.53661,0.03958,-0.15702,0.00991
0.0625,,,,,0.47859,0.03389,-0.15716,0.00925
0.0681567332916,,,,,0.42705,0.02715,-0.15599,0.01015
0.0743254446877,,,,,0.38026,0.02350,-0.15427,0.00935
0.0810524721657,,,,,0.33893,0.02682,-0.15328,0.00949
0.0883883476483,,,,,0.30917,0.02595,-0.15448,0.00931
0.096388176588,,,,,0.28013,0.01959,-0.15315,0.01002
0.105112051907,,,,,0.25374,0.01913,-0.15453,0.01169
0.114625505401,0.21850,-0.16900,,,0.22807,0.01594,-0.15803,0.01231
0.125,0.20521,-0.15839,,,0.20837,0.01322,-0.16197,0.01434
0.136313466583,0.21734,-0.15483,,,0.19287,0.01403,-0.16115,0.00736
0.148650889375,0.22043,-0.16690,,,0.17822,0.01092,-0.15193,0.00810
0.162104944331,0.20753,-0.15738,,,0.16085,0.00871,-0.14042,0.00866
0.176776695297,0.19653,-0.13272,,,0.15040,0.00707,-0.13002,0.00801
0.192776353176,0.19907,-0.15206,,,0.13905,0.00744,-0.12140,0.00812
0.210224103813,0.19914,-0.15284,,,0.12700,0.00791,-0.11378,0.00757
0.229251010801,0.19715,-0.15976,,,0.11978,0.00724,-0.10615,0.00648
0.25,0.19339,-0.15483,,,0.11188,0.00580,-0.09912,0.00532
0.272626933166,0.19762,-0.12825,,,0.10547,0.00570,-0.09278,0.00577
0.297301778751,0.18439,-0.16584,,,0.09667,0.00507,-0.08713,0.00511
0.324209888663,0.18103,-0.13027,,,0.08966,0.00421,-0.08039,0.00538
0.353553390593,0.18706,-0.13648,,,0.08303,0.00457,-0.07526,0.00443
0.385552706352,0.17490,-0.15483,,,0.07949,0.00412,-0.07052,0.00463
0.420448207627,0.18137,-0.13267,,,0.07421,0.00414,-0.06585,0.00419
0.458502021602,0.18714,-0.12987,,,0.07041,0.00471,-0.06097,0.00393
0.5,0.17601,-0.13865,,,0.06576,0.00397,-0.05637,0.00411
0.545253866333,0.17464,-0.14732,,,0.06292,0.00361,-0.05258,0.00402
0.594603557501,0.16907,-0.13895,,,0.05937,0.00232,-0.04880,0.00340
0.648419777326,0.16405,-0.14461,,,0.05560,0.00336,-0.04636,0.00313
0.707106781187,0.17022,-0.13601,,,0.05399,0.00298,-0.04355,0.00322
0.771105412704,0.15872,-0.12023,,,0.05119,0.00276,-0.04091,0.00259
0.840896415254,0.16441,-0.13728,,,0.04963,0.00204,-0.03849,0.00252
0.917004043205,0.15230,-0.12827,,,0.04755,0.00224,-0.03582,0.00248
1.0,0.14420,-0.11577,,,0.04440,0.00206,-0.03344,0.00216
