alpha,L11_lo,L11_hi,L13_lo,L13_hi,Lfinal_lo,Lfinal_lo_std,Lfinal_hi,Lfinal_hi_std
0.0009765625,,,,,0.49378,0.01484,-0.24619,0.01239
0.00106494895768,0.50495,-0.25065,,,0.44297,0.01355,-0.27296,0.01150
0.00116133507324,0.45791,-0.25703,,,0.39883,0.01247,-0.25551,0.01314
0.00126644487759,0.44675,-0.26781,,,0.35915,0.00963,-0.23952,0.01506
0.001381067932,0.43209,-0.26772,,,0.32394,0.00982,-0.22344,0.01311
0.00150606525919,0.42515,-0.24040,,,0.29107,0.00795,-0.20975,0.01179
0.00164237581104,0.41233,-0.26215,,,0.26566,0.00944,-0.19825,0.01179
0.00179102352188,0.41580,-0.24319,,,0.24378,0.00598,-0.18277,0.01209
0.001953125,0.42486,-0.28937,,,0.22700,0.00742,-0.17189,0.01041
0.00212989791536,0.39423,-0.27743,,,0.20566,0.00809,-0.16200,0.00921
0.00232267014649,0.40182,-0.24061,,,0.19180,0.01034,-0.15254,0.01037
0.00253288975518,0.39781,-0.20556,,,0.17508,0.00878,-0.14102,0.00918
0.00276213586401,0.39700,-0.23848,,,0.16350,0.00906,-0.13144,0.00939
0.00301213051837,0.37040,-0.21700,,,0.14815,0.00886,-0.12090,0.01033
0.00328475162208,0.38211,-0.24596,,,0.13934,0.00809,-0.11401,0.00986
0.00358204704377,0.37647,-0.22208,,,0.12798,0.00673,-0.10585,0.00857
0.00390625,0.36136,-0.22150,,,0.12155,0.00521,-0.09972,0.00714
0.00425979583072,0.36960,-0.23650,,,0.11509,0.00565,-0.09253,0.00552
0.00464534029298,0.36373,-0.25275,,,0.10843,0.00705,-0.08802,0.00528
0.00506577951036,0.35143,-0.21604,,,0.10300,0.00491,-0.08245,0.00480
0.00552427172802,0.33929,-0.23456,,,0.09963,0.00425,-0.07764,0.00464
0.00602426103675,0.32499,-0.24395,,,0.09646,0.00454,-0.07167,0.00367
0.00656950324417,0.35658,-0.19384,,,0.09119,0.00698,-0.06731,0.00387
0.00716409408754,0.32951,-0.22718,,,0.08799,0.00542,-0.06331,0.00411
0.0078125,0.32477,-0.21738,,,0.08506,0.00563,-0.05976,0.00436
0.00851959166145,0.31436,-0.21260,,,0.08399,0.00481,-0.05697,0.00389
0.00929068058596,0.33783,-0.20813,,,0.08070,0.00471,-0.05348,0.00427
0.0101315590207,0.30268,-0.21869,,,0.07875,0.00412,-0.05133,0.00434
0.011048543456,0.30416,-0.20338,,,0.07816,0.00380,-0.04780,0.00410
0.0120485220735,0.31379,-0.17961,,,0.07728,0.00371,-0.04432,0.00369
0.0131390064883,0.30853,-0.21862,,,0.07634,0.00347,-0.04171,0.00299
0.0143281881751,0.26168,-0.18506,,,0.07612,0.00278,-0.04000,0.00338
0.015625,0.28159,-0.19265,,,0.07583,0.00340,-0.03742,0.00245
0.0170391833229,0.28529,-0.21272,,,0.07648,0.00245,-0.03504,0.00222
0.0185813611719,0.29080,-0.21653,,,0.07774,0.00174,-0.03329,0.00290
0.0202631180414,0.26448,-0.19312,,,0.07841,0.00163,-0.03226,0.00257
0.0220970869121,0.26189,-0.19398,,,0.07895,0.00212,-0.03048,0.00241
0.024097044147,0.29792,-0.19350,,,0.08046,0.00193,-0.02949,0.00246
0.0262780129767,0.27875,-0.21391,,,0.08209,0.00168,-0.02837,0.00253
0.0286563763501,0.27187,-0.18354,,,0.08429,0.00187,-0.02723,0.00262
0.03125,0.27751,-0.18606,,,0.08589,0.00196,-0.02629,0.00237
0.0340783666458,0.26611,-0.17819,,,0.09012,0.00237,-0.02554,0.00244
0.0371627223438,0.26846,-0.17679,,,0.09406,0.00137,-0.02516,0.00241
0.0405262360828,0.26783,-0.19422,,,0.08724,0.00158,-0.02424,0.00208
0.0441941738242,0.25410,-0.18225,,,0.07966,0.00162,-0.02340,0.00232
0.048194088294,0.24958,-0.18020,,,0.07314,0.00126,-0.02302,0.00204
0.0525560259534,0.24884,-0.18977,,,0.06691,0.00088,-0.02223,0.00179
0.0573127527003,0.23810,-0.18686,,,0.06141,0.00090,-0.02167,0.00188
0.0625,0.25056,-0.17514,,,0.05602,0.00129,-0.02119,0.00174
0.0681567332916,0.23227,-0.17169,,,0.05164,0.00120,-0.02091,0.00177
0.0743254446877,0.22170,-0.17069,,,0.04683,0.00169,-0.02102,0.00163
0.0810524721657,0.22794,-0.19014,,,0.04269,0.00133,-0.02098,0.00151
0.0883883476483,0.20931,-0.19382,,,0.03885,0.00128,-0.02099,0.00152
0.096388176588,0.24013,-0.16817,,,0.03546,0.00133,-0.02147,0.00143
0.105112051907,0.22966,-0.17473,,,0.03239,0.00147,-0.02152,0.00120
0.114625505401,0.21850,-0.16900,,,0.02976,0.00101,-0.02175,0.00117
0.125,0.20521,-0.15839,,,0.02742,0.00083,-0.02196,0.00107
0.136313466583,0.21734,-0.15483,,,0.02516,0.00079,-0.02219,0.00095
0.148650889375,0.22043,-0.16690,,,0.02316,0.00065,-0.02257,0.00110
0.162104944331,0.20753,-0.15738,0.02343,-0.02370,0.02137,0.00076,-0.02327,0.00120
0.176776695297,0.19653,-0.13272,0.02207,-0.02556,0.01979,0.00068,-0.02145,0.00108
0.192776353176,0.19907,-0.15206,0.02164,-0.02194,0.01832,0.00055,-0.01980,0.00123
0.210224103813,0.19914,-0.15284,0.02337,-0.02419,0.01704,0.00058,-0.01843,0.00107
0.229251010801,0.19715,-0.15976,0.02199,-0.02326,0.01590,0.00031,-0.01713,0.00106
0.25,0.19339,-0.15483,0.02051,-0.02312,0.01451,0.00037,-0.01594,0.00096
0.272626933166,0.19762,-0.12825,0.02127,-0.02084,0.01311,0.00055,-0.01479,0.00079
0.297301778751,0.18439,-0.16584,0.02060,-0.02381,0.01208,0.00065,-0.01370,0.00087
0.324209888663,0.18103,-0.13027,0.02168,-0.02133,0.01134,0.00051,-0.01264,0.00069
0.353553390593,0.18706,-0.13648,0.02106,-0.02384,0.01074,0.00029,-0.01176,0.00059
0.385552706352,0.17490,-0.15483,0.01972,-0.02213,0.00981,0.00046,-0.01096,0.00072
0.420448207627,0.18137,-0.13267,0.02035,-0.02133,0.00924,0.00034,-0.01010,0.00071
0.458502021602,0.18714,-0.12987,0.01983,-0.02187,0.00858,0.00022,-0.00943,0.00053
0.5,0.17601,-0.13865,0.02052,-0.02161,0.00783,0.00042,-0.00876,0.00045
0.545253866333,0.17464,-0.14732,0.01996,-0.02319,0.00736,0.00037,-0.00817,0.00044
0.594603557501,0.16907,-0.13895,0.01959,-0.01917,0.00712,0.00040,-0.00756,0.00049
0.648419777326,0.16405,-0.14461,0.01931,-0.01885,0.00672,0.00027,-0.00705,0.00039
0.707106781187,0.17022,-0.13601,0.01948,-0.02133,0.00616,0.00036,-0.00665,0.00034
0.771105412704,0.15872,-0.12023,0.01868,-0.01916,0.00580,0.00033,-0.00616,0.00030
0.840896415254,0.16441,-0.13728,0.01826,-0.01855,0.00540,0.00032,-0.00576,0.00025
0.917004043205,0.15230,-0.12827,0.01842,-0.02105,0.00517,0.00030,-0.00532,0.00031
1.0,0.14420,-0.11577,0.01754,-0.01784,0.00472,0.00025,-0.00498,0.00026
