START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio
4e0,4,3.843624,4,3.843624,2.861882e-08,5.013439,2.194103e-08
5e0,5,2.590290,5,5.180581,-6.931472e-01,3.585599,-7.224150e-01
6e0,6,3.210402,6,6.420804,-6.931472e-01,4.712567,-6.812427e-01
8e0,8,2.162039,8,8.390096,-1.356000e+00,3.724143,-1.672346e+00
9e0,9,4.827796,9,9.655592,-6.931472e-01,4.158239,-1.161019e+00
1e1,15,4.190592,15,13.547219,-1.173339e+00,4.355926,-2.148023e+00
2e1,21,5.561470,21,14.518370,-9.595523e-01,4.480635,-1.999025e+00
3e1,30,6.169677,30,14.831433,-8.771024e-01,4.620724,-1.874545e+00
4e1,45,6.586672,45,16.217074,-9.010164e-01,4.583942,-2.100900e+00
5e1,57,5.837951,51,13.242992,-8.190886e-01,4.556597,-1.625125e+00
6e1,60,6.705463,60,15.873865,-8.617515e-01,4.289376,-2.137468e+00
7e1,75,7.053239,75,15.231138,-7.698549e-01,4.069351,-2.009632e+00
8e1,81,4.827796,84,12.181981,-9.255679e-01,3.884322,-1.893300e+00
9e1,90,5.399543,90,14.585460,-9.937108e-01,3.710992,-2.475326e+00
1e2,105,8.330518,105,17.179619,-7.237981e-01,2.854641,-3.099900e+00
2e2,210,8.169017,210,15.758844,-6.570532e-01,2.472453,-3.069756e+00
3e2,315,8.431106,315,14.470710,-5.401986e-01,2.256641,-2.676369e+00
4e2,420,7.991882,420,13.687554,-5.380607e-01,2.119604,-2.687140e+00
5e2,570,7.912132,525,13.179456,-5.102620e-01,2.024086,-2.602322e+00
6e2,660,7.918936,630,12.797707,-4.800091e-01,1.954865,-2.495707e+00
7e2,735,8.545496,735,12.514410,-3.814765e-01,1.905532,-2.082838e+00
8e2,840,8.204146,840,12.283689,-4.036327e-01,1.868503,-2.183322e+00
9e2,975,7.586652,945,12.102328,-4.670074e-01,1.840445,-2.453578e+00
1e3,1155,9.135596,1155,12.776291,-3.354128e-01,1.806534,-2.015293e+00
2e3,2730,9.539146,2310,11.874276,-2.189704e-01,1.632068,-1.430780e+00
3e3,3465,9.205098,3465,11.518488,-2.241959e-01,1.446140,-1.599700e+00
4e3,4620,9.432003,4620,11.481604,-1.966376e-01,1.490815,-1.374819e+00
5e3,5775,9.302545,5775,11.686692,-2.281628e-01,1.385402,-1.720907e+00
6e3,6930,9.570228,6930,11.623809,-1.943985e-01,1.393753,-1.473418e+00
7e3,7770,9.129686,7140,11.504395,-2.311979e-01,1.410286,-1.683849e+00
8e3,8925,9.643464,8085,11.723754,-1.953366e-01,1.443433,-1.441210e+00
9e3,9240,9.637497,9240,11.453913,-1.726700e-01,1.483991,-1.224008e+00
1e4,15015,10.422348,15015,11.748258,-1.197526e-01,1.529731,-8.667603e-01
2e4,21945,10.036306,21945,11.813820,-1.630609e-01,0.547924,-3.244089e+00
3e4,30030,10.293246,30030,11.946868,-1.489812e-01,0.455233,-3.632473e+00
4e4,45045,10.267641,45045,12.010375,-1.567735e-01,0.405892,-4.293590e+00
5e4,58905,10.142189,58905,12.036396,-1.712312e-01,0.375550,-5.043822e+00
6e4,60060,10.288579,60060,11.719600,-1.302282e-01,0.341549,-4.189796e+00
7e4,75075,10.186498,75075,11.741113,-1.420335e-01,0.331653,-4.687476e+00
8e4,87780,9.960052,87780,11.395306,-1.346192e-01,0.324583,-4.421840e+00
9e4,90090,10.384689,90090,11.876582,-1.342361e-01,0.319555,-4.668659e+00
1e5,150150,10.404410,105105,12.016604,-1.440596e-01,0.312014,-5.167056e+00
2e5,255255,10.988793,255255,12.115780,-9.763275e-02,0.319508,-3.527256e+00
3e5,345345,10.823075,345345,11.486794,-5.951756e-02,0.349181,-1.900787e+00
4e5,435435,10.808231,435435,11.295470,-4.409381e-02,0.282517,-1.724637e+00
5e5,510510,11.026899,510510,11.658201,-5.567220e-02,0.240319,-2.626932e+00
6e5,690690,10.755350,690690,11.218119,-4.212690e-02,0.210969,-2.193539e+00
7e5,765765,10.999099,765765,11.486344,-4.334545e-02,0.189259,-2.574485e+00
8e5,855855,10.950614,855855,11.329647,-3.402742e-02,0.172478,-2.197575e+00
9e5,930930,10.674738,930930,11.026073,-3.238272e-02,0.159082,-2.208515e+00
1e6,1276275,11.043507,1021020,11.393768,-3.122386e-02,0.148113,-2.364821e+00
2e6,2042040,11.036389,2042040,11.240383,-1.831504e-02,0.094909,-2.149367e+00
3e6,3573570,11.047450,3063060,11.182370,-1.213878e-02,0.075025,-1.798331e+00
4e6,4849845,11.627998,4849845,11.816001,-1.603880e-02,0.064425,-2.918165e+00
5e6,5870865,11.544510,5870865,11.654107,-9.448679e-03,0.057806,-1.895951e+00
6e6,6561555,11.429827,6561555,11.552825,-1.070367e-02,0.053285,-2.308309e+00
7e6,7402395,11.421215,7402395,11.507748,-7.547924e-03,0.050015,-1.730134e+00
8e6,8273265,11.322354,8273265,11.414366,-8.093714e-03,0.047556,-1.934808e+00
9e6,9699690,11.630432,9699690,11.749213,-1.016118e-02,0.045654,-2.601773e+00
1e7,14549535,11.637951,14549535,11.723859,-7.354631e-03,0.038617,-2.224625e+00
2e7,29099070,11.629674,24249225,11.701435,-6.151558e-03,0.038411,-1.868244e+00
3e7,38798760,11.618670,33948915,11.690975,-6.203901e-03,0.038873,-1.860035e+00
4e7,48498450,11.629194,43648605,11.684934,-4.781656e-03,0.040976,-1.360307e+00
5e7,58198140,11.645824,53348295,11.681063,-3.021336e-03,0.044073,-7.995635e-01
6e7,67897830,11.624854,63047985,11.678438,-4.598817e-03,0.038186,-1.403229e+00
7e7,77597520,11.636855,72747675,11.676604,-3.409984e-03,0.033792,-1.176291e+00
8e7,82447365,11.630461,82447365,11.675310,-3.848714e-03,0.030422,-1.474215e+00
9e7,96996900,11.629483,92147055,11.674405,-3.855348e-03,0.027749,-1.618878e+00
