START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
4e0,4,3.84362411,4,3.84362411,0.000000e+00,3.843624,0.000000,EXACT
5e0,5,2.59029039,5,5.18058079,-6.931472e-01,2.935933,-0.882272,EXPECTED
6e0,6,3.21040200,6,6.42080399,-6.931472e-01,3.648593,-0.879901,EXPECTED
8e0,8,2.16203856,8,8.51386899,-1.370645e+00,2.591698,-2.450837,EXPECTED
9e0,9,4.82779584,9,9.65559169,-6.931472e-01,2.893671,-1.668398,EXPECTED
1e1,15,4.19059194,15,13.74370145,-1.187739e+00,2.483436,-3.846731,EXPECTED
2e1,21,5.56147012,21,12.77306354,-8.314761e-01,2.414401,-2.986908,EXPECTED
3e1,30,6.16967660,30,13.02700528,-7.473781e-01,2.157557,-3.178284,EXPECTED
4e1,45,6.58667241,45,12.81225244,-6.653537e-01,2.068383,-3.009878,EXPECTED
5e1,57,5.83795127,51,11.25102146,-6.560790e-01,1.924980,-2.812014,EXPECTED
6e1,60,6.70546296,60,12.55277616,-6.270193e-01,1.805168,-3.239207,EXPECTED
7e1,75,7.05323920,75,12.49704817,-5.720055e-01,1.775072,-3.066810,EXPECTED
8e1,81,4.82779584,84,11.70580391,-8.856948e-01,1.701861,-4.041463,EXPECTED
9e1,90,5.39954322,90,12.42297826,-8.332335e-01,1.633982,-4.298355,EXPECTED
1e2,105,8.33051805,105,13.86939722,-5.097591e-01,1.617265,-3.424843,EXPECTED
2e2,210,8.16901684,210,14.12279077,-5.474413e-01,1.381099,-4.310896,EXPECTED
3e2,315,8.43110623,315,13.35325959,-4.598325e-01,1.315505,-3.741645,EXPECTED
4e2,420,7.99188162,420,12.72520353,-4.651583e-01,1.293027,-3.660652,EXPECTED
5e2,570,7.91213209,525,12.31809008,-4.426716e-01,1.218626,-3.615513,EXPECTED
6e2,660,7.91893649,630,12.01208245,-4.166561e-01,1.106866,-3.697960,EXPECTED
7e2,735,8.54549570,735,11.78494420,-3.214185e-01,1.019253,-3.178258,EXPECTED
8e2,840,8.20414590,840,11.60021443,-3.463840e-01,0.944657,-3.595028,EXPECTED
9e2,975,7.58665247,945,11.45523535,-4.120564e-01,0.889637,-4.348496,EXPECTED
1e3,1155,9.13559580,1155,12.18058346,-2.876648e-01,0.841746,-3.617466,EXPECTED
2e3,2730,9.53914578,2310,11.61043891,-1.965007e-01,0.600786,-3.447639,EXPECTED
3e3,3465,9.20509845,3465,11.41239705,-2.149427e-01,0.503105,-4.387352,EXPECTED
4e3,4620,9.43200294,4620,11.32702529,-1.830830e-01,0.449420,-4.216596,EXPECTED
5e3,5775,9.30254452,5775,11.29371320,-1.939582e-01,0.415557,-4.791566,EXPECTED
6e3,6930,9.57022794,6930,11.28906777,-1.651778e-01,0.392499,-4.379221,EXPECTED
7e3,7770,9.12968576,7140,10.91041361,-1.781864e-01,0.376216,-4.733259,EXPECTED
8e3,8925,9.64346441,8085,11.30265036,-1.587568e-01,0.364097,-4.556989,EXPECTED
9e3,9240,9.63749652,9240,11.32875303,-1.616826e-01,0.355193,-4.761514,EXPECTED
1e4,15015,10.42234789,15015,11.89385383,-1.320694e-01,0.348400,-4.223611,EXPECTED
2e4,21945,10.03630588,21945,11.24786681,-1.139694e-01,0.338363,-3.580654,EXPECTED
3e4,30030,10.29324643,30030,11.33274103,-9.620798e-02,0.273931,-3.794732,EXPECTED
4e4,45045,10.26764128,45045,11.11439580,-7.924386e-02,0.225792,-3.750153,EXPECTED
5e4,58905,10.14218881,58905,10.77226683,-6.027111e-02,0.194928,-3.232363,EXPECTED
6e4,60060,10.28857922,60060,10.99464167,-6.637357e-02,0.173322,-4.073704,EXPECTED
7e4,75075,10.18649755,75075,10.91799226,-6.934902e-02,0.157233,-4.652298,EXPECTED
8e4,87780,9.96005196,87780,10.56762485,-5.921278e-02,0.144694,-4.199019,EXPECTED
9e4,90090,10.38468869,90090,10.86433075,-4.515253e-02,0.134680,-3.561346,EXPECTED
1e5,150150,10.40441005,105105,10.82451875,-3.958406e-02,0.126432,-3.322804,EXPECTED
2e5,255255,10.98879350,255255,11.36136644,-3.334271e-02,0.086101,-4.327162,EXPECTED
3e5,345345,10.82307543,345345,11.13717361,-2.860802e-02,0.071005,-4.423607,EXPECTED
4e5,435435,10.80823080,435435,11.01395831,-1.885545e-02,0.063080,-3.261375,EXPECTED
5e5,510510,11.02689928,510510,11.31367096,-2.567414e-02,0.058265,-4.921852,EXPECTED
6e5,690690,10.75535033,690690,11.11400068,-3.280230e-02,0.055104,-6.508608,EXPECTED
7e5,765765,10.99909949,765765,11.31219818,-2.806822e-02,0.052937,-5.914553,EXPECTED
8e5,855855,10.95061370,855855,11.23484569,-2.562467e-02,0.051419,-5.527762,EXPECTED
9e5,930930,10.67473805,930930,10.98776308,-2.890219e-02,0.050351,-6.216858,EXPECTED
1e6,1276275,11.04350724,1021020,11.34688369,-2.710047e-02,0.050210,-6.042152,EXPECTED
2e6,2042040,11.03638869,2042040,11.25449938,-1.957012e-02,0.053985,-4.040209,EXPECTED
3e6,3573570,11.04745022,3063060,11.18732479,-1.258177e-02,0.049360,-2.833764,EXPECTED
4e6,4849845,11.62799825,4849845,11.77973220,-1.296461e-02,0.039728,-3.819320,EXPECTED
5e6,5870865,11.54450968,5870865,11.63903181,-8.154289e-03,0.033670,-2.807310,EXPECTED
6e6,6561555,11.42982677,6561555,11.54528100,-1.005046e-02,0.029476,-3.916889,EXPECTED
7e6,7402395,11.42121537,7402395,11.50464168,-7.277955e-03,0.026385,-3.161884,EXPECTED
