START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
4,4,1.92181206,4,3.84362411,-6.931472e-01,2.178254,-0.882272,EXPECTED
5,5,2.59029039,5,5.18058079,-6.931472e-01,2.935933,-0.882272,EXPECTED
6,6,2.14026800,6,6.42080399,-1.098612e+00,2.503355,-1.709920,EXPECTED
8,8,2.16203856,8,8.51386899,-1.370645e+00,2.591698,-2.450837,EXPECTED
9,9,4.82779584,9,9.65559169,-6.931472e-01,2.893671,-1.668398,EXPECTED
10,10,2.12075924,10,9.89295630,-1.540049e+00,2.597257,-2.992464,EXPECTED
12,12,4.11650737,12,11.62640991,-1.038274e+00,2.569946,-2.922202,EXPECTED
13,13,2.19298840,13,9.54743332,-1.471007e+00,2.738176,-2.685892,EXPECTED
14,14,1.98989245,14,9.43414748,-1.556255e+00,2.529185,-2.943341,EXPECTED
(5#)/2,21,5.56147012,15,13.74370145,-9.047182e-01,2.483436,-3.294722,EXPECTED
(5#),30,6.16967660,30,13.02700528,-7.473781e-01,2.157557,-3.178284,EXPECTED
(5#)3/2,45,6.58667241,45,12.81225244,-6.653537e-01,1.990887,-3.127038,EXPECTED
(5#)2,60,6.70546296,60,12.55277616,-6.270193e-01,1.850930,-3.159122,EXPECTED
(5#)5/2,75,7.05323920,75,12.49704817,-5.720055e-01,1.724468,-3.156805,EXPECTED
(5#)3,90,5.39954322,90,12.42297826,-8.332335e-01,1.633982,-4.298355,EXPECTED
(7#)/2,105,8.33051805,105,13.86939722,-5.097591e-01,1.594035,-3.474754,EXPECTED
(5#)4,120,6.87602316,120,12.40107220,-5.897425e-01,1.519217,-3.636774,EXPECTED
(5#)9/2,135,6.46434286,135,12.43570998,-6.542708e-01,1.503360,-3.972014,EXPECTED
(5#)5,150,5.35604609,150,12.46134763,-8.444056e-01,1.471700,-4.827955,EXPECTED
(5#)11/2,165,7.63044269,165,13.31438837,-5.566994e-01,1.441408,-3.943329,EXPECTED
(5#)6,189,7.01512641,180,12.55425766,-5.819911e-01,1.419043,-3.903427,EXPECTED
(5#)13/2,195,7.45275910,195,13.27434956,-5.772493e-01,1.397320,-4.166254,EXPECTED
(7#),210,8.16901684,210,14.12279077,-5.474413e-01,1.381099,-4.310896,EXPECTED
(5#)15/2,225,6.28588791,231,12.76019926,-7.080238e-01,1.365220,-4.742321,EXPECTED
(5#)8,252,6.79435245,240,12.57933612,-6.159637e-01,1.353305,-4.274708,EXPECTED
(5#)17/2,255,7.25329173,255,12.91701560,-5.770901e-01,1.339736,-4.227492,EXPECTED
(5#)9,270,6.96496187,270,12.27825202,-5.669374e-01,1.332861,-3.986380,EXPECTED
(5#)19/2,294,6.15296742,285,12.58176230,-7.153139e-01,1.321459,-4.864922,EXPECTED
(5#)10,300,6.94040203,300,12.01964383,-5.491826e-01,1.315505,-3.861059,EXPECTED
(7#)3/2,315,8.43110623,315,13.35325959,-4.598325e-01,1.311798,-3.752219,EXPECTED
(5#)11,330,7.74497014,330,12.59897232,-4.865716e-01,1.307303,-3.712989,EXPECTED
(5#)23/2,345,7.94116543,345,12.05507599,-4.174258e-01,1.303064,-3.157106,EXPECTED
(5#)12,360,6.15932812,360,11.60857288,-6.337762e-01,1.298962,-4.195076,EXPECTED
(5#)25/2,375,6.01128592,375,11.53133791,-6.514297e-01,1.297074,-4.255773,EXPECTED
(5#)13,390,6.57136743,390,12.09403516,-6.099904e-01,1.294966,-4.264720,EXPECTED
(5#)27/2,405,6.06725959,405,11.37359349,-6.283873e-01,1.294003,-4.100712,EXPECTED
(7#)2,420,7.99188162,420,12.72520353,-4.651583e-01,1.293366,-3.659693,EXPECTED
(5#)29/2,435,7.48402071,435,11.49591415,-4.292215e-01,1.293027,-3.102714,EXPECTED
(5#)15,462,7.49643810,462,11.15945659,-3.978593e-01,1.283796,-2.853271,EXPECTED
(5#)31/2,465,7.47988224,465,11.35165797,-4.171468e-01,1.268772,-3.051593,EXPECTED
(5#)16,483,6.65597280,480,11.03816110,-5.058438e-01,1.240192,-3.533476,EXPECTED
(5#)33/2,495,7.79282126,495,11.78454969,-4.135864e-01,1.223915,-3.261443,EXPECTED
(5#)17,510,7.01146018,510,11.40814259,-4.867814e-01,1.204935,-3.648896,EXPECTED
(7#)5/2,525,7.78613819,525,12.31809008,-4.587239e-01,1.187511,-3.816345,EXPECTED
(5#)18,540,7.03712751,540,10.83030967,-4.311486e-01,1.171492,-3.237907,EXPECTED
(5#)37/2,555,6.91916673,555,10.99361074,-4.630189e-01,1.153182,-3.533219,EXPECTED
(5#)19,570,7.91213209,570,11.16186374,-3.441057e-01,1.137832,-2.856073,EXPECTED
(5#)39/2,585,7.50774530,585,11.35362707,-4.136021e-01,1.121004,-3.430748,EXPECTED
(5#)20,609,7.03221547,600,10.65620611,-4.156407e-01,1.106866,-3.274101,EXPECTED
(5#)41/2,615,7.25345459,615,10.80478770,-3.985115e-01,1.091336,-3.254115,EXPECTED
(7#)3,630,7.91377219,630,12.01208245,-4.173085e-01,1.078265,-3.800838,EXPECTED
(5#)43/2,645,6.23868815,645,10.72227589,-5.415535e-01,1.063881,-4.214370,EXPECTED
(5#)22,660,7.91893649,660,11.30328588,-3.558366e-01,1.051753,-3.217818,EXPECTED
(5#)45/2,675,7.30446862,675,10.47784924,-3.607771e-01,1.038385,-3.056073,EXPECTED
(5#)23,693,7.17206434,690,10.78327815,-4.078031e-01,1.027095,-3.515949,EXPECTED
