START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
4,4,3.84362411,6,14.53327495,-1.330025e+00,6.116053,-1.747802,EXPECTED
7,9,4.82779584,9,13.75988860,-1.047368e+00,5.733925,-1.557762,EXPECTED
10,12,4.11650737,12,13.13656898,-1.160395e+00,6.633549,-1.359764,EXPECTED
13,15,4.19059194,15,15.47240958,-1.306216e+00,6.968500,-1.618974,EXPECTED
16,18,3.71299951,18,13.41770398,-1.284735e+00,7.662846,-1.266462,EXPECTED
19,21,5.56147012,21,14.80566562,-9.791474e-01,7.979612,-1.158477,EXPECTED
22,24,3.36667538,24,13.46009263,-1.385803e+00,8.359408,-1.207432,EXPECTED
25,25,3.45372053,27,13.76248942,-1.382495e+00,6.575393,-1.567780,EXPECTED
28,30,6.16967660,30,15.42436214,-9.163018e-01,6.594707,-1.403351,EXPECTED
31,33,4.58458692,33,14.36960116,-1.142415e+00,6.242923,-1.567377,EXPECTED
34,36,4.28053599,36,13.69523430,-1.162970e+00,6.144472,-1.532223,EXPECTED
37,39,2.82561767,39,14.30704411,-1.622025e+00,6.144397,-1.868601,EXPECTED
40,42,5.32197111,42,14.88509694,-1.028517e+00,5.959419,-1.604708,EXPECTED
43,45,6.58667241,45,15.74729152,-8.716201e-01,5.726766,-1.599615,EXPECTED
46,48,3.74654932,48,13.89263815,-1.310524e+00,5.719385,-1.773982,EXPECTED
49,51,4.94696090,51,14.38241581,-1.067233e+00,5.647711,-1.670669,EXPECTED
52,54,4.71466481,54,14.03738604,-1.091046e+00,5.462131,-1.706792,EXPECTED
55,57,5.83795127,57,14.47691855,-9.081756e-01,5.347359,-1.615558,EXPECTED
58,60,6.70546296,60,15.97422606,-8.680540e-01,5.338351,-1.736260,EXPECTED
61,63,5.53727915,63,15.36431053,-1.020544e+00,5.192977,-1.892370,EXPECTED
64,66,4.25532287,66,14.77521749,-1.244781e+00,5.145668,-2.044418,EXPECTED
67,69,4.21827245,69,14.39139027,-1.227204e+00,5.136903,-1.980399,EXPECTED
70,72,6.09662436,72,13.88174973,-8.228398e-01,5.048043,-1.542207,EXPECTED
73,75,7.05323920,75,18.46238944,-9.622487e-01,4.935021,-2.311875,EXPECTED
76,78,5.84028055,78,14.13403045,-8.838066e-01,4.897408,-1.693498,EXPECTED
79,81,4.82779584,81,13.60737638,-1.036222e+00,4.889579,-1.795570,EXPECTED
82,84,4.67431845,84,14.49000216,-1.131376e+00,4.792191,-2.048266,EXPECTED
85,87,4.63821752,87,13.57656308,-1.074015e+00,4.727766,-1.890607,EXPECTED
88,90,5.39954322,90,17.61061167,-1.182187e+00,4.720841,-2.586630,EXPECTED
91,93,5.35942387,93,13.36648571,-9.138940e-01,4.638627,-1.726171,EXPECTED
94,96,4.34026550,96,13.01353226,-1.098054e+00,4.610728,-1.881106,EXPECTED
97,99,5.17105137,99,13.58878081,-9.661685e-01,4.604504,-1.828151,EXPECTED
100,102,4.19419089,102,13.20869374,-1.147175e+00,4.551517,-1.980549,EXPECTED
103,105,8.33051805,105,18.54148125,-8.000848e-01,4.483088,-2.277663,EXPECTED
106,108,4.87163396,108,12.68296221,-9.568301e-01,4.477676,-1.744505,EXPECTED
109,111,4.03266813,111,12.81461674,-1.156158e+00,4.454440,-1.971505,EXPECTED
112,120,6.87602316,120,16.53342209,-8.773435e-01,4.293759,-2.249171,EXPECTED
127,132,6.50229671,135,16.18252644,-9.117766e-01,4.186266,-2.312378,EXPECTED
142,147,5.45850244,150,15.79363022,-1.062432e+00,4.082804,-2.531380,EXPECTED
157,165,7.63044269,165,16.33550940,-7.611954e-01,4.043182,-2.153024,EXPECTED
172,180,5.99262241,180,15.23537546,-9.330909e-01,3.940170,-2.345775,EXPECTED
187,195,7.45275910,195,15.69092872,-7.444984e-01,3.859781,-2.134362,EXPECTED
202,210,8.16901684,210,16.24734428,-6.875809e-01,3.785416,-2.134066,EXPECTED
217,225,6.28588791,225,14.65125761,-8.462191e-01,3.720591,-2.248398,EXPECTED
232,237,6.08129119,240,14.46186619,-8.662982e-01,3.677330,-2.278984,EXPECTED
247,255,7.25329173,255,14.81228162,-7.140013e-01,3.628660,-2.083135,EXPECTED
262,270,6.96496187,270,14.18208837,-7.110877e-01,3.613915,-1.997038,EXPECTED
277,285,5.85011607,285,14.49766440,-9.075261e-01,3.586808,-2.410931,EXPECTED
292,300,6.94040203,300,13.94407186,-6.976948e-01,3.542686,-1.976938,EXPECTED
307,315,8.43110623,315,15.28925326,-5.952222e-01,3.522527,-1.946940,EXPECTED
322,330,7.74497014,330,14.54348392,-6.300994e-01,3.494147,-1.945686,EXPECTED
337,345,7.94116543,345,14.01076862,-5.677662e-01,3.471171,-1.748575,EXPECTED
352,360,6.15932812,360,13.57279590,-7.900998e-01,3.454941,-2.145758,EXPECTED
367,375,6.01128592,375,13.50643881,-8.095278e-01,3.448547,-2.173423,EXPECTED
382,390,6.57136743,390,14.07769043,-7.618694e-01,3.429995,-2.188436,EXPECTED
397,399,6.12814272,405,13.36788286,-7.799633e-01,3.417958,-2.118148,EXPECTED
412,420,7.99188162,420,14.72807760,-6.113295e-01,3.399999,-1.981235,EXPECTED
427,435,7.48402071,435,13.50922303,-5.906025e-01,3.391967,-1.776315,EXPECTED
442,450,7.29870162,450,13.18138387,-5.911090e-01,3.384155,-1.738302,EXPECTED
457,462,7.49643810,465,13.38385482,-5.796211e-01,3.384836,-1.739351,EXPECTED
472,483,6.65597280,480,13.07901163,-6.754942e-01,3.376263,-1.902411,EXPECTED
487,495,7.79282126,495,13.83553121,-5.740370e-01,3.374116,-1.790902,EXPECTED
502,510,7.01146018,510,13.46781360,-6.527567e-01,3.365970,-1.918126,EXPECTED
517,525,7.78613819,525,14.38777479,-6.140339e-01,3.366764,-1.960825,EXPECTED
532,540,7.03712751,540,12.90871957,-6.067030e-01,3.362859,-1.746012,EXPECTED
547,555,6.91916673,555,13.08193423,-6.369369e-01,3.361809,-1.833170,EXPECTED
562,570,7.91213209,570,13.25894770,-5.162753e-01,3.361748,-1.590487,EXPECTED
577,585,7.50774530,585,13.46053862,-5.838271e-01,3.363872,-1.769625,EXPECTED
592,600,6.82011817,600,13.00955499,-6.458073e-01,3.363069,-1.840413,EXPECTED
607,615,7.25345459,615,12.93024773,-5.780915e-01,3.367626,-1.685696,EXPECTED
622,630,7.91377219,630,14.14637159,-5.808536e-01,3.368642,-1.850182,EXPECTED
637,645,6.23868815,645,12.86625400,-7.238380e-01,3.371858,-1.965553,EXPECTED
652,660,7.91893649,660,13.45612636,-5.301776e-01,3.375340,-1.640484,EXPECTED
667,675,7.30446862,675,12.64032271,-5.484056e-01,3.377941,-1.579617,EXPECTED
682,693,7.17206434,690,12.95464655,-5.912610e-01,3.380882,-1.710377,EXPECTED
697,705,7.08686815,705,12.75439744,-5.876326e-01,3.388027,-1.672811,EXPECTED
712,714,7.25655511,720,12.56978341,-5.493906e-01,3.392102,-1.566353,EXPECTED
727,735,8.54549570,735,13.98436529,-4.925356e-01,3.398744,-1.600259,EXPECTED
742,750,7.24579438,750,12.53124761,-5.478041e-01,3.406755,-1.551463,EXPECTED
757,765,7.15563604,765,12.99330261,-5.965337e-01,3.412290,-1.710777,EXPECTED
772,780,7.04990800,780,13.14542082,-6.230589e-01,3.414982,-1.784933,EXPECTED
787,792,6.52496628,795,12.62175255,-6.597859e-01,3.422778,-1.781239,EXPECTED
802,810,6.64448411,810,12.46331296,-6.290023e-01,3.429240,-1.696828,EXPECTED
817,825,7.66200530,825,13.24605329,-5.474259e-01,3.439653,-1.623434,EXPECTED
832,840,8.20414590,840,13.86407136,-5.246611e-01,3.450186,-1.640470,EXPECTED
847,855,7.47170017,855,12.84320834,-5.416926e-01,3.459199,-1.552818,EXPECTED
862,870,7.79339087,870,12.67233601,-4.861453e-01,3.467228,-1.407160,EXPECTED
877,885,7.91710221,885,12.52304476,-4.585453e-01,3.470750,-1.327074,EXPECTED
892,900,6.78664426,900,12.38275991,-6.013486e-01,3.479179,-1.608459,EXPECTED
907,915,6.91869875,915,12.49516809,-5.911143e-01,3.488943,-1.598326,EXPECTED
922,930,6.63119009,930,12.60814102,-6.425584e-01,3.500513,-1.707450,EXPECTED
937,945,7.55793189,945,13.78397860,-6.009094e-01,3.510742,-1.773428,EXPECTED
952,960,7.07321591,960,12.34133454,-5.566389e-01,3.524117,-1.494876,EXPECTED
967,975,7.58665247,975,12.98439147,-5.373575e-01,3.534047,-1.527353,EXPECTED
982,990,7.49719194,990,13.11865839,-5.595070e-01,3.538234,-1.588777,EXPECTED
997,1005,6.85377083,1005,12.42793208,-5.951475e-01,3.549164,-1.570556,EXPECTED
1012,1020,7.33980895,1020,12.78438656,-5.549118e-01,3.562579,-1.528269,EXPECTED
1027,1035,7.08454356,1035,12.64274226,-5.791679e-01,3.573901,-1.555219,EXPECTED
1042,1050,8.66474534,1050,13.72391846,-4.598777e-01,3.589457,-1.409454,EXPECTED
1057,1071,6.91378853,1065,12.39283123,-5.836004e-01,3.596550,-1.523416,EXPECTED
1072,1080,6.68552480,1080,12.28085523,-6.080969e-01,3.612671,-1.548807,EXPECTED
1087,1092,7.70861537,1095,12.37743341,-4.735363e-01,3.623747,-1.288395,EXPECTED
1102,1110,7.44190976,1110,12.47432856,-5.165453e-01,3.628541,-1.386899,EXPECTED
1117,1125,6.85042475,1125,12.26657126,-5.825671e-01,3.640760,-1.487642,EXPECTED
1132,1140,7.12745061,1140,12.68026016,-5.760929e-01,3.656211,-1.518733,EXPECTED
1147,1155,9.13559580,1155,14.63938296,-4.715370e-01,3.668755,-1.500178,EXPECTED
1162,1170,8.53176412,1170,12.90142504,-4.135416e-01,3.686419,-1.185340,EXPECTED
1177,1185,6.76905118,1185,12.34203810,-6.006502e-01,3.699291,-1.506501,EXPECTED
1192,1200,6.87012257,1200,12.24383747,-5.778408e-01,3.703589,-1.450948,EXPECTED
1207,1215,7.81198802,1215,12.24192467,-4.492070e-01,3.716637,-1.191921,EXPECTED
1222,1230,6.74932591,1230,12.42120625,-6.099626e-01,3.108885,-1.824410,EXPECTED
1237,1245,7.02276727,1245,12.32473154,-5.624506e-01,3.079310,-1.721803,EXPECTED
1252,1260,8.73658664,1260,13.66157609,-4.470677e-01,3.054968,-1.612125,EXPECTED
1267,1275,7.22437648,1275,12.70774258,-5.647505e-01,3.035339,-1.806509,EXPECTED
