alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0009765625,978180,-0.8306647,904890,-0.6488779
0.0009765625,735735,-0.8345143,820050,-0.6852747
0.0009765625,609105,-0.7263937,536445,-0.5911103
0.0009765625,336780,-0.88699,464100,-0.641539
0.0009765625,249630,-0.9593747,267540,-0.5879412
0.0009765625,236760,-1.175139,244443,-0.6886062
0.0009765625,222198,-1.001969,219870,-0.5022591
0.0009765625,215670,-1.1164,206115,-0.5285678
0.0009765625,202170,-1.072984,190683,-0.6389341
0.0009765625,180414,-1.042946,179820,-0.6201341
0.0009765625,165585,-1.130565,162765,-0.6591666
0.0009765625,148470,-1.057124,153390,-0.7190451
0.0009765625,143535,-1.056833,136437,-0.7754892
0.0009765625,130515,-1.159235,127599,-0.8587967
0.0009765625,114117,-1.105478,115830,-0.7136691
0.0009765625,103935,-1.254322,93960,-0.742824
0.0009765625,91890,-1.200263,86190,-0.8529739
0.0009765625,66516,-1.317155,77550,-0.8092256
0.0009765625,53874,-1.264418,54540,-0.849159
0.0009765625,45792,-1.225624,39195,-0.9541178
0.0009765625,34725,-1.415472,26715,-0.7463164
0.0009765625,14643,-1.161975,14727,-0.7485298
0.0009765625,14250,-1.835685,14334,-1.135699
0.0009765625,12804,-1.81467,12279,-1.098975
0.0009765625,11965,-1.798871,10983,-1.080698
0.0009765625,10363,-1.775107,9741,-1.06017
0.0009765625,9343,-1.755198,9006,-1.038219
0.0009765625,8185,-1.448436,7554,-0.7483581
0.0009765625,6613,-1.387282,6828,-0.701265
0.0009765625,5560,-1.330586,5232,-0.6319372
0.0009765625,4158,-1.470915,3879,-1.176635
0.0009765625,3120,-1.49111,2028,-0.5204348
0.0009765625,1488,-0.5330008,1668,-0.5181278
0.001953125,854700,-0.7752882,1007370,-0.6392456
0.001953125,693330,-0.8248757,810810,-0.7069971
0.001953125,636405,-0.8680674,542640,-0.6966189
0.001953125,414330,-0.7687608,464100,-0.453385
0.001953125,245280,-0.9479436,252525,-0.6015261
0.001953125,235800,-1.069863,234465,-0.6503871
0.001953125,227550,-0.9004584,219450,-0.6765075
0.001953125,215670,-1.037295,206115,-0.6001948
0.001953125,195435,-0.9919488,192045,-0.7380479
0.001953125,176799,-1.047876,185955,-0.67355
0.001953125,174645,-1.129583,166845,-0.7611189
0.001953125,158496,-1.097134,150150,-0.809303
0.001953125,144375,-1.009294,145740,-0.6329839
0.001953125,130518,-0.9252348,122265,-0.6478643
0.001953125,117945,-0.9832611,118965,-0.7087603
0.001953125,97680,-1.088371,102060,-0.7116005
0.001953125,88905,-1.060268,86355,-0.7198126
0.001953125,66465,-1.055574,77616,-0.763307
0.001953125,57795,-0.9781861,59010,-0.6483035
0.001953125,50085,-1.078928,41955,-0.8514967
0.001953125,29169,-1.287463,27783,-0.8725925
0.001953125,14954,-1.501249,15288,-0.8334981
0.001953125,14334,-1.459339,13701,-0.7448919
0.001953125,13115,-1.403822,11970,-0.9503794
0.001953125,11442,-2.01151,10875,-0.886849
0.001953125,10287,-1.28996,9450,-0.8252689
0.001953125,9330,-1.228476,9426,-0.8194021
0.001953125,8084,-1.872801,6987,-1.144184
0.001953125,6486,-1.820061,5859,-0.7015089
0.001953125,5349,-1.782291,5649,-0.7748231
0.001953125,4403,-1.736424,3462,-0.7013448
0.001953125,2802,-1.343101,2688,-0.6434007
0.001953125,1668,-1.188223,1020,-0.5181755
0.001953125,1062,-1.101249,1020,-0.5181755
0.00390625,951510,-0.5884618,960960,-0.4312449
0.00390625,749595,-0.5811999,765765,-0.4200129
0.00390625,516180,-0.710088,587895,-0.5561422
0.00390625,353430,-0.7984307,468930,-0.6165499
0.00390625,290850,-0.8344536,248325,-0.6923284
0.00390625,235620,-1.017492,239085,-0.6688227
0.00390625,227430,-0.8525599,219450,-0.658787
0.00390625,215355,-0.8934372,207900,-0.6106184
0.00390625,199920,-0.8985285,192045,-0.5631316
0.00390625,176715,-0.8272119,179445,-0.6432838
0.00390625,174450,-0.8770044,170415,-0.6961502
0.00390625,153795,-0.8935499,149310,-0.6082151
0.00390625,134589,-0.9436349,136860,-0.6197024
0.00390625,126135,-0.8888742,124950,-0.6434372
0.00390625,110040,-0.9308238,109200,-0.6410358
0.00390625,97140,-0.9467647,101745,-0.6218256
0.00390625,83160,-0.9714939,90090,-0.6842257
0.00390625,76755,-1.02671,71940,-0.6590185
0.00390625,53235,-0.864804,56595,-0.6439671
0.00390625,41496,-0.9379164,42315,-0.431001
0.00390625,26796,-0.9955786,33495,-0.72882
0.00390625,14913,-1.308968,19425,-0.736774
0.00390625,14130,-1.591738,13881,-1.080126
0.00390625,12786,-1.559874,12540,-1.036198
0.00390625,11637,-1.535054,10875,-1.212819
0.00390625,10065,-1.505708,9450,-1.171809
0.00390625,8370,-1.836368,8835,-1.15767
0.00390625,7860,-1.548768,7575,-0.829235
0.00390625,6816,-1.446523,5859,-0.6644023
0.00390625,5232,-1.28258,4800,-0.8336563
0.00390625,3837,-1.863358,4143,-0.8057068
0.00390625,3070,-1.803505,1998,-0.9306208
0.00390625,1668,-1.409483,1488,-0.6606914
0.00390625,1062,-1.28826,974,-1.190024
0.00390625,771,-1.506219,759,-1.096284
0.00390625,522,-1.208607,432,-0.5256536
0.0078125,843150,-0.3993658,960960,-0.2811978
0.0078125,660660,-0.4149853,705705,-0.2623424
0.0078125,521430,-0.5023886,600600,-0.3858995
0.0078125,460530,-0.5589885,431970,-0.385353
0.0078125,254100,-0.6777269,252525,-0.5620559
0.0078125,232155,-0.830237,239085,-0.6395991
0.0078125,217140,-0.7651971,219765,-0.5750898
0.0078125,212835,-0.8429843,207900,-0.6031225
0.0078125,195510,-0.8229636,192045,-0.6028577
0.0078125,180810,-0.8916132,185955,-0.6703909
0.0078125,166110,-0.946354,173145,-0.71704
0.0078125,160860,-0.9472015,150150,-0.6143195
0.0078125,143220,-0.9225598,137445,-0.6270229
0.0078125,131670,-0.8320216,128100,-0.6291769
0.0078125,118230,-0.8316334,109200,-0.6340084
0.0078125,102795,-0.8712579,92820,-0.6609446
0.0078125,86625,-0.8341259,90090,-0.5656253
0.0078125,68985,-0.8492125,71400,-0.5172522
0.0078125,60840,-0.745687,59340,-0.5897094
0.0078125,38445,-0.9075094,42735,-0.6417954
0.0078125,25725,-0.8861634,23925,-0.5504927
0.0078125,14913,-1.192687,21540,-0.630081
0.0078125,14325,-1.369267,13545,-0.8654332
0.0078125,13209,-1.143483,13008,-0.736319
0.0078125,11634,-1.516204,10920,-0.7973223
0.0078125,10074,-1.455999,9810,-1.028888
0.0078125,9330,-1.430584,9405,-0.8548021
0.0078125,7350,-1.616956,7545,-0.9297916
0.0078125,6501,-1.576265,6348,-0.8753278
0.0078125,5616,-1.533249,5460,-1.029978
0.0078125,4350,-1.868166,3345,-0.7987726
0.0078125,3064,-1.404479,2385,-0.8608689
0.0078125,1152,-1.865142,1875,-0.809555
0.0078125,1045,-1.755795,1026,-1.055562
0.0078125,792,-1.429995,882,-0.7274547
0.0078125,644,-1.523552,610,-1.284972
0.0078125,432,-1.221634,312,-1.104576
0.0078125,399,-1.216366,192,-0.533825
0.015625,863940,-0.2966584,870870,-0.1983218
0.015625,735735,-0.3159181,820050,-0.2107363
0.015625,510510,-0.3317425,600600,-0.2526096
0.015625,338520,-0.4164996,471240,-0.296694
0.015625,247170,-0.4937941,252525,-0.35782
0.015625,235620,-0.5782369,239085,-0.4151578
0.015625,220605,-0.4939773,225225,-0.3220292
0.015625,214305,-0.6173597,207900,-0.4041162
0.015625,199290,-0.5832955,196350,-0.4526318
0.015625,183540,-0.573738,177870,-0.4444654
0.015625,165165,-0.6233125,169260,-0.5077614
0.015625,157080,-0.6308644,150150,-0.5039877
0.015625,145320,-0.6728133,139230,-0.4975719
0.015625,129090,-0.7129591,120120,-0.5524853
0.015625,107640,-0.7184065,109725,-0.6009703
0.015625,97140,-0.7949997,105105,-0.5668563
0.015625,88665,-0.8024862,91770,-0.686631
0.015625,78435,-0.8625074,71085,-0.6057375
0.015625,61845,-0.7901433,56595,-0.5349255
0.015625,45045,-0.8469984,42315,-0.4353296
0.015625,30870,-0.771209,26565,-0.5251722
0.015625,14805,-0.8872828,20235,-0.6294444
0.015625,14103,-1.147056,13545,-0.6152758
0.015625,12270,-0.9732973,12390,-0.4403291
0.015625,11355,-1.143318,11760,-0.6748751
0.015625,10620,-1.11124,9810,-0.7664042
0.015625,8370,-1.134439,8730,-0.700736
0.015625,7290,-1.415147,7590,-0.6321285
0.015625,6060,-1.344688,6870,-0.6202904
0.015625,5256,-1.271132,5460,-0.7214191
0.015625,4155,-1.207971,3582,-0.8063551
0.015625,2550,-1.532527,2685,-0.8513392
0.015625,1146,-1.932822,1290,-0.6719021
0.015625,913,-1.902693,1026,-0.8228319
0.015625,851,-1.866077,870,-0.7787558
0.015625,718,-1.837109,570,-1.069288
0.015625,522,-1.763167,462,-0.8146788
0.015625,267,-1.507778,180,-1.14162
0.015625,267,-1.507778,102,-0.5456494
0.03125,855855,-0.2039384,881790,-0.1611831
0.03125,660660,-0.2087116,825825,-0.1625421
0.03125,548625,-0.2600757,596505,-0.1505769
0.03125,331485,-0.2956886,435435,-0.2045353
0.03125,248325,-0.3358591,252525,-0.2217179
0.03125,231420,-0.354479,239085,-0.2764138
0.03125,217140,-0.3723016,225225,-0.1836035
0.03125,209160,-0.3745959,207900,-0.2500419
0.03125,195195,-0.421231,196350,-0.2691815
0.03125,185535,-0.3843086,181545,-0.2930824
0.03125,162435,-0.4582338,174405,-0.3432384
0.03125,161070,-0.408254,157080,-0.3091576
0.03125,141570,-0.4849275,139230,-0.3345639
0.03125,128205,-0.4807654,131670,-0.344051
0.03125,107835,-0.4998429,118335,-0.404575
0.03125,97020,-0.5047131,94185,-0.3911352
0.03125,87990,-0.5707499,90090,-0.4179831
0.03125,64890,-0.6112403,70455,-0.4761244
0.03125,51975,-0.6976571,58905,-0.4978281
0.03125,38850,-0.8183366,42315,-0.593737
0.03125,35805,-0.6821928,23415,-0.5414503
0.03125,19110,-0.7504264,15015,-0.5505874
0.03125,13725,-0.9485191,13545,-0.5059524
0.03125,13125,-0.8259609,12180,-0.558933
0.03125,11025,-0.972764,10920,-0.6950325
0.03125,9765,-1.007244,10395,-0.6915936
0.03125,8295,-1.007159,8970,-0.6709885
0.03125,7260,-1.029856,8085,-0.6248549
0.03125,6636,-0.9646519,6195,-0.6222621
0.03125,5145,-1.147471,5610,-0.6442873
0.03125,4305,-1.20393,3615,-0.7799522
0.03125,1890,-1.196413,2730,-0.6670088
