alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0009765625,7042035,-0.4189477,9579570,-0.308758
0.0009765625,4785690,-0.5460753,6298215,-0.3604488
0.0009765625,4669245,-0.5884989,4735815,-0.4202809
0.0009765625,4500405,-0.6142802,4426695,-0.4609029
0.0009765625,4267305,-0.5752231,4369365,-0.4582741
0.0009765625,4114110,-0.6265345,4162620,-0.3994435
0.0009765625,3980340,-0.637376,4037880,-0.4541607
0.0009765625,3840375,-0.6190662,3728235,-0.5191289
0.0009765625,3534930,-0.6324539,3608220,-0.505554
0.0009765625,3490200,-0.6578804,3411705,-0.4911209
0.0009765625,3230535,-0.6608214,3183180,-0.5370499
0.0009765625,3058440,-0.6657041,2981790,-0.5215529
0.0009765625,2905980,-0.6653521,2792790,-0.47555
0.0009765625,2663325,-0.7159175,2656500,-0.5173036
0.0009765625,2465400,-0.762296,2582580,-0.5312619
0.0009765625,2291415,-0.7766211,2388750,-0.6166159
0.0009765625,2077530,-0.7786088,2208360,-0.6007745
0.0009765625,1977525,-0.7595644,1996995,-0.5941622
0.0009765625,1765005,-0.852067,1826055,-0.6861281
0.0009765625,1573095,-0.8448656,1601985,-0.6542598
0.0009765625,1519035,-0.8781577,1477875,-0.6705362
0.0009765625,1300530,-0.9243889,1322685,-0.7779646
0.0009765625,1021020,-0.8591838,1080450,-0.685165
0.0009765625,978180,-0.8306647,904890,-0.6488779
0.0009765625,735735,-0.8345143,654195,-0.6626742
0.0009765625,609105,-0.7263937,536445,-0.5911103
0.0009765625,289191,-0.9064253,414750,-0.7121283
0.0009765625,249630,-0.9593747,267540,-0.5879412
0.0009765625,236760,-1.175139,230265,-0.7347691
0.0009765625,215670,-1.1164,219870,-0.5022591
0.0009765625,202170,-1.072984,206115,-0.5285678
0.0009765625,197460,-0.9613077,190683,-0.6389341
0.0009765625,180414,-1.042946,179820,-0.6201341
0.0009765625,165585,-1.130565,162765,-0.6591666
0.0009765625,148470,-1.057124,153390,-0.7190451
0.0009765625,143535,-1.056833,136437,-0.7754892
0.0009765625,130515,-1.159235,127599,-0.8587967
0.0009765625,114117,-1.105478,115830,-0.7136691
0.0009765625,103935,-1.254322,93960,-0.742824
0.0009765625,87990,-1.192675,77550,-0.8092256
0.0009765625,66516,-1.317155,67200,-0.914344
0.0009765625,53874,-1.264418,54540,-0.849159
0.0009765625,34725,-1.415472,39195,-0.9541178
0.0009765625,33330,-1.112285,26715,-0.7463164
0.0009765625,14643,-1.161975,14727,-0.7485298
0.0009765625,14250,-1.835685,13161,-1.124606
0.0009765625,12804,-1.81467,12279,-1.098975
0.0009765625,11442,-1.796085,10983,-1.080698
0.0009765625,10363,-1.775107,9435,-1.060096
0.0009765625,8890,-1.736672,9006,-1.038219
0.0009765625,7332,-1.44527,6828,-0.701265
0.0009765625,6613,-1.387282,5655,-0.6322278
0.0009765625,5446,-1.32942,5232,-0.6319372
0.0009765625,3120,-1.49111,3039,-1.083212
0.0009765625,2142,-1.095036,1878,-0.5195235
0.0009765625,1488,-0.5330008,1668,-0.5181278
0.001953125,6636630,-0.2981183,9189180,-0.2001347
0.001953125,4781700,-0.4361454,6561555,-0.2585685
0.001953125,4757025,-0.3929934,4733820,-0.2860366
0.001953125,4519515,-0.4361552,4432890,-0.284008
0.001953125,4303530,-0.3970959,4309305,-0.3027769
0.001953125,4102560,-0.4031501,4162620,-0.2939346
0.001953125,3984750,-0.4471043,4037880,-0.2965612
0.001953125,3753750,-0.4543859,3851925,-0.3378727
0.001953125,3584280,-0.4475918,3672900,-0.3060295
0.001953125,3475395,-0.4950277,3382995,-0.3732352
0.001953125,3288285,-0.4603851,3183180,-0.3579101
0.001953125,3034185,-0.4910864,3088470,-0.4073229
0.001953125,2942940,-0.4724471,2807805,-0.3434098
0.001953125,2763915,-0.4840794,2656500,-0.3608779
0.001953125,2462460,-0.4865383,2582580,-0.3470028
0.001953125,2296140,-0.5695359,2257710,-0.4000493
0.001953125,2072070,-0.5770744,2159430,-0.4365282
0.001953125,1893360,-0.5601844,1996995,-0.4479906
0.001953125,1767045,-0.6311743,1775865,-0.4922749
0.001953125,1561560,-0.6266898,1652805,-0.4632274
0.001953125,1517880,-0.6426319,1395870,-0.4976573
0.001953125,1303575,-0.6969179,1340955,-0.5038244
0.001953125,1057485,-0.7930005,1119195,-0.5927796
0.001953125,854700,-0.7752882,960960,-0.6925239
0.001953125,636405,-0.8680674,724185,-0.7400466
0.001953125,615825,-0.8604713,464100,-0.453385
0.001953125,414330,-0.7687608,318780,-0.5657236
0.001953125,245280,-0.9479436,252525,-0.6015261
0.001953125,235800,-1.069863,234465,-0.6503871
0.001953125,215670,-1.037295,219450,-0.6765075
0.001953125,203670,-0.9397308,206115,-0.6001948
0.001953125,195435,-0.9919488,192045,-0.7380479
0.001953125,174645,-1.129583,185955,-0.67355
0.001953125,167832,-1.121842,166845,-0.7611189
0.001953125,158496,-1.097134,145740,-0.6329839
0.001953125,144375,-1.009294,136335,-0.7128138
0.001953125,117945,-0.9832611,122265,-0.6478643
0.001953125,110670,-0.9501555,108030,-0.7441253
0.001953125,97680,-1.088371,102060,-0.7116005
0.001953125,88905,-1.060268,86355,-0.7198126
0.001953125,66465,-1.055574,63735,-0.7695774
0.001953125,50085,-1.078928,59010,-0.6483035
0.001953125,35135,-1.13571,41955,-0.8514967
0.001953125,29169,-1.287463,27783,-0.8725925
0.001953125,14954,-1.501249,15288,-0.8334981
0.001953125,14069,-1.458156,13701,-0.7448919
0.001953125,13008,-1.402818,11946,-0.9421009
0.001953125,11442,-2.01151,10875,-0.886849
0.001953125,10287,-1.28996,9426,-0.8194021
0.001953125,8084,-1.872801,8102,-1.180327
0.001953125,7873,-1.871568,6987,-1.144184
0.001953125,6486,-1.820061,5859,-0.7015089
0.001953125,5349,-1.782291,4449,-1.046212
0.001953125,4095,-1.611833,3462,-0.7013448
0.001953125,2802,-1.343101,2688,-0.6434007
0.001953125,1668,-1.188223,1020,-0.5181755
0.001953125,1062,-1.101249,1020,-0.5181755
0.00390625,6726720,-0.2361544,9189180,-0.1777253
0.00390625,4781700,-0.2985176,6276270,-0.1948119
0.00390625,4639635,-0.3006643,4633860,-0.2034843
0.00390625,4519515,-0.3094319,4432890,-0.1657866
0.00390625,4279275,-0.3109606,4384380,-0.2096354
0.00390625,4107285,-0.3232381,4084080,-0.2107608
0.00390625,3968055,-0.3206958,4037880,-0.2092214
0.00390625,3769920,-0.333635,3708705,-0.2231244
0.00390625,3513510,-0.3441621,3612840,-0.2319679
0.00390625,3478020,-0.3834609,3375645,-0.2457441
0.00390625,3301935,-0.3308246,3198195,-0.160101
0.00390625,3060330,-0.365821,3078075,-0.2201012
0.00390625,2852850,-0.3400028,2807805,-0.1747723
0.00390625,2685375,-0.3375205,2747745,-0.2797722
0.00390625,2549820,-0.3674526,2582580,-0.218123
0.00390625,2295930,-0.4103376,2260335,-0.2727569
0.00390625,2174340,-0.3902443,2151765,-0.3197416
0.00390625,1966965,-0.4029127,1996995,-0.3116228
0.00390625,1769460,-0.4572369,1771770,-0.3171102
0.00390625,1586025,-0.4763728,1629705,-0.3050859
0.00390625,1378020,-0.4411412,1415505,-0.3510003
0.00390625,1241625,-0.5117703,1186185,-0.3966771
0.00390625,1056510,-0.5520616,1160145,-0.3908304
0.00390625,951510,-0.5884618,960960,-0.4312449
0.00390625,632940,-0.6074328,765765,-0.4200129
0.00390625,516180,-0.710088,587895,-0.5561422
0.00390625,290850,-0.8344536,303765,-0.6339348
0.00390625,254205,-0.8158711,248325,-0.6923284
0.00390625,235620,-1.017492,239085,-0.6688227
