alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0009765625,111291180,-0.2723712,109504395,-0.2317471
0.0009765625,106578780,-0.2683215,107267160,-0.2149199
0.0009765625,104699595,-0.2680652,102417315,-0.2149092
0.0009765625,101591490,-0.2687013,99549450,-0.2032332
0.0009765625,98783685,-0.2623908,96623835,-0.1894793
0.0009765625,93168075,-0.2457025,95465370,-0.2069384
0.0009765625,93108015,-0.2702449,90135045,-0.20378
0.0009765625,89339250,-0.2561364,89099010,-0.1960749
0.0009765625,86551080,-0.2509418,84444360,-0.2013182
0.0009765625,82192110,-0.2618656,81020940,-0.2012495
0.0009765625,79023945,-0.2372782,80450370,-0.1890991
0.0009765625,77342265,-0.2599352,75810735,-0.1934006
0.0009765625,74023950,-0.2664706,72237165,-0.1898147
0.0009765625,70750680,-0.2637989,69414345,-0.1947196
0.0009765625,68153085,-0.2376238,66111045,-0.1912209
0.0009765625,63047985,-0.2639167,63558495,-0.1966705
0.0009765625,59822070,-0.2513818,60765705,-0.1839692
0.0009765625,59053995,-0.2458175,57342285,-0.202181
0.0009765625,55345290,-0.2388314,53633580,-0.1918766
0.0009765625,51816765,-0.2471289,50780730,-0.1830544
0.0009765625,48125385,-0.2544848,48498450,-0.1852803
0.0009765625,44414370,-0.2440584,45360315,-0.1976281
0.0009765625,43648605,-0.2938517,41096055,-0.189695
0.0009765625,40060020,-0.2665652,38228190,-0.1876648
0.0009765625,35510475,-0.2533476,36951915,-0.2119125
0.0009765625,33948915,-0.2579326,32927895,-0.1944523
0.0009765625,31614765,-0.2695158,30630600,-0.182306
0.0009765625,28423395,-0.2757754,26531505,-0.2163078
0.0009765625,24151050,-0.2815732,25525500,-0.2159482
0.0009765625,22252230,-0.2930367,21264705,-0.2197467
0.0009765625,16786770,-0.2949982,19399380,-0.2121119
0.0009765625,15248310,-0.3170643,14804790,-0.2340836
0.0009765625,12223365,-0.3403543,10705695,-0.2753703
0.0009765625,8128890,-0.4016707,9579570,-0.308758
0.0009765625,4835820,-0.5117508,6298215,-0.3604488
0.0009765625,4669245,-0.5884989,4803435,-0.4162105
0.0009765625,4500405,-0.6142802,4633860,-0.4336137
0.0009765625,4279275,-0.5692215,4369365,-0.4582741
0.0009765625,4114110,-0.6265345,4162620,-0.3994435
0.0009765625,3980340,-0.637376,4037880,-0.4541607
0.0009765625,3840375,-0.6190662,3906210,-0.5272242
0.0009765625,3641820,-0.6130631,3608220,-0.505554
0.0009765625,3490200,-0.6578804,3411705,-0.4911209
0.0009765625,3230535,-0.6608214,3367455,-0.5343685
0.0009765625,3058440,-0.6657041,3183180,-0.5370499
0.0009765625,2905980,-0.6653521,2981790,-0.5215529
0.0009765625,2663325,-0.7159175,2792790,-0.47555
0.0009765625,2550765,-0.6892739,2656500,-0.5173036
0.0009765625,2465400,-0.762296,2388750,-0.6166159
0.0009765625,2291415,-0.7766211,2208360,-0.6007745
0.0009765625,2077530,-0.7786088,1996995,-0.5941622
0.0009765625,1765005,-0.852067,1909215,-0.6346077
0.0009765625,1685670,-0.8268322,1601985,-0.6542598
0.0009765625,1519035,-0.8781577,1477875,-0.6705362
0.0009765625,1300530,-0.9243889,1322685,-0.7779646
0.0009765625,1213485,-0.918306,1080450,-0.685165
0.0009765625,1021020,-0.8591838,904890,-0.6488779
0.0009765625,735735,-0.8345143,820050,-0.6852747
0.0009765625,609105,-0.7263937,536445,-0.5911103
0.0009765625,336780,-0.88699,464100,-0.641539
0.0009765625,249630,-0.9593747,267540,-0.5879412
0.0009765625,236760,-1.175139,244443,-0.6886062
0.0009765625,222198,-1.001969,219870,-0.5022591
0.0009765625,215670,-1.1164,206115,-0.5285678
0.0009765625,202170,-1.072984,190683,-0.6389341
0.0009765625,180414,-1.042946,179820,-0.6201341
0.0009765625,165585,-1.130565,176625,-0.8000704
0.0009765625,157245,-0.9675421,162765,-0.6591666
0.0009765625,148470,-1.057124,136437,-0.7754892
0.0009765625,130515,-1.159235,127599,-0.8587967
0.0009765625,114117,-1.105478,115830,-0.7136691
0.0009765625,103935,-1.254322,93960,-0.742824
0.0009765625,91890,-1.200263,86190,-0.8529739
0.0009765625,66516,-1.317155,77550,-0.8092256
0.0009765625,53874,-1.264418,54540,-0.849159
0.0009765625,45792,-1.225624,39195,-0.9541178
0.0009765625,34725,-1.415472,26715,-0.7463164
0.0009765625,14643,-1.161975,14727,-0.7485298
0.0009765625,14250,-1.835685,14550,-0.7525812
0.0009765625,12804,-1.81467,12279,-1.098975
0.0009765625,11965,-1.798871,10983,-1.080698
0.0009765625,10363,-1.775107,9741,-1.06017
0.0009765625,9343,-1.755198,9006,-1.038219
0.0009765625,8185,-1.448436,7554,-0.7483581
0.0009765625,7033,-1.392497,6828,-0.701265
0.0009765625,5560,-1.330586,5232,-0.6319372
0.0009765625,4158,-1.470915,3879,-1.176635
0.0009765625,3120,-1.49111,2028,-0.5204348
0.0009765625,1488,-0.5330008,1668,-0.5181278
0.001953125,111291180,-0.1901078,111035925,-0.1546593
0.001953125,107717610,-0.1958302,108228120,-0.1329607
0.001953125,103633530,-0.1898104,104144040,-0.1478237
0.001953125,101591490,-0.200964,100825725,-0.1450941
0.001953125,98783685,-0.2014152,96623835,-0.1705063
0.001953125,93880710,-0.20189,93933840,-0.1625382
0.001953125,92912820,-0.214694,92747655,-0.1690365
0.001953125,89908665,-0.2127259,89099010,-0.1636672
0.001953125,84489405,-0.2245882,86020935,-0.17756
0.001953125,81876795,-0.2124655,80990910,-0.1680564
0.001953125,78738660,-0.227509,80450370,-0.1839748
0.001953125,75600525,-0.2318515,77597520,-0.1860422
0.001953125,71846775,-0.2418945,72177105,-0.1975595
0.001953125,70750680,-0.2426239,69414345,-0.1959028
0.001953125,66621555,-0.24584,66111045,-0.209211
0.001953125,63047985,-0.2603659,64444380,-0.2228794
0.001953125,59729670,-0.2696094,60750690,-0.2246187
0.001953125,58963905,-0.2893741,57252195,-0.2085312
0.001953125,55060005,-0.2576938,53993940,-0.206261
0.001953125,52207155,-0.2421634,50285235,-0.2037431
