START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
6,6,2.140268,6,1.363333,4.509986e-01,3.424765,2.268579e-01,EXPECTED
(11#)2,4651,2.085780,4723,0.040337,3.945629e+00,1.495167,1.368036e+00,EXPECTED
(7#)45/2,4801,1.856187,4817,0.088014,3.048784e+00,1.473404,1.200060e+00,EXPECTED
(7#)23,4909,2.178086,4933,0.109236,2.992691e+00,1.601006,1.292219e+00,EXPECTED
(7#)47/2,4987,2.151973,5039,0.081766,3.270279e+00,1.578307,1.311663e+00,EXPECTED
(7#)24,5086,2.176695,5119,0.050045,3.772640e+00,1.561355,1.362054e+00,EXPECTED
(7#)49/2,5242,2.126897,5237,0.018916,4.722411e+00,1.538876,1.369819e+00,EXPECTED
(7#)61/2,6421,2.298798,6491,0.008144,5.642860e+00,1.351988,1.694286e+00,EXPECTED
(7#)31,6568,2.399779,6607,0.044444,3.988902e+00,1.350753,1.743720e+00,EXPECTED
(7#)63/2,6719,2.265862,6719,0.086768,3.262473e+00,1.336180,1.630839e+00,EXPECTED
(7#)32,6791,2.430712,6823,0.122501,2.987820e+00,1.324796,1.742314e+00,EXPECTED
(7#)65/2,6863,2.365471,6917,0.154477,2.728687e+00,1.312863,1.684101e+00,EXPECTED
(11#)3,7024,2.323062,7027,0.196874,2.468077e+00,1.300928,1.634363e+00,EXPECTED
(7#)67/2,7108,2.390305,7129,0.222047,2.376287e+00,1.289598,1.681344e+00,EXPECTED
(7#)34,7219,2.055910,7243,0.253014,2.095029e+00,1.278930,1.409691e+00,EXPECTED
(7#)69/2,7246,2.136908,7349,0.286208,2.010396e+00,1.267486,1.460134e+00,EXPECTED
(7#)35,7351,2.199762,7451,0.315669,1.941410e+00,1.257335,1.498481e+00,EXPECTED
(7#)71/2,7522,2.372402,7559,0.347319,1.921415e+00,1.246438,1.624696e+00,EXPECTED
(7#)36,7561,2.321013,7649,0.379507,1.810886e+00,1.236156,1.570600e+00,EXPECTED
(7#)73/2,7727,2.199214,7759,0.412275,1.674165e+00,1.224850,1.458904e+00,EXPECTED
(7#)37,7846,2.336977,7873,0.437567,1.675384e+00,1.215327,1.562880e+00,EXPECTED
(7#)75/2,7951,2.232082,7963,0.463644,1.571573e+00,1.206339,1.465954e+00,EXPECTED
(7#)38,8062,2.328303,8081,0.486656,1.565337e+00,1.198415,1.536736e+00,EXPECTED
(11#)7/2,8116,2.236375,8179,0.514136,1.470124e+00,1.188934,1.448557e+00,EXPECTED
(7#)39,8224,2.292547,8192,0.544736,1.437117e+00,1.179140,1.482276e+00,EXPECTED
(7#)79/2,8311,2.234912,8389,0.567267,1.371127e+00,1.170618,1.424585e+00,EXPECTED
(7#)40,8429,2.249292,8501,0.598476,1.323984e+00,1.162054,1.420602e+00,EXPECTED
(7#)81/2,8599,2.329117,8609,0.619333,1.324601e+00,1.153393,1.482395e+00,EXPECTED
(7#)41,8614,2.287560,8713,0.635954,1.280115e+00,1.146935,1.440017e+00,EXPECTED
(7#)83/2,8777,2.179478,8819,0.662294,1.191131e+00,1.137853,1.333374e+00,EXPECTED
(7#)42,8839,2.279660,8923,0.685039,1.202306e+00,1.130711,1.410282e+00,EXPECTED
(7#)85/2,9014,2.281605,9029,0.704841,1.174662e+00,1.123180,1.403839e+00,EXPECTED
(7#)43,9091,2.412999,9133,0.729595,1.196136e+00,1.114644,1.510262e+00,EXPECTED
(7#)87/2,9173,2.323530,9239,0.749796,1.131042e+00,1.107677,1.420752e+00,EXPECTED
(11#)4,9283,2.301998,9343,0.776668,1.086520e+00,1.100407,1.386151e+00,EXPECTED
(7#)89/2,9349,2.396602,9439,0.789086,1.110932e+00,1.094127,1.469222e+00,EXPECTED
(7#)45,9511,2.294051,9551,0.813190,1.037110e+00,1.086467,1.363006e+00,EXPECTED
(7#)91/2,9649,2.163663,9649,0.828837,9.595344e-01,1.080423,1.235466e+00,EXPECTED
(7#)46,9748,2.284701,9749,0.847235,9.920123e-01,1.074077,1.338327e+00,EXPECTED
(7#)93/2,9817,2.375649,9859,0.868273,1.006520e+00,1.067449,1.412129e+00,EXPECTED
(7#)47,9941,2.284239,9973,0.888319,9.444573e-01,1.059901,1.317029e+00,EXPECTED
(7#)95/2,10078,2.360845,10079,0.903977,9.599710e-01,1.054506,1.381564e+00,EXPECTED
(7#)48,10174,2.343381,10181,0.921073,9.338107e-01,1.048609,1.356376e+00,EXPECTED
(7#)97/2,10273,2.292671,10289,0.939528,8.920952e-01,1.042237,1.298306e+00,EXPECTED
(7#)49,10369,2.243034,10391,0.959294,8.493871e-01,1.035420,1.239825e+00,EXPECTED
(11#)9/2,10462,2.194423,10499,0.973878,8.123884e-01,1.030395,1.184541e+00,EXPECTED
(7#)50,10501,2.449522,10601,0.992511,9.034101e-01,1.024552,1.422096e+00,EXPECTED
(7#)101/2,10687,2.319381,10709,1.008154,8.331794e-01,1.019150,1.286589e+00,EXPECTED
(7#)51,10786,2.430362,10799,1.022422,8.658659e-01,1.013646,1.388986e+00,EXPECTED
(7#)103/2,10883,2.318296,10909,1.043486,7.982654e-01,1.008088,1.264582e+00,EXPECTED
(7#)52,11023,2.452351,11003,1.056553,8.420354e-01,1.002440,1.392401e+00,EXPECTED
(7#)105/2,11054,2.258518,11119,1.070080,7.469754e-01,0.997208,1.191765e+00,EXPECTED
(7#)53,11197,2.391314,11213,1.090210,7.854727e-01,0.991924,1.311697e+00,EXPECTED
(7#)107/2,11272,2.131467,11329,1.101489,6.601476e-01,0.986375,1.044205e+00,EXPECTED
(7#)54,11353,2.334737,11443,1.114051,7.398963e-01,0.982048,1.243000e+00,EXPECTED
(7#)109/2,11461,2.347919,11549,1.130516,7.308552e-01,0.976370,1.246866e+00,EXPECTED
(11#)5,11593,2.296655,11633,1.142657,6.980975e-01,0.972178,1.187023e+00,EXPECTED
(7#)111/2,11749,2.392249,11743,1.157309,7.261364e-01,0.967130,1.276912e+00,EXPECTED
(7#)56,11839,2.348206,11863,1.173009,6.940794e-01,0.961716,1.221979e+00,EXPECTED
(7#)113/2,11932,2.392674,11969,1.185639,7.021297e-01,0.957877,1.260115e+00,EXPECTED
(7#)57,11971,2.386736,12073,1.199817,6.877577e-01,0.952467,1.246152e+00,EXPECTED
(7#)115/2,12101,2.395745,12163,1.211081,6.821809e-01,0.948588,1.248871e+00,EXPECTED
(7#)58,12281,2.223656,12281,1.223412,5.975090e-01,0.944336,1.059204e+00,EXPECTED
(7#)117/2,12326,2.217079,12379,1.236764,5.836923e-01,0.939728,1.043190e+00,EXPECTED
(7#)59,12422,2.346659,12491,1.248661,6.309208e-01,0.701823,1.564494e+00,EXPECTED
(7#)119/2,12574,2.295932,12589,1.259863,6.001359e-01,0.931271,1.112532e+00,EXPECTED
(7#)60,12671,2.225896,12703,1.258701,5.700793e-01,0.695457,1.390733e+00,EXPECTED
(11#)11/2,12757,2.354186,12809,1.263884,6.220055e-01,0.692301,1.574896e+00,EXPECTED
(7#)61,12878,2.336543,12911,1.268889,6.105308e-01,0.688981,1.549613e+00,EXPECTED
(7#)123/2,12982,2.377047,13009,1.273237,6.242965e-01,0.686215,1.608548e+00,EXPECTED
(7#)62,13049,2.340065,13121,1.278413,6.045592e-01,0.682920,1.554577e+00,EXPECTED
(7#)125/2,13142,2.381559,13229,1.282536,6.189159e-01,0.680286,1.615531e+00,EXPECTED
