START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
2e3,2029,1.715762,2999,0.493853,1.245375e+00,0.600786,2.033851e+00,EXPECTED
3e3,3076,1.845344,3989,0.714886,9.482979e-01,0.503105,2.246962e+00,EXPECTED
4e3,4801,1.856187,4999,0.816610,8.211180e-01,0.449420,2.313153e+00,EXPECTED
5e3,5416,1.965120,5987,0.864051,8.216768e-01,0.415557,2.649622e+00,EXPECTED
6e3,6353,2.124621,6997,0.880174,8.812291e-01,0.392499,3.170574e+00,EXPECTED
7e3,7219,2.055910,7993,0.866213,8.643430e-01,0.376216,3.162271e+00,EXPECTED
8e3,8777,2.179478,8999,0.842707,9.502213e-01,0.364097,3.671469e+00,EXPECTED
9e3,9649,2.163663,9973,0.812490,9.794543e-01,0.355193,3.804053e+00,EXPECTED
1e4,11272,2.131467,19997,0.774937,1.011784e+00,0.348400,3.893599e+00,EXPECTED
2e4,20816,2.279925,29989,1.388353,4.960244e-01,0.338363,2.634957e+00,EXPECTED
3e4,35792,2.297694,39989,1.676219,3.153653e-01,0.273931,2.268728e+00,EXPECTED
4e4,40597,2.307754,49999,1.833913,2.298228e-01,0.225792,2.098573e+00,EXPECTED
5e4,51826,2.346624,59999,1.934984,1.928786e-01,0.194928,2.111754e+00,EXPECTED
6e4,67904,2.413565,69997,2.005641,1.851412e-01,0.173322,2.353562e+00,EXPECTED
7e4,71633,2.358847,79999,2.058139,1.363708e-01,0.157233,1.912499e+00,EXPECTED
8e4,89459,2.383150,89989,2.098932,1.269945e-01,0.144694,1.964269e+00,EXPECTED
9e4,92357,2.434532,99991,2.131392,1.329793e-01,0.134680,2.250817e+00,EXPECTED
1e5,116728,2.402456,199999,2.158012,1.073041e-01,0.126432,1.933403e+00,EXPECTED
2e5,204928,2.464243,299993,2.284565,7.570903e-02,0.086101,2.086828e+00,EXPECTED
3e5,366794,2.499164,399989,2.327157,7.130893e-02,0.071005,2.422463e+00,EXPECTED
4e5,463549,2.513127,499979,2.345692,6.894734e-02,0.063080,2.654328e+00,EXPECTED
5e5,548461,2.531963,599999,2.353654,7.302588e-02,0.058265,3.060311e+00,EXPECTED
6e5,686398,2.527108,699967,2.354534,7.073273e-02,0.055104,3.131787e+00,EXPECTED
7e5,770558,2.532269,799999,2.350763,7.437578e-02,0.052937,3.428717e+00,EXPECTED
8e5,804191,2.552045,899981,2.345214,8.451834e-02,0.051419,4.022463e+00,EXPECTED
9e5,915961,2.547074,999983,2.338278,8.553049e-02,0.050351,4.146809e+00,EXPECTED
