START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
4,5,2.590290,4,0.000000,,6.116053,4.235231e-01,EXPECTED
13,14,1.989892,13,0.000000,,6.968500,2.855553e-01,EXPECTED
16,16,1.921812,16,0.000000,,7.662846,2.507961e-01,EXPECTED
22,22,1.737190,23,0.000000,,8.359408,2.078126e-01,EXPECTED
25,26,1.633107,26,0.000000,,6.575393,2.483664e-01,EXPECTED
28,28,1.586227,29,0.000000,,6.594707,2.405303e-01,EXPECTED
31,31,1.572302,32,0.000000,,6.242923,2.518535e-01,EXPECTED
34,34,1.462967,34,0.000000,,6.144472,2.380948e-01,EXPECTED
37,37,1.448748,37,0.000000,,6.144397,2.357836e-01,EXPECTED
40,40,1.360783,41,0.000000,,5.959419,2.283416e-01,EXPECTED
46,46,1.274652,47,0.000000,,5.719385,2.228652e-01,EXPECTED
49,49,2.524378,49,0.000000,,5.647711,4.469737e-01,EXPECTED
52,53,1.212555,53,0.000000,,5.462131,2.219930e-01,EXPECTED
55,56,3.472169,56,0.000000,,5.347359,6.493241e-01,EXPECTED
58,59,1.146642,59,0.000000,,5.338351,2.147933e-01,EXPECTED
61,61,1.126619,61,0.000000,,5.192977,2.169505e-01,EXPECTED
64,64,1.081019,64,0.000000,,5.145668,2.100833e-01,EXPECTED
67,68,2.094617,67,0.000000,,5.136903,4.077587e-01,EXPECTED
70,71,3.114933,71,0.000000,,5.048043,6.170575e-01,EXPECTED
73,74,3.004050,73,0.000000,,4.935021,6.087208e-01,EXPECTED
76,76,1.974237,76,0.000000,,4.897408,4.031188e-01,EXPECTED
79,79,0.979081,79,0.000000,,4.889579,2.002383e-01,EXPECTED
82,82,1.894554,83,0.000000,,4.792191,3.953419e-01,EXPECTED
85,86,2.768541,86,0.000000,,4.727766,5.855918e-01,EXPECTED
88,89,1.831623,89,0.000000,,4.720841,3.879866e-01,EXPECTED
91,91,1.808698,92,0.000000,,4.638627,3.899210e-01,EXPECTED
94,94,1.756726,94,0.000000,,4.610728,3.810084e-01,EXPECTED
97,97,0.871999,97,0.000000,,4.604504,1.893796e-01,EXPECTED
100,100,2.544911,101,0.000000,,4.551517,5.591347e-01,EXPECTED
103,104,2.488888,103,0.000000,,4.483088,5.551727e-01,EXPECTED
106,107,1.647949,107,0.000000,,4.477676,3.680367e-01,EXPECTED
109,109,2.445416,109,0.000000,,4.454440,5.489839e-01,EXPECTED
112,113,1.596300,113,0.000000,,4.293759,3.717721e-01,EXPECTED
127,139,2.117307,128,0.000000,,4.186266,5.057746e-01,EXPECTED
142,146,1.360895,151,0.000000,,4.082804,3.333236e-01,EXPECTED
157,157,1.311058,167,0.000000,,4.043182,3.242639e-01,EXPECTED
172,181,1.801625,179,0.000000,,3.940170,4.572455e-01,EXPECTED
187,199,1.132084,199,0.000000,,3.859781,2.933027e-01,EXPECTED
202,214,1.614600,211,0.000000,,3.785416,4.265317e-01,EXPECTED
217,223,1.053604,227,0.000000,,3.720591,2.831819e-01,EXPECTED
232,241,1.504150,239,0.000000,,3.677330,4.090332e-01,EXPECTED
247,251,1.953960,256,0.000000,,3.628660,5.384798e-01,EXPECTED
262,271,1.859777,271,0.000000,,3.613915,5.146156e-01,EXPECTED
277,283,1.808288,283,0.000000,,3.586808,5.041497e-01,EXPECTED
292,302,1.727628,293,0.000000,,3.542686,4.876605e-01,EXPECTED
307,313,1.693274,311,0.000000,,3.522527,4.806987e-01,EXPECTED
322,334,2.022117,331,0.000000,,3.494147,5.787155e-01,EXPECTED
337,337,1.613017,347,0.000000,,3.471171,4.646896e-01,EXPECTED
352,362,1.917761,359,0.000000,,3.454941,5.550778e-01,EXPECTED
367,379,1.492247,379,0.000000,,3.448547,4.327176e-01,EXPECTED
382,391,1.826947,383,0.000000,,3.429995,5.326384e-01,EXPECTED
397,404,2.139623,409,0.000000,,3.417958,6.259945e-01,EXPECTED
412,412,2.111809,419,0.000000,,3.399999,6.211205e-01,EXPECTED
427,433,1.364958,439,0.000000,,3.391967,4.024090e-01,EXPECTED
