alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0078125,1014127,3.186659,908318,8.602546
0.015625,942836,1.381875,997153,1.442891
0.015625,803039,1.278533,686087,1.467208
0.015625,628151,1.434431,488596,1.722087
0.015625,456656,1.796711,342527,3.856397
0.03125,1010047,1.322786,926027,1.591932
0.03125,670987,1.223281,840302,1.414897
0.03125,488596,1.022075,628357,1.1931
0.03125,385291,1.015981,329201,1.174525
0.03125,288536,1.037302,247636,1.360845
0.03125,237056,1.251796,233944,1.381825
0.03125,220852,1.31156,225941,1.445354
0.03125,213607,1.33247,204382,1.520126
0.03125,194846,1.396191,196541,1.529728
0.03125,188714,1.469447,177742,1.764776
0.03125,171889,1.637514,162293,1.847898
0.03125,160612,1.780047,148292,2.108323
0.03125,146522,2.112211,135637,2.552847
0.03125,133642,2.719878,120391,4.188143
0.03125,119338,4.582908,118609,5.440272
0.0625,998708,0.4228356,849287,0.5459244
0.0625,818813,0.5211385,683821,0.7168464
0.0625,646774,0.722394,486644,1.109921
0.0625,310889,0.9201318,460673,1.201067
0.0625,266374,0.8158568,249814,0.9498592
0.0625,235834,0.8454881,244759,0.9387353
0.0625,229594,0.8567603,230512,0.931225
0.0625,215368,0.8478161,213391,0.9184155
0.0625,190436,0.8583927,200489,0.9329616
0.0625,188714,0.8547876,183761,0.9388799
0.0625,167023,0.793783,162607,0.9193594
0.0625,148997,0.7618264,147947,0.9693641
0.0625,138077,0.7831841,145228,1.006466
0.0625,122618,0.9507545,121843,1.029719
0.0625,119512,0.931778,106889,1.072669
0.0625,103784,0.9530247,93662,1.17805
0.0625,86347,1.092065,80516,1.281378
0.0625,77783,1.267184,67612,1.522486
0.0625,63904,1.513538,51644,2.41148
0.0625,49936,2.549686,44623,5.077594
0.125,1014437,0.1845131,843694,0.2333065
0.125,788318,0.2343837,671752,0.2880931
0.125,601642,0.2938602,485176,0.3921
0.125,476416,0.4029399,311461,0.6895145
0.125,287932,0.7271022,245083,0.9056759
0.125,241919,0.913619,234334,0.9834808
0.125,218558,0.9290001,228097,0.9921479
0.125,206966,0.8968475,215944,0.9528153
0.125,192352,0.878083,199856,0.927782
0.125,180053,0.7985521,187882,0.8762158
0.125,163412,0.7619667,167252,0.8348155
0.125,148997,0.7297032,154183,0.8078775
0.125,144842,0.7328202,140423,0.8013424
0.125,127189,0.6940228,129046,0.7753001
0.125,109981,0.6495105,118576,0.762317
0.125,97568,0.6316845,106189,0.7426273
0.125,92381,0.6601708,83396,0.7557023
0.125,77269,0.6683364,66592,0.7859757
0.125,63202,0.6705666,51416,0.8698707
0.125,49697,0.7844592,37304,0.9960987
0.125,36209,0.9748109,23488,1.523648
0.125,22226,1.740246,16301,7.260545
0.25,1014437,0.1008851,873671,0.1215469
0.25,831373,0.1149742,668197,0.1413227
0.25,643012,0.1324131,484951,0.1828797
0.25,479209,0.1930944,304489,0.2764976
0.25,289222,0.2892674,247201,0.3584351
0.25,241772,0.340223,234334,0.3900272
0.25,228097,0.3620679,224611,0.4010533
0.25,207574,0.3957953,205438,0.4287861
0.25,201904,0.3641824,193441,0.4653501
0.25,189094,0.4190702,176216,0.4960751
0.25,168227,0.4911077,162709,0.5518031
0.25,157286,0.5201498,148279,0.597599
0.25,142099,0.599898,135094,0.6913302
0.25,133711,0.6658076,122116,0.7725841
0.25,108193,0.7127588,113882,0.8177896
0.25,93809,0.6967181,104056,0.7732909
0.25,78607,0.6347292,90158,0.7125417
0.25,66854,0.6017151,78322,0.6514064
0.25,58543,0.5243748,59027,0.6069524
0.25,40597,0.561866,49529,0.6042369
0.25,35792,0.5445228,23344,0.6513266
0.25,21089,0.6524234,14611,0.9857383
0.25,13729,0.8151649,14029,1.031148
0.25,12379,0.9648296,12073,1.148811
0.25,11959,1.113108,11314,1.244966
0.25,10124,1.171165,9748,1.371142
0.25,9419,1.353951,8233,1.750156
0.25,8137,1.720291,6997,2.27995
0.25,6913,2.341263,6046,4.566413
0.5,957844,0.05965543,850253,0.07116563
0.5,770558,0.06346883,674719,0.08086236
0.5,656629,0.07615913,488339,0.09672677
0.5,463549,0.09286769,303904,0.135671
0.5,285424,0.1392809,246518,0.182168
0.5,239857,0.1615246,237883,0.1902549
0.5,217697,0.1706654,219311,0.1954858
0.5,204928,0.1742694,215854,0.2050192
0.5,199021,0.1920456,189817,0.2114674
0.5,189094,0.2083995,177841,0.2265612
0.5,174214,0.2039943,163297,0.2424974
0.5,161659,0.2343302,148696,0.2707505
0.5,145144,0.2600256,134087,0.2844469
0.5,127189,0.2691987,126397,0.3190839
0.5,116728,0.284351,107684,0.351003
0.5,105883,0.3402601,92656,0.3981863
0.5,89459,0.377312,79784,0.457016
0.5,77144,0.4511828,65336,0.5827119
0.5,51826,0.5758052,57172,0.6483972
0.5,40597,0.5007494,50461,0.5978721
0.5,23201,0.4470476,36436,0.5094347
0.5,20816,0.4507297,14779,0.5692514
0.5,14243,0.498272,13943,0.5946817
0.5,12671,0.4943107,12101,0.5768721
0.5,11272,0.4777548,11023,0.6250723
0.5,10462,0.5278464,10501,0.6350429
0.5,8777,0.5780443,9091,0.6669226
0.5,7219,0.6026965,7108,0.7608685
0.5,6353,0.7013331,5906,0.8430333
0.5,5416,0.7252395,4486,0.976064
0.5,4051,1.036255,3221,1.425497
0.5,3076,1.369443,2104,4.176017
1.0,954094,0.04066864,842383,0.04754022
1.0,691816,0.04178825,661378,0.04890457
1.0,612022,0.04610426,597196,0.05416453
1.0,477329,0.05105737,316189,0.0677423
1.0,299479,0.06834772,249811,0.09101682
1.0,239566,0.07361924,233528,0.09130612
1.0,229234,0.08420575,218368,0.09943088
1.0,207574,0.08589135,206086,0.1020232
1.0,192292,0.08610024,193174,0.1070306
1.0,176224,0.09963451,182899,0.1120074
1.0,172751,0.09601729,166186,0.1172801
1.0,160612,0.108278,154114,0.1231274
1.0,142684,0.1099294,136711,0.1378422
1.0,133384,0.1233641,121879,0.1446793
1.0,120091,0.1381138,109297,0.1615214
1.0,105832,0.1524724,92431,0.1779097
1.0,91006,0.1657002,79784,0.1989279
1.0,72064,0.1832604,67904,0.2292979
1.0,62956,0.224055,51826,0.2923195
1.0,47638,0.278506,37594,0.3797591
1.0,36118,0.3904048,28384,0.4783744
1.0,16519,0.350391,22447,0.4159284
1.0,13954,0.3443908,13438,0.3938696
1.0,12004,0.33367,13003,0.4140689
1.0,11839,0.3208122,10936,0.4024058
1.0,10084,0.3418599,10058,0.3967006
1.0,8311,0.3516768,9283,0.3835483
1.0,7219,0.3497784,7804,0.4061458
1.0,6826,0.34341,5728,0.4055245
1.0,4801,0.3410049,4612,0.4574929
1.0,4021,0.3738286,3316,0.5328951
1.0,2734,0.4707115,1951,0.7493323
1.0,1753,0.7761187,1087,1.293191
1.0,1024,1.272002,907,1.676263
1.0,859,1.683958,724,2.66912
1.0,706,2.741572,661,4.458301
