alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.00390625,9535741,2.174705,8535356,4.858106
0.00390625,4427881,5.675114,4574509,8.068029
0.00390625,4240744,4.932576,4408856,5.532488
0.00390625,4128346,4.652467,4203371,4.938808
0.00390625,3978703,4.558308,4038413,4.700376
0.00390625,3769637,4.510221,3694433,4.638968
0.00390625,3659197,4.592009,3606269,4.728033
0.00390625,3506842,4.71932,3338938,5.185264
0.00390625,3326816,5.26125,3178276,7.970878
0.0078125,9489083,0.5285013,6641134,0.8504956
0.0078125,6384029,0.876777,4805473,1.557402
0.0078125,4772392,1.501156,4599488,1.722279
0.0078125,4569533,1.713977,4425521,1.924599
0.0078125,4408856,1.896122,4258937,2.123116
0.0078125,4222837,2.182119,4083319,2.519567
0.0078125,4052207,2.588364,3884239,3.276212
0.0078125,3868873,3.375969,3727303,6.247042
0.0078125,3517952,4.56295,3615109,9.457728
0.0078125,3339254,3.504036,3506842,4.382508
0.0078125,3153511,3.042933,3326816,3.456072
0.0078125,2975942,2.73996,3147163,3.006023
0.0078125,2796016,2.526847,2956477,2.696375
0.0078125,2683606,2.308097,2787934,2.495019
0.0078125,2477842,2.122155,2595337,2.365168
0.0078125,2325371,2.106354,2345501,2.207392
0.0078125,2127929,2.02559,2207564,2.111541
0.0078125,1912819,1.954685,1999967,2.109328
0.0078125,1720273,1.892829,1756637,2.054355
0.0078125,1603193,1.953685,1679149,2.079133
0.0078125,1525708,2.014715,1356856,2.214266
0.0078125,1343941,2.03727,1185263,2.534847
0.0078125,1143839,2.577697,1005386,3.328599
0.0078125,976421,3.395949,908318,8.602546
0.015625,9530099,0.2289549,6693457,0.3132024
0.015625,6400841,0.327729,4815091,0.4912151
0.015625,4730806,0.4607654,4614388,0.5204865
0.015625,4540013,0.493755,4464067,0.5450241
0.015625,4343501,0.4726816,4238504,0.5514118
0.015625,4231454,0.52429,4093013,0.5767257
0.015625,3936271,0.5432861,3883408,0.6080873
0.015625,3786152,0.5840159,3705358,0.6582898
0.015625,3517952,0.6514369,3563267,0.6907729
0.015625,3491869,0.6392377,3348887,0.72665
0.015625,3287294,0.7154534,3163168,0.8303595
0.015625,3147163,0.7718957,2979682,0.8566781
0.015625,2968153,0.8666841,2818276,0.9629503
0.015625,2737006,0.9380421,2622397,1.045457
0.015625,2579207,1.0718,2439559,1.167092
0.015625,2418436,1.203637,2254159,1.391395
0.015625,2201393,1.394198,2077606,1.650481
0.015625,2062322,1.643704,1895332,2.029648
0.015625,1735414,2.043369,1846462,2.278261
0.015625,1535824,1.784572,1689113,2.020271
0.015625,1355734,1.58995,1498487,1.808509
0.015625,1224277,1.460716,1315543,1.61264
0.015625,1112632,1.356275,1158967,1.531941
0.015625,816617,1.375172,903362,1.431987
0.015625,803039,1.278533,651082,1.505636
0.015625,628151,1.434431,466373,1.875396
0.015625,446041,1.986452,342527,3.856397
0.03125,9175489,0.1091408,7142914,0.1585561
0.03125,6372833,0.144676,4775506,0.2332745
0.03125,4658146,0.2076523,4601837,0.2388037
0.03125,4593403,0.2208833,4519664,0.2489433
0.03125,4409063,0.2084667,4365194,0.2411671
0.03125,4230164,0.2240672,4113518,0.2558577
0.03125,4012681,0.2154174,3915676,0.2629389
0.03125,3873286,0.2437774,3707287,0.2879177
0.03125,3554569,0.2573065,3637453,0.2928752
0.03125,3498608,0.2750541,3372359,0.2981548
0.03125,3318779,0.2890979,3161537,0.3393412
0.03125,3095308,0.3147268,2988283,0.3340754
0.03125,2926153,0.3145755,2812483,0.3591859
0.03125,2778121,0.3440871,2631337,0.3880585
0.03125,2604416,0.3584895,2509888,0.4111806
0.03125,2404177,0.3862801,2266606,0.4472225
0.03125,2181689,0.4206348,2080231,0.4987641
0.03125,2006657,0.4835404,1963679,0.5404142
0.03125,1875931,0.5236983,1766339,0.5956102
0.03125,1665278,0.5643139,1535824,0.6833176
0.03125,1488989,0.6931062,1358902,0.8289398
0.03125,1347382,0.8033171,1198793,0.9914638
0.03125,1163207,1.055596,996943,1.334722
0.03125,979211,1.334255,926027,1.591932
0.03125,642496,1.159453,810332,1.390026
0.03125,488596,1.022075,628357,1.1931
0.03125,385291,1.015981,329201,1.174525
0.03125,259208,1.179635,247636,1.360845
0.03125,237056,1.251796,233944,1.381825
0.03125,220852,1.31156,225941,1.445354
0.03125,213607,1.33247,204382,1.520126
0.03125,194846,1.396191,187406,1.593492
0.03125,186176,1.500869,177742,1.764776
0.03125,171889,1.637514,160543,1.864702
0.03125,158524,1.895461,147206,2.177516
0.03125,145463,2.186596,132137,2.724366
0.03125,130807,2.805421,118609,5.440272
0.0625,9672409,0.07270429,7035188,0.08706519
0.0625,5858014,0.08247143,4813531,0.1251827
0.0625,4761508,0.1185135,4679848,0.1342415
0.0625,4470236,0.1054345,4433237,0.1311023
0.0625,4325117,0.1117323,4263902,0.1303037
0.0625,4178849,0.1170007,4080359,0.1348617
0.0625,3936799,0.1213964,3929248,0.1372236
0.0625,3739588,0.1025202,3841316,0.1422002
0.0625,3670393,0.1319624,3532918,0.1486814
0.0625,3411959,0.1246138,3395969,0.1528088
0.0625,3284129,0.1393722,3208258,0.1612123
0.0625,3126289,0.1484701,3118183,0.1691524
0.0625,2920117,0.1483775,2801401,0.1790791
0.0625,2783896,0.15957,2658247,0.1892102
0.0625,2607476,0.1719436,2500607,0.1944819
0.0625,2410706,0.174952,2265749,0.2135712
0.0625,2230301,0.1935892,2143004,0.2279851
0.0625,2048069,0.208721,1893484,0.2537992
0.0625,1796131,0.2361833,1715258,0.2622833
0.0625,1641368,0.2554747,1551842,0.2775545
0.0625,1359181,0.2803343,1432724,0.3161631
0.0625,1326217,0.3034145,1204802,0.3785586
0.0625,1157762,0.370862,1015043,0.4377522
0.0625,989336,0.44704,849287,0.5459244
0.0625,788318,0.5578207,638167,0.7343975
0.0625,616079,0.7662234,460673,1.201067
0.0625,271241,0.8838749,435443,1.141624
0.0625,266374,0.8158568,249814,0.9498592
0.0625,235834,0.8454881,230512,0.931225
0.0625,215368,0.8478161,227299,0.9141903
0.0625,214237,0.8630919,213391,0.9184155
0.0625,188714,0.8547876,200489,0.9329616
0.0625,177076,0.855411,183761,0.9388799
0.0625,167023,0.793783,162607,0.9193594
0.0625,148997,0.7618264,147947,0.9693641
0.0625,138077,0.7831841,145228,1.006466
0.0625,119512,0.931778,118717,1.032688
0.0625,113824,0.9416589,106889,1.072669
0.0625,103784,0.9530247,93662,1.17805
0.0625,86347,1.092065,76403,1.301892
0.0625,73673,1.341793,62851,1.569154
0.0625,61634,1.665619,48641,2.757302
0.0625,47818,2.971894,44623,5.077594
0.125,9041174,0.05158607,7412401,0.06209464
0.125,6400063,0.05826236,4807337,0.08154912
0.125,4604597,0.06734331,4666373,0.07858317
0.125,4589141,0.06357601,4448579,0.08353926
0.125,4247636,0.07157178,4331746,0.08162911
0.125,4224706,0.06489099,4195859,0.08487669
0.125,3891857,0.06746434,3879938,0.08578148
0.125,3696377,0.07136661,3818869,0.08539323
0.125,3635836,0.07511756,3661352,0.08589521
0.125,3444632,0.0798714,3423842,0.09125764
0.125,3162514,0.07659586,3285467,0.09254903
0.125,3125134,0.08299231,3058826,0.1005323
0.125,2837162,0.08753964,2860996,0.1036736
0.125,2757019,0.08657067,2680241,0.1034017
0.125,2608336,0.09172617,2596519,0.1041819
0.125,2381438,0.09340812,2428486,0.1105249
0.125,2213452,0.1066187,2112763,0.1194496
0.125,1986437,0.120007,1928288,0.133186
0.125,1874506,0.1252574,1784528,0.1369243
0.125,1711459,0.1177383,1556288,0.1428981
0.125,1524023,0.1300968,1396429,0.1585307
0.125,1297771,0.1545145,1188001,0.1855984
0.125,1143167,0.1652097,1002208,0.2091771
0.125,958978,0.1966008,831643,0.2412302
0.125,788318,0.2343837,639112,0.2959505
0.125,601642,0.2938602,453451,0.4130933
0.125,442328,0.4199931,281581,0.7858916
0.125,266374,0.7708491,244418,0.9269198
0.125,241919,0.913619,234334,0.9834808
0.125,218558,0.9290001,228097,0.9921479
0.125,206966,0.8968475,212293,0.9475997
0.125,189094,0.8298114,199856,0.927782
0.125,180053,0.7985521,182674,0.867647
0.125,163412,0.7619667,167252,0.8348155
0.125,148997,0.7297032,154183,0.8078775
0.125,144842,0.7328202,140423,0.8013424
0.125,119563,0.6733429,129046,0.7753001
0.125,109981,0.6495105,113011,0.7514252
0.125,97568,0.6316845,96464,0.7332989
0.125,77269,0.6683364,83396,0.7557023
0.125,63202,0.6705666,66592,0.7859757
0.125,61058,0.7269131,51416,0.8698707
0.125,47638,0.8045828,35059,1.030271
0.125,33647,1.044584,21178,1.747196
0.125,20029,2.113366,16301,7.260545
0.25,8336738,0.05137207,9008243,0.05918166
0.25,4824811,0.04710359,4789636,0.05883756
