alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0009765625,110485916,0.4588635,109950574,0.5132261
0.0009765625,105523427,0.4847581,108231902,0.5453624
0.0009765625,103662451,0.4712461,103564658,0.5556966
0.0009765625,100708222,0.522793,99752392,0.5745052
0.0009765625,98686388,0.5270252,96506302,0.5969656
0.0009765625,95756204,0.5706322,94712594,0.6260094
0.0009765625,93011768,0.6013973,90324581,0.6790116
0.0009765625,89781617,0.6160641,87222622,0.6767023
0.0009765625,86950861,0.653068,85268921,0.7139869
0.0009765625,83384006,0.6917317,81112481,0.7737431
0.0009765625,80607004,0.7282163,78016651,0.7912207
0.0009765625,76294202,0.769278,75070466,0.8433471
0.0009765625,74192303,0.8080783,71981974,0.9043877
0.0009765625,70863028,0.8691513,69644891,0.9442168
0.0009765625,68128526,0.9303578,65889011,1.036164
0.0009765625,65593256,0.9965132,63091687,1.104518
0.0009765625,61339021,1.091575,59924602,1.217672
0.0009765625,59349364,1.220574,56813137,1.331534
0.0009765625,56335039,1.33697,53782744,1.492852
0.0009765625,53190248,1.488811,50390167,1.760214
0.0009765625,50191696,1.750566,47442151,2.118636
0.0009765625,47077652,2.111604,44349502,2.831353
0.0009765625,43906558,2.925226,41633737,7.606689
0.001953125,109160483,0.2131691,109879324,0.2384879
0.001953125,106610362,0.2091141,107079608,0.2489854
0.001953125,104914699,0.2214038,102537713,0.2584526
0.001953125,100600966,0.2287863,99796777,0.2626013
0.001953125,98158948,0.2194042,96689839,0.2666706
0.001953125,94196842,0.2534051,93666031,0.2719282
0.001953125,93105884,0.2550406,90550709,0.2818492
0.001953125,89929391,0.2483741,87816772,0.2968604
0.001953125,84178481,0.2699351,86569694,0.2976214
0.001953125,82308082,0.2626253,81157187,0.3223883
0.001953125,80040634,0.2881075,79623959,0.3136012
0.001953125,77162662,0.2936052,75783847,0.3326774
0.001953125,74097862,0.2889932,72387859,0.3499114
0.001953125,68710997,0.3274164,70223204,0.3540714
0.001953125,66991187,0.3393182,67249058,0.3907596
0.001953125,63618619,0.3533412,62547644,0.3925823
0.001953125,61389073,0.3837852,59968252,0.4197711
0.001953125,59154176,0.3893225,56874442,0.4328447
0.001953125,56391749,0.3929195,53782744,0.4751842
0.001953125,53318777,0.453425,50709962,0.5149185
0.001953125,49863689,0.4704579,47368474,0.5402955
0.001953125,47120939,0.5118011,44479088,0.5957945
0.001953125,41926246,0.5505906,42335681,0.6413404
0.001953125,40921046,0.5977793,38270941,0.715162
0.001953125,37919023,0.6613618,35334991,0.7903126
0.001953125,34326577,0.7598191,32446354,0.8953468
0.001953125,31479629,0.8643427,29129714,1.037545
0.001953125,28793822,1.071761,26005361,1.332681
0.001953125,25111909,1.324906,22787654,1.748842
0.001953125,22220573,1.808312,19745191,3.026212
0.001953125,19555556,3.301281,18990626,4.527494
0.00390625,109364972,0.1134447,109206221,0.1302362
0.00390625,106782232,0.12193,107311936,0.1424146
0.00390625,103249661,0.1143257,102388771,0.1422596
0.00390625,100465969,0.1212613,102313007,0.1452917
0.00390625,98057387,0.1112169,97753076,0.1455183
0.00390625,96065527,0.1283904,94741498,0.1499229
0.00390625,91288856,0.1321557,92597669,0.1501536
0.00390625,89310544,0.1275987,87873587,0.1624408
0.00390625,84364691,0.1278957,85068979,0.1553847
0.00390625,82355992,0.1321354,82910713,0.1604951
0.00390625,80043577,0.1351198,78489497,0.1600114
0.00390625,77670962,0.1464159,75033566,0.1719494
0.00390625,72838936,0.1447011,72459769,0.167084
0.00390625,71266099,0.1568316,69641816,0.1817114
0.00390625,66848702,0.1566107,66051802,0.1852187
0.00390625,64494337,0.1614437,63635629,0.1909149
0.00390625,61389073,0.1476203,60690862,0.2051568
0.00390625,59250419,0.180067,56948156,0.2080552
0.00390625,55538059,0.1894909,54935794,0.2149806
0.00390625,52757083,0.1911902,50577796,0.2286759
0.00390625,48810119,0.1995734,47370641,0.240065
0.00390625,46973384,0.2080126,45301847,0.2579808
0.00390625,41582059,0.2315867,42206609,0.274893
0.00390625,40029427,0.2548297,38817661,0.288651
0.00390625,37980238,0.2672857,36414779,0.3133136
0.00390625,34221364,0.2919047,32523536,0.3517606
0.00390625,30662083,0.3277266,30089173,0.3819272
0.00390625,28750342,0.3700347,26347493,0.42614
0.00390625,25276486,0.4119684,22792751,0.4977534
0.00390625,22187332,0.4636718,19789213,0.575519
0.00390625,19584566,0.5751242,16618601,0.7212977
0.00390625,16579331,0.7125145,13770161,0.9580882
0.00390625,13490212,1.013965,10604327,1.621689
0.00390625,10310089,1.72207,8535356,4.858106
0.00390625,4465807,5.936685,4574509,8.068029
0.00390625,4283954,5.001131,4441993,5.786218
0.00390625,4128346,4.652467,4275626,5.055471
0.00390625,3978703,4.558308,4095176,4.764202
0.00390625,3769637,4.510221,3874564,4.606165
0.00390625,3737702,4.565518,3606269,4.728033
0.00390625,3517952,4.671698,3383339,5.161334
0.00390625,3367841,5.070836,3210287,6.668948
0.00390625,3196553,7.09938,3178276,7.970878
0.0078125,111095528,0.07603407,108984541,0.09762659
0.0078125,106275263,0.08059005,106819978,0.09093962
0.0078125,104814907,0.0667474,105131567,0.09513214
0.0078125,100204939,0.07798433,101473961,0.09895606
0.0078125,98566253,0.08147314,97072513,0.0969907
0.0078125,93707387,0.08007414,94606283,0.1012918
0.0078125,92390656,0.08611876,91071602,0.09672385
0.0078125,88961338,0.08359246,88104932,0.09936002
0.0078125,86082544,0.0846675,86008679,0.09564751
0.0078125,83597531,0.0856829,81079772,0.103692
0.0078125,78838663,0.08647767,80838493,0.1036187
0.0078125,76130797,0.09056557,75801296,0.103882
0.0078125,73989254,0.08609768,73113571,0.1048825
0.0078125,71708044,0.09181208,70192613,0.1076913
0.0078125,68604968,0.09266039,66464081,0.1137963
0.0078125,65030677,0.09200762,63424369,0.1125924
0.0078125,61491559,0.09498698,60337933,0.1188261
0.0078125,57940838,0.0906708,56445659,0.1154379
0.0078125,54099544,0.09583301,56073656,0.1210135
0.0078125,52621444,0.1109153,53237161,0.1233752
0.0078125,48810119,0.104666,49673042,0.1336949
0.0078125,46273064,0.1067387,45228538,0.1468507
0.0078125,43944958,0.1195919,42105172,0.1422571
0.0078125,39884272,0.1269406,39421741,0.1529487
0.0078125,36901814,0.140718,36352588,0.1604639
0.0078125,34098934,0.1268255,32328061,0.1613296
0.0078125,31153189,0.1372963,30541981,0.1810941
0.0078125,27323519,0.1568457,26782177,0.1944333
0.0078125,25180261,0.1897766,23222008,0.2236293
0.0078125,22663411,0.1943121,19867447,0.2523897
0.0078125,19440364,0.2406017,16638964,0.3002704
0.0078125,15786299,0.289618,13628302,0.3605667
0.0078125,13067672,0.3532039,10571908,0.4839022
0.0078125,10375616,0.487528,7513288,0.703102
0.0078125,7162396,0.7474398,4825276,1.543005
0.0078125,4772392,1.501156,4656167,1.663364
0.0078125,4636999,1.669508,4465807,1.875653
0.0078125,4458712,1.869787,4283954,2.015688
0.0078125,4278446,2.08139,4114441,2.375776
0.0078125,4088416,2.42545,3930391,2.982156
0.0078125,3904921,3.053755,3751226,5.151168
0.0078125,3566047,5.260874,3615109,9.457728
0.0078125,3382882,3.691661,3545053,4.920637
0.0078125,3209522,3.191557,3372394,3.624481
0.0078125,3045004,2.760494,3184418,3.140109
0.0078125,2839054,2.550371,3015886,2.770842
0.0078125,2683606,2.308097,2834056,2.583852
0.0078125,2477842,2.122155,2653333,2.410567
0.0078125,2325371,2.106354,2448844,2.256633
0.0078125,2127929,2.02559,2265589,2.177269
0.0078125,1963001,1.981216,1999967,2.109328
0.0078125,1912819,1.954685,1924096,2.068119
0.0078125,1720273,1.892829,1679149,2.079133
0.0078125,1525708,2.014715,1434929,2.170242
0.0078125,1343941,2.03727,1227637,2.330834
0.0078125,1202702,2.304172,1038637,2.95202
0.0078125,1022842,3.093111,908318,8.602546
0.015625,111481168,0.06972987,109291502,0.08083382
0.015625,107829586,0.06816536,108301717,0.08082677
0.015625,103572662,0.07408639,103239553,0.08079265
0.015625,100184269,0.06796371,101709046,0.0776102
0.015625,98227361,0.06758321,96296206,0.07955623
0.015625,93242726,0.07104274,94831756,0.07996149
0.015625,91594831,0.06653291,92649254,0.07649639
0.015625,88562879,0.06618765,87368234,0.07772654
0.015625,84425378,0.06478436,84719588,0.07761903
0.015625,82477687,0.06832575,81853052,0.08163467
0.015625,78776323,0.06838004,80845231,0.08311058
0.015625,75418661,0.06023365,76823342,0.07692823
0.015625,74495501,0.06840107,73122319,0.07728199
0.015625,69554384,0.06431397,71094883,0.0796666
0.015625,68118623,0.06384708,65613622,0.08216405
0.015625,65163442,0.06608472,62840422,0.08336137
0.015625,61669714,0.07265737,60031603,0.08299075
0.015625,58545719,0.06817207,56566408,0.083682
0.015625,53648632,0.06790163,56213309,0.08283224
0.015625,53188708,0.07443489,50400772,0.08352292
0.015625,47842742,0.07291718,49585057,0.08784586
0.015625,46295203,0.07807853,44526028,0.08873815
0.015625,43156033,0.07406126,41821529,0.0874758
0.015625,41011996,0.07636665,38830658,0.09749396
0.015625,37260731,0.07502138,35865761,0.09783794
0.015625,34522948,0.08221306,32615599,0.1031525
0.015625,31190111,0.08756122,30356023,0.1056701
0.015625,27451514,0.09783669,26237807,0.1109115
0.015625,25112963,0.1006805,23065466,0.1209778
0.015625,22448056,0.1061846,20112704,0.1317441
0.015625,19603582,0.1254002,16693631,0.1497176
0.015625,16167457,0.1333411,14112898,0.1673989
0.015625,13153729,0.1508787,10638392,0.2213998
0.015625,10365196,0.2029247,7828507,0.2870817
0.015625,7238279,0.2775351,4844596,0.4742037
0.015625,4730806,0.4607654,4642766,0.5083721
0.015625,4597532,0.489017,4464067,0.5450241
0.015625,4343501,0.4726816,4418434,0.5405132
0.015625,4278179,0.5229675,4208426,0.5747752
0.015625,3936271,0.5432861,3992036,0.6022457
0.015625,3786152,0.5840159,3761897,0.6381256
0.015625,3708823,0.6401093,3563267,0.6907729
0.015625,3491869,0.6392377,3381344,0.7243684
0.015625,3370529,0.6930972,3207779,0.7980946
0.015625,3147163,0.7718957,3081739,0.8459719
0.015625,3008938,0.8046938,2889301,0.9206992
0.015625,2804299,0.9303915,2676151,1.017394
0.015625,2637112,1.040184,2492383,1.120447
0.015625,2449693,1.107551,2330698,1.282065
0.015625,2287477,1.326547,2125304,1.557034
0.015625,2111114,1.496489,1949657,1.940831
0.015625,1924204,2.009762,1846462,2.278261
0.015625,1585568,1.863377,1742492,2.086209
0.015625,1403137,1.659537,1552246,1.847858
0.015625,1224277,1.460716,1368904,1.657344
0.015625,1112632,1.356275,1197767,1.537761
0.015625,942836,1.381875,1035908,1.463547
0.015625,803039,1.278533,686087,1.467208
0.015625,628151,1.434431,515519,1.703102
0.015625,488596,1.722087,342527,3.856397
0.03125,109291177,0.08242686,111253757,0.08955102
0.03125,107829586,0.082637,107487046,0.08864032
0.03125,103769342,0.08136701,104982211,0.08996005
0.03125,100043122,0.07951099,101233009,0.0862005
0.03125,96438128,0.07971406,99197012,0.08408064
0.03125,93795554,0.07726892,96066232,0.08405606
0.03125,90253964,0.07621299,92765591,0.08309077
0.03125,88781321,0.07517731,89047949,0.08204969
0.03125,84086186,0.07173198,85845719,0.07806131
0.03125,82477687,0.07122089,81399127,0.07765794
0.03125,78193153,0.07305072,79591192,0.07756525
0.03125,75845027,0.06894851,77197007,0.07518422
0.03125,74553968,0.0696803,74119421,0.07604008
0.03125,69173393,0.06650917,71392676,0.07447322
0.03125,68366206,0.06999747,67605542,0.07751263
0.03125,62988229,0.06394499,64609357,0.0724129
0.03125,62296648,0.06753881,61542098,0.07316494
0.03125,59229202,0.06401753,56551031,0.07356761
0.03125,53883229,0.0568331,55785217,0.07113625
0.03125,52915189,0.06239881,50579549,0.07030001
0.03125,48576452,0.06042818,49700864,0.07254544
0.03125,45817033,0.06518822,45351893,0.07165407
0.03125,43864648,0.05941674,42232796,0.07021533
0.03125,40760326,0.0668308,39737198,0.07510241
0.03125,35953579,0.061469,35999419,0.07294916
0.03125,34470536,0.05450839,32256746,0.07233149
0.03125,31484449,0.06043127,29860618,0.07137505
0.03125,28024574,0.06359998,26328287,0.0786345
0.03125,22944937,0.06792858,23582171,0.07766467
0.03125,21798863,0.06785534,20910502,0.07926465
0.03125,19525808,0.07484482,16847738,0.09124352
0.03125,15168586,0.08177367,14802301,0.09498902
0.03125,13232899,0.08746318,10734197,0.1153397
0.03125,9175489,0.1091408,8666912,0.1361142
0.03125,7193506,0.1422454,4845683,0.2255151
0.03125,4658146,0.2076523,4775506,0.2332745
0.03125,4593403,0.2208833,4519664,0.2489433
0.03125,4409063,0.2084667,4365194,0.2411671
0.03125,4278179,0.2219481,4113518,0.2558577
0.03125,4012681,0.2154174,3942413,0.2595959
0.03125,3902887,0.2430549,3811924,0.2749571
0.03125,3593059,0.266756,3637453,0.2928752
0.03125,3554569,0.2573065,3386861,0.2965782
0.03125,3318779,0.2890979,3252191,0.3235956
0.03125,3196307,0.3114802,3161537,0.3393412
0.03125,2926153,0.3145755,2838256,0.3575563
0.03125,2824694,0.3297081,2716816,0.3835127
0.03125,2620586,0.3505853,2509888,0.4111806
0.03125,2404177,0.3862801,2345828,0.4302241
0.03125,2181689,0.4206348,2213392,0.4708816
0.03125,2110274,0.4439508,1963679,0.5404142
0.03125,1931536,0.52332,1766339,0.5956102
0.03125,1665278,0.5643139,1614037,0.665684
0.03125,1568498,0.6506264,1398157,0.7904342
0.03125,1385326,0.7438437,1225327,0.9379908
0.03125,1202492,0.9544736,1040356,1.240946
0.03125,1034827,1.258904,926027,1.591932
0.03125,681488,1.255574,841784,1.468998
0.03125,547912,1.077338,670987,1.223281
0.03125,385291,1.015981,329201,1.174525
0.03125,288536,1.037302,247636,1.360845
0.03125,237056,1.251796,233944,1.381825
0.03125,220852,1.31156,225941,1.445354
0.03125,213607,1.33247,211567,1.46478
0.03125,194846,1.396191,196541,1.529728
0.03125,188714,1.469447,177742,1.764776
0.03125,171889,1.637514,165124,1.797419
0.03125,160612,1.780047,148997,2.075607
0.03125,148292,2.108323,135637,2.552847
0.03125,134668,2.463224,122041,3.956641
0.03125,120391,4.188143,118609,5.440272
0.0625,110847098,0.0539393,109068502,0.05837423
0.0625,108213614,0.05628573,106619417,0.06006889
0.0625,104420671,0.05241982,102716506,0.06170412
0.0625,101352367,0.05833886,100642361,0.06397047
0.0625,97720141,0.06028618,96914828,0.06457764
0.0625,94306943,0.06189431,93831779,0.06548115
0.0625,92512297,0.06251249,92069309,0.06820883
0.0625,88419614,0.06476635,87069986,0.06899872
0.0625,86664026,0.06750057,84735997,0.07119984
0.0625,83603158,0.06896977,81110657,0.07413579
0.0625,79043077,0.06927811,78247952,0.077288
0.0625,77191442,0.07170495,75015716,0.0812493
0.0625,74642252,0.07754919,72174722,0.08281245
0.0625,71062487,0.08243341,69727729,0.08817445
0.0625,68112379,0.0872406,65927968,0.09114299
0.0625,62759572,0.08247324,65041684,0.08868946
0.0625,59516549,0.08225955,61399049,0.08545437
0.0625,56573311,0.07959397,57804944,0.08455118
0.0625,53569447,0.0693179,56364862,0.08117991
0.0625,50595481,0.07342774,53241007,0.07811438
0.0625,47956901,0.07081111,49206074,0.07796103
0.0625,45284318,0.07166759,46943087,0.07652033
0.0625,41633233,0.06356966,43656478,0.07348829
0.0625,40601446,0.06675211,40518748,0.07450639
0.0625,35953579,0.06178254,37439021,0.07147225
0.0625,33064667,0.05793098,31953452,0.06804451
