START,n_1,C_max,Npred_1,Cpred_max,Lambda_max
4e0,4,3.843624,4,2.870137,2.920559e-01
5e0,5,2.590290,5,4.266093,-4.989285e-01
6e0,6,3.210402,6,5.413807,-5.225564e-01
8e0,8,2.162039,8,2.814638,-2.637820e-01
9e0,9,4.827796,9,5.820367,-1.869733e-01
1e1,15,4.190592,15,7.379969,-5.659274e-01
2e1,21,5.561470,21,6.664255,-1.808957e-01
3e1,30,6.169677,30,7.340724,-1.737911e-01
4e1,45,6.586672,45,7.286662,-1.009973e-01
5e1,57,5.837951,51,5.803595,5.902314e-03
6e1,60,6.705463,60,7.244948,-7.738180e-02
7e1,75,7.053239,75,7.231355,-2.493941e-02
8e1,81,4.827796,84,6.503385,-2.979329e-01
9e1,90,5.399543,90,7.231854,-2.921811e-01
1e2,105,8.330518,105,8.666866,-3.958158e-02
2e2,210,8.169017,210,8.629795,-5.487214e-02
3e2,315,8.431106,315,8.611154,-2.113037e-02
4e2,420,7.991882,420,8.602239,-7.359628e-02
5e2,570,7.912132,525,8.597070,-8.302416e-02
6e2,660,7.918936,630,8.592078,-8.158371e-02
7e2,735,8.545496,735,8.587192,-4.867430e-03
8e2,840,8.204146,840,8.584079,-4.526954e-02
9e2,975,7.586652,945,8.582001,-1.232766e-01
1e3,1155,9.135596,1155,9.530079,-4.227461e-02
2e3,2730,9.539146,2310,9.515955,2.434079e-03
3e3,3465,9.205098,3465,9.508707,-3.245040e-02
4e3,4620,9.432003,4620,9.503955,-7.599560e-03
5e3,5775,9.302545,5775,9.500613,-2.106840e-02
6e3,6930,9.570228,6930,9.498100,7.565197e-03
7e3,7770,9.129686,7140,9.117713,1.312241e-03
8e3,8925,9.643464,8085,9.495990,1.541085e-02
9e3,9240,9.637497,9240,9.494181,1.498227e-02
1e4,15015,10.422348,15015,10.350831,6.885571e-03
2e4,21945,10.036306,21945,10.041984,-5.656308e-04
3e4,30030,10.293246,30030,10.342787,-4.801415e-03
4e4,45045,10.267641,45045,10.338597,-6.886825e-03
5e4,58905,10.142189,58905,10.106322,3.542626e-03
6e4,60060,10.288579,60060,10.335823,-4.581379e-03
7e4,75075,10.186498,75075,10.333785,-1.435557e-02
8e4,87780,9.960052,87780,10.028515,-6.850275e-03
9e4,90090,10.384689,90090,10.332190,5.068264e-03
1e5,150150,10.404410,105105,10.330878,7.092442e-03
2e5,255255,10.988793,255255,11.012285,-2.135456e-03
3e5,345345,10.823075,345345,10.813437,8.909163e-04
4e5,435435,10.808231,435435,10.702613,9.819997e-03
5e5,510510,11.026899,510510,11.007313,1.777829e-03
6e5,690690,10.755350,690690,10.808794,-4.956685e-03
7e5,765765,10.999099,765765,11.004658,-5.052155e-04
8e5,855855,10.950614,855855,10.923047,2.520508e-03
9e5,930930,10.674738,930930,10.671439,3.091111e-04
1e6,1276275,11.043507,1021020,11.002875,3.686036e-03
2e6,2042040,11.036389,2042040,10.998893,3.403259e-03
3e6,3573570,11.047450,3063060,10.996747,4.600177e-03
4e6,4849845,11.627998,4849845,11.641194,-1.134144e-03
5e6,5870865,11.544510,5870865,11.517055,2.380996e-03
6e6,6561555,11.429827,6561555,11.431832,-1.754405e-04
7e6,7402395,11.421215,7402395,11.399611,1.893389e-03
8e6,8273265,11.322354,8273265,11.315274,6.255435e-04
9e6,9699690,11.630432,9699690,11.637821,-6.351573e-04
