Dec,n_1,C_max,Npred_1,Cpred_max,Lambda_max
4,4,3.843624,4,2.870137,2.920559e-01
5,5,2.590290,5,4.266093,-4.989286e-01
6,6,3.210402,6,5.413807,-5.225564e-01
8,8,2.162039,8,2.814638,-2.637819e-01
9,9,4.827796,9,5.820367,-1.869733e-01
20,28,1.586227,29,2.855749,-5.879759e-01
30,37,1.448748,32,2.734624,-6.352942e-01
60,64,1.081019,64,2.715385,-9.210296e-01
70,79,0.979081,79,2.745929,-1.031260e+00
90,97,0.871999,97,2.738599,-1.144413e+00
100,199,1.132084,128,2.702466,-8.701045e-01
200,223,1.053604,256,2.693275,-9.385413e-01
300,379,1.492247,397,2.696054,-5.915062e-01
400,433,1.364958,499,2.692035,-6.791738e-01
700,706,1.706515,797,2.686508,-4.537889e-01
800,802,1.784236,887,2.685154,-4.087478e-01
1000,1402,1.647631,1024,2.681141,-4.869040e-01
3000,3076,1.845344,3989,2.674342,-3.710377e-01
4000,4801,1.856187,4096,2.673517,-3.648705e-01
5000,5416,1.965120,5987,2.672347,-3.074038e-01
6000,6353,2.124621,6997,2.671684,-2.291156e-01
9000,9649,2.163663,9973,2.670244,-2.103672e-01
10000,11272,2.131467,16384,2.668294,-2.246288e-01
20000,20816,2.279925,29989,2.666592,-1.566587e-01
30000,35792,2.297694,32768,2.666256,-1.487692e-01
40000,40597,2.307754,49999,2.665207,-1.440070e-01
50000,51826,2.346624,59999,2.664751,-1.271329e-01
60000,67904,2.413565,65536,2.664496,-9.891001e-02
70000,71633,2.358847,79999,2.664067,-1.216810e-01
80000,89459,2.383150,89989,2.663800,-1.113305e-01
90000,92357,2.434532,99991,2.663563,-8.991016e-02
200000,204928,2.464243,262144,2.661612,-7.704729e-02
300000,366794,2.499164,399989,2.660873,-6.269799e-02
400000,463549,2.513127,499979,2.660498,-5.698553e-02
500000,548461,2.531963,524288,2.660415,-4.948723e-02
600000,686398,2.527108,699967,2.659959,-5.123514e-02
700000,770558,2.532269,799999,2.659754,-4.911790e-02
800000,804191,2.552045,899981,2.659576,-4.127171e-02
900000,915961,2.547074,999983,2.659420,-4.316280e-02
