START,n_0,C_min,Npred_0,Cpred_min,Lambda_min
4e0,4,3.843624,4,2.870137,2.920559e-01
5e0,5,2.590290,5,4.266093,-4.989286e-01
6e0,6,3.210402,6,5.413807,-5.225564e-01
8e0,8,2.162039,8,2.814638,-2.637819e-01
9e0,9,4.827796,9,5.820367,-1.869733e-01
2e1,28,1.586227,29,2.855749,-5.879759e-01
3e1,37,1.448748,32,2.734624,-6.352942e-01
5e1,59,1.146642,59,2.764597,-8.800572e-01
6e1,64,1.081019,64,2.715385,-9.210296e-01
7e1,79,0.979081,79,2.745929,-1.031260e+00
8e1,89,1.831623,89,2.743169,-4.039114e-01
9e1,97,0.871999,97,2.738599,-1.144413e+00
1e2,199,1.132084,128,2.702466,-8.701045e-01
2e2,223,1.053604,256,2.693275,-9.385413e-01
3e2,379,1.492247,397,2.696054,-5.915062e-01
4e2,433,1.364958,499,2.692035,-6.791738e-01
5e2,569,1.983900,512,2.686429,-3.031482e-01
6e2,661,1.788981,691,2.687864,-4.071006e-01
7e2,706,1.706515,797,2.686508,-4.537889e-01
8e2,802,1.784236,887,2.685154,-4.087478e-01
9e2,967,1.761041,997,2.684190,-4.214739e-01
1e3,1402,1.647631,1024,2.681141,-4.869040e-01
2e3,2029,1.715762,2048,2.676937,-4.448159e-01
3e3,3076,1.845344,3989,2.674342,-3.710377e-01
4e3,4801,1.856187,4096,2.673517,-3.648705e-01
5e3,5416,1.965120,5987,2.672347,-3.074038e-01
6e3,6353,2.124621,6997,2.671684,-2.291156e-01
7e3,7219,2.055910,7993,2.671125,-2.617812e-01
8e3,8777,2.179478,8192,2.670682,-2.032485e-01
9e3,9649,2.163663,9973,2.670244,-2.103672e-01
1e4,11272,2.131467,16384,2.668294,-2.246288e-01
2e4,20816,2.279925,29989,2.666592,-1.566587e-01
3e4,35792,2.297694,32768,2.666256,-1.487692e-01
4e4,40597,2.307754,49999,2.665207,-1.440070e-01
5e4,51826,2.346624,59999,2.664751,-1.271329e-01
6e4,67904,2.413565,65536,2.664496,-9.891001e-02
7e4,71633,2.358847,79999,2.664067,-1.216810e-01
8e4,89459,2.383150,89989,2.663800,-1.113305e-01
9e4,92357,2.434532,99991,2.663563,-8.991016e-02
1e5,116728,2.402456,131072,2.662962,-1.029475e-01
2e5,204928,2.464243,262144,2.661612,-7.704729e-02
3e5,366794,2.499164,399989,2.660873,-6.269799e-02
4e5,463549,2.513127,499979,2.660498,-5.698553e-02
5e5,548461,2.531963,524288,2.660415,-4.948723e-02
6e5,686398,2.527108,699967,2.659959,-5.123514e-02
7e5,770558,2.532269,799999,2.659754,-4.911790e-02
8e5,804191,2.552045,899981,2.659576,-4.127171e-02
9e5,915961,2.547074,999983,2.659420,-4.316280e-02
