DECADE,MIN AT,MIN,MAX AT,MAX,n_0,Cpred_min,n_1,Cpred_max,N_geom,<COUNT>,Cpred_avg,HLCorr
0,4,2.986907,4,2.986907,4,2.87013699,4,2.87013699,4,2.74808065,2.64064726,1.00000000
0,5,3.293911,5,3.293911,5,4.26609329,5,4.26609329,5,3.24751606,4.20600483,1.19459485
0,6,5.811305,6,5.811305,6,6.21887455,6,6.21887455,6,5.54787315,5.93696767,1.12415008
0,7,2.688216,7,2.688216,7,3.39303648,7,3.39303648,7,2.68208766,3.38530092,1.06833053
0,8,2.603689,8,2.603689,8,2.81463781,8,2.81463781,8,2.64788123,2.86241067,1.08398070
0,9,4.822380,9,4.822380,9,5.82036707,9,5.82036707,9,4.80692453,5.80171256,1.09853986
1,11,2.693497,15,7.044321,16,2.76514172,15,7.65091857,15,3.94777911,4.01876698,1.04758975
1,23,3.219182,21,7.189741,29,2.85574939,21,7.06549955,25,4.68810313,4.02053563,1.04619047
1,31,3.598999,30,9.518456,32,2.73462427,30,7.34072410,35,5.85951120,4.33099119,1.03417545
1,41,4.070103,45,11.062736,47,2.78303527,45,7.28666194,45,6.19290751,4.05231999,1.03472129
1,53,4.585327,57,9.881396,59,2.76459736,51,5.87344572,55,6.60902316,3.92309015,1.02949606
1,61,4.914048,60,12.965454,64,2.71538521,60,7.27786003,65,7.99677942,4.34450112,1.03006822
1,71,5.301297,75,14.353542,79,2.74592873,75,7.25547171,75,8.05567785,4.04341550,1.02692255
1,83,5.760076,84,13.913013,89,2.74316855,84,6.52215624,85,8.33219940,3.91074574,1.02741578
1,97,6.281196,90,16.072147,97,2.73859883,90,7.25157226,95,9.80514979,4.32055410,1.02522991
2,101,6.424077,195,27.365908,128,2.70246576,105,8.80126716,141,12.09179208,4.08097788,1.02355589
2,202,9.766036,285,33.792094,256,2.69327548,210,8.73000537,245,16.58257692,4.06423727,1.02047361
2,302,12.550385,390,42.861628,397,2.69605382,315,8.73109115,347,20.83241174,4.09735539,1.01869223
2,401,15.007327,495,51.076429,499,2.69203486,420,8.67805011,447,24.41102496,4.05744364,1.01778281
2,503,17.461160,525,57.415837,512,2.68642910,525,8.58966504,547,27.92630580,4.05134592,1.01711763
2,601,19.709975,630,65.142725,691,2.68786367,630,8.62469707,649,31.57693508,4.08269353,1.01670635
2,701,21.911806,735,72.351309,797,2.68650813,735,8.61583623,749,34.74666680,4.06558233,1.01627117
2,802,24.120777,840,79.519549,887,2.68515443,840,8.60202236,849,37.70223456,4.04121796,1.01590953
2,907,26.225199,945,86.297690,997,2.68419046,945,8.59894371,949,41.17235913,4.07948187,1.01560194
3,1006,28.273310,1995,156.633688,1024,2.68114071,1155,9.49783347,1415,56.69057689,4.05732740,1.01454680
3,2003,46.388102,2730,203.655588,2048,2.67693692,2310,9.48618550,2449,82.59539170,4.05096314,1.01340714
3,3001,62.611705,3990,262.877534,3989,2.67434162,3465,9.55395942,3465,106.44097425,4.05381398,1.01275332
3,4001,77.747225,4620,308.334324,4096,2.67351721,4620,9.47721540,4473,128.67596723,4.04863303,1.01231206
3,5003,92.148351,5775,365.622501,5987,2.67234740,5775,9.50999421,5477,149.92625905,4.04552966,1.01198347
3,6002,105.976635,6930,420.804459,6997,2.67168396,6930,9.50035916,6481,170.66497264,4.04892526,1.01172350
3,7001,119.286831,7980,447.278584,7993,2.67112453,7140,9.14799904,7483,190.50972578,4.04549973,1.01150345
3,8002,132.325551,8925,491.498133,8192,2.67068212,8085,9.49920205,8485,209.87840834,4.04350777,1.01133020
3,9001,144.963957,9975,532.111708,9973,2.67024401,9240,9.51384520,9487,229.12551192,4.04719853,1.01116968
4,10007,157.456233,19635,1016.477230,16384,2.66829428,15015,10.37436085,14143,326.99476165,4.04245695,1.01064941
4,20011,272.111532,28875,1297.598694,29989,2.66659241,21945,10.15052858,24495,491.94345928,4.03978826,1.01000768
4,30011,376.471145,39270,1774.049368,32768,2.66625607,30030,10.36446377,34641,645.28478401,4.03877239,1.00964209
4,40009,474.885406,49665,2061.641143,49999,2.66520706,45045,10.36398816,44721,791.09132441,4.03747564,1.00938811
4,50012,569.305211,58905,2467.243980,59999,2.66475120,58905,10.11012965,54773,931.55719176,4.03663285,1.00919580
4,60013,660.536318,69615,2777.274450,65536,2.66449625,60060,10.35598050,64807,1067.96217802,4.03629909,1.00904150
4,70001,749.249942,78540,3123.134879,79999,2.66406689,75075,10.34769829,74833,1200.88197238,4.03559927,1.00891470
4,80018,836.218879,87780,3397.192172,89989,2.66379965,87780,10.03346629,84853,1331.01866405,4.03511638,1.00880629
4,90001,921.143466,98175,3753.074886,99991,2.66356349,90090,10.35584357,94869,1458.85946941,4.03499768,1.00871221
5,100003,1004.773220,195195,6791.221547,131072,2.66296164,105105,10.38895826,141421,2124.63276021,4.03355119,1.00839138
5,200003,1786.820742,285285,9881.466691,262144,2.66161176,255255,11.01757874,244949,3259.70373616,4.03193098,1.00798659
5,300002,2509.952140,390390,12153.648328,399989,2.66087269,345345,10.84610338,346411,4326.98837718,4.03102055,1.00775053
5,400006,3198.407422,495495,14867.711361,499979,2.66049818,435435,10.73208779,447213,5350.50399061,4.03033245,1.00758545
5,500009,3862.643476,570570,17742.144578,524288,2.66041527,510510,11.01229674,547723,6342.15970350,4.02981837,1.00745918
5,600004,4508.492924,690690,20648.092852,699967,2.65995946,690690,10.81114647,648075,7309.02965231,4.02945078,1.00735759
5,700001,5139.584372,765765,22953.593576,799999,2.65975367,765765,11.01274606,748331,8255.52147951,4.02908983,1.00727290
5,800011,5758.584830,855855,25050.779673,899981,2.65957595,855855,10.93227057,848529,9184.98482765,4.02878707,1.00720052
5,900001,6367.081660,990990,26813.854796,999983,2.65941957,930930,10.68452845,948683,10099.94160537,4.02857525,1.00713738
6,1000003,6966.644686,1996995,51800.142580,1048576,2.65934749,1021020,11.00758663,1414213,14905.63041429,4.02768014,1.00692034
6,2000003,12629.169484,2984520,71656.392147,2097152,2.65838879,2042040,11.00335893,2449489,23174.92202430,4.02656689,1.00664232
6,3000014,17924.273898,3993990,94336.294508,3999971,2.65758050,3063060,11.05712271,3464101,31018.30359917,4.02591467,1.00647809
6,4000006,22999.944562,4849845,119115.016982,4194304,2.65752329,4849845,11.62138674,4472135,38584.10741166,4.02544734,1.00636214
6,5000011,27921.373495,5870865,139178.222406,5999993,2.65710885,5870865,11.52057514,5477225,45946.03598865,4.02509003,1.00627302
6,6000011,32724.824896,6891885,152786.196126,6999997,2.65693635,6561555,11.44271137,6480741,53147.99144429,4.02480524,1.00620093
6,7000003,37433.339294,7912905,178317.079619,7999993,2.65678982,7402395,11.41274135,7483315,60218.83947435,4.02456221,1.00614059
6,8000009,42062.890658,8843835,195079.599444,8388608,2.65673807,8273265,11.31740297,8485281,67179.14255570,4.02435326,1.00608883
6,9000011,46624.942821,9699690,218080.471426,9999991,2.65655073,9699690,11.64269129,9486833,74044.26085457,4.02417674,1.00604359
7,10000019,51128.298434,19399380,400766.957101,16777216,2.65602249,14549535,11.66159797,14142135,110319.93880480,4.02354807,1.00588706
