FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_v,Calign_min(n_v),n_u,Calign_max(n_u),n_a,CboundMin(n_a),n_b,CboundMax(n_b),jitter
4,4,4e0,4,1.374,4,1.493,4,2.870137,4,2.87013699,4,1.493454,2.870136988,4,0.000000,4,7.49306872,4,0.000000,4,9.10197203,6.116053
5,5,5e0,5,2.719,5,3.294,5,4.266093,5,4.26609329,5,3.293911,4.266093288,5,1.114773,5,7.41741394,5,0.000000,5,9.39655656,4.996182
6,6,6e0,6,3.290,6,3.373,6,5.413807,6,5.41380731,6,3.372666,5.413807307,6,0.417230,6,10.41038476,6,0.000000,6,14.53327495,6.369044
7,7,7e0,7,2.511,7,2.688,7,3.393036,7,3.39303648,7,2.688216,3.393036479,7,0.000000,7,7.25644045,7,0.000000,7,9.36742496,5.733925
8,8,8e0,8,2.443,8,2.604,8,2.814638,8,2.81463781,8,2.603689,2.814637805,8,0.652599,8,4.97667637,8,0.000000,8,8.66095151,5.575458
9,9,9e0,9,4.376,9,4.822,9,5.820367,9,5.82036707,9,4.822380,5.820367067,9,1.486689,9,10.15404479,9,0.000000,9,13.75988860,6.363339
10,19,1e1,11,2.551,15,7.044,16,2.765142,15,7.37996871,14,4.032478,4.107286251,19,0.000000,15,11.91996073,19,0.000000,15,15.47240958,7.979612
20,29,2e1,23,3.095,21,7.190,29,2.855749,21,6.66425498,24,4.661019,3.997528310,29,0.000000,21,11.44840602,29,0.000000,21,14.80566562,6.594707
30,39,3e1,31,3.475,30,9.518,32,2.734624,30,7.34072410,34,5.887543,4.352083596,37,0.000000,30,11.28690046,39,0.000000,30,15.42436214,6.144397
40,49,4e1,41,3.928,45,11.063,47,2.783035,45,7.28666194,44,6.176565,4.041666170,47,0.000000,45,10.82537173,49,0.000000,45,15.74729152,5.719385
50,59,5e1,53,4.441,57,9.881,59,2.764597,51,5.80359534,54,6.626430,3.933508427,59,0.000000,51,9.69289611,59,0.000000,57,14.47691855,5.338351
60,69,6e1,61,4.767,60,12.965,64,2.715385,60,7.24494775,64,7.984650,4.337919596,67,0.000000,60,10.40996321,69,0.000000,60,15.97422606,5.136903
70,79,7e1,71,5.160,75,14.354,79,2.745929,75,7.23135463,74,8.069298,4.050292095,76,0.000000,75,9.90063074,79,0.000000,75,18.46238944,4.897408
80,89,8e1,83,5.613,84,13.913,89,2.743169,84,6.50338549,84,8.322602,3.906248462,86,0.000000,84,9.17143171,89,0.000000,84,14.49000216,4.727766
90,99,9e1,97,6.120,90,16.072,97,2.738599,90,7.23185422,94,9.816551,4.325614402,97,0.000000,90,9.82192777,99,0.000000,90,17.61061167,4.604504
100,199,1e2,101,6.262,195,27.366,128,2.702466,105,8.66686583,141,12.080116,4.077556880,191,0.000000,105,11.14066060,199,0.000000,105,18.54148125,3.859781
200,299,2e2,202,9.561,285,33.792,256,2.693275,210,8.62979456,245,16.575696,4.062701584,227,0.000000,210,10.52644246,299,0.000000,210,16.24734428,3.720591
300,399,3e2,302,12.310,390,42.862,397,2.696054,315,8.61115415,346,20.832137,4.097371583,311,0.299359,315,10.28734917,398,0.000000,315,15.28925326,3.522527
400,499,4e2,401,14.737,495,51.076,499,2.692035,420,8.60223889,447,24.410754,4.057436701,401,0.466686,420,10.12971434,499,0.000000,420,14.72807760,3.417958
500,599,5e2,503,17.163,525,57.416,512,2.686429,525,8.59706998,547,27.926116,4.051342369,521,0.624953,525,9.97478987,599,0.000000,525,14.38777479,3.366764
600,699,6e2,601,19.381,630,65.143,691,2.687864,630,8.59207809,648,31.573471,4.082262378,632,0.733417,630,9.81482307,698,0.000000,630,14.14637159,3.368642
