START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign
4e0,4,3.843624,4,2.870137,4,3.84362411,4,2.87013699,4,3.843624111,2.870136988,37.491820,0.000000
5e0,5,2.590290,5,4.266093,5,2.59029039,5,4.26609329,5,2.590290394,4.266093288,19.747448,0.000000
6e0,6,3.210402,6,5.413807,6,3.21040200,6,5.41380731,6,3.210401996,5.413807307,14.403679,0.000000
7e0,7,0.000000,7,3.393036,7,0.00000000,7,3.39303648,7,0.000000000,3.393036479,11.939414,0.000000
8e0,8,2.162039,8,2.814638,8,2.16203856,8,2.81463781,8,2.162038563,2.814637805,10.554433,0.000000
9e0,9,4.827796,9,5.820367,9,4.82779584,9,5.82036707,9,4.827795843,5.820367067,9.682480,0.000000
1e1,19,0.000000,16,2.765142,15,4.19059194,15,7.37996871,14,2.225232544,4.109955430,7.692647,0.000000
2e1,28,1.586227,29,2.855749,21,5.56147012,21,6.66425498,24,2.767779907,4.008610582,7.306559,0.000000
3e1,37,1.448748,32,2.734624,30,6.16967660,30,7.34072410,34,3.110719183,4.342958559,7.323440,0.000000
4e1,43,0.000000,47,2.783035,45,6.58667241,45,7.28666194,44,2.746579360,4.046823456,7.544445,0.000000
5e1,59,1.146642,59,2.764597,57,5.83795127,51,5.80359534,54,3.444943048,3.928729084,7.776756,0.000000
6e1,64,1.081019,64,2.715385,60,6.70546296,60,7.24494775,64,3.262667530,4.340828374,7.876622,0.000000
7e1,79,0.979081,79,2.745929,75,7.05323920,75,7.23135463,74,3.922844647,4.047202741,8.174731,0.000000
8e1,89,1.831623,89,2.743169,81,4.82779584,84,6.50338549,84,3.287354855,3.908389316,8.368469,0.000000
9e1,97,0.871999,97,2.738599,90,5.39954322,90,7.23185422,94,3.436758342,4.323499368,8.519579,0.000000
1e2,199,1.132084,128,2.702466,105,8.33051805,105,8.66686583,141,3.583407678,4.080977884,9.070939,0.000000
2e2,223,1.053604,256,2.693275,210,8.16901684,210,8.62979456,245,3.602339461,4.063567731,10.906149,0.073329
3e2,379,1.492247,397,2.696054,315,8.43110623,315,8.61115415,346,3.754888850,4.098430035,12.449916,0.450209
4e2,433,1.364958,499,2.692035,420,7.99188162,420,8.60223889,447,3.819910372,4.057833697,13.390681,0.620560
5e2,569,1.983900,512,2.686429,570,7.91213209,525,8.59706998,547,3.788292731,4.051345918,13.502839,0.633750
6e2,661,1.788981,691,2.687864,660,7.91893649,630,8.59207809,648,3.849521727,4.082268614,14.912089,0.842853
7e2,706,1.706515,797,2.686508,735,8.54549570,735,8.58719170,748,3.944286458,4.065224363,15.652970,0.933304
8e2,802,1.784236,887,2.685154,840,8.20414590,840,8.58407866,848,3.919971186,4.041064264,16.240287,0.997964
9e2,967,1.761041,997,2.684190,975,7.58665247,945,8.58200080,948,3.790608339,4.079345519,16.914886,1.066483
1e3,1402,1.647631,1024,2.681141,1155,9.13559580,1155,9.53007910,1414,3.930334115,4.057524907,17.074063,1.078937
2e3,2029,1.715762,2048,2.676937,2730,9.53914578,2310,9.51595498,2449,3.938191714,4.050963137,21.933686,1.431712
3e3,3076,1.845344,3989,2.674342,3465,9.20509845,3465,9.50870704,3464,3.947788842,4.053752409,28.232970,1.701220
4e3,4801,1.856187,4096,2.673517,4620,9.43200294,4620,9.50395507,4472,3.975565492,4.048586947,28.523092,1.709954
5e3,5416,1.965120,5987,2.672347,5775,9.30254452,5775,9.50061339,5477,3.956637527,4.045511333,33.076108,1.836535
6e3,6353,2.124621,6997,2.671684,6930,9.57022794,6930,9.49810045,6480,4.021600106,4.048910078,35.177176,1.883581
7e3,7219,2.055910,7993,2.671125,7770,9.12968576,7140,9.11771327,7483,3.972488543,4.045514200,37.088347,1.921711
8e3,8777,2.179478,8192,2.670682,8925,9.64346441,8085,9.49598970,8485,3.976808668,4.043496559,37.453908,1.928219
9e3,9649,2.163663,9973,2.670244,9240,9.63749652,9240,9.49418124,9486,3.991146103,4.047209596,40.525087,1.981236
1e4,11272,2.131467,16384,2.668294,15015,10.42234789,15015,10.35083057,14142,4.004160101,4.042471047,49.569576,2.098481
2e4,20816,2.279925,29989,2.666592,21945,10.03630588,21945,10.04198433,24494,4.010741835,4.039792065,63.634117,2.215613
3e4,35792,2.297694,32768,2.666256,30030,10.29324643,30030,10.34278742,34641,4.011840629,4.038770037,66.031750,2.230577
4e4,40597,2.307754,49999,2.665207,45045,10.26764128,45045,10.33859678,44721,4.011234884,4.037473864,78.859762,2.295924
5e4,51826,2.346624,59999,2.664751,58905,10.14218881,58905,10.10632240,54772,4.015061764,4.036630008,85.186934,2.321028
6e4,67904,2.413565,65536,2.664496,60060,10.28857922,60060,10.33582324,64807,4.024569613,4.036300381,88.440533,2.332531
7e4,71633,2.358847,79999,2.664067,75075,10.18649755,75075,10.33378523,74833,4.012789857,4.035598264,96.281749,2.357264
8e4,89459,2.383150,89989,2.663800,87780,9.96005196,87780,10.02851528,84852,4.016448120,4.035115497,101.248509,2.370977
9e4,92357,2.434532,99991,2.663563,90090,10.38468869,90090,10.33218950,94868,4.025405630,4.034996121,105.925148,2.382740
1e5,116728,2.402456,131072,2.662962,150150,10.40441005,105105,10.33087844,141421,4.020834696,4.033551189,119.001420,2.410834
2e5,204928,2.464243,262144,2.661612,255255,10.98879350,255255,11.01228466,244949,4.022875487,4.031930701,160.756979,2.470690
3e5,366794,2.499164,399989,2.660873,345345,10.82307543,345345,10.81343727,346410,4.023491244,4.031020961,193.435695,2.499941
4e5,463549,2.513127,499979,2.660498,435435,10.80823080,435435,10.70261344,447213,4.022715545,4.030332453,213.394196,2.513510
5e5,548461,2.531963,524288,2.660415,510510,11.02689928,510510,11.00731275,547722,4.024811728,4.029818494,217.908435,2.516239
6e5,686398,2.527108,699967,2.659959,690690,10.75535033,690690,10.80879355,648074,4.023686228,4.029450993,247.596742,2.531812
7e5,770558,2.532269,799999,2.659754,765765,10.99909949,765765,11.00465781,748331,4.022216893,4.029089830,262.698356,2.538418
8e5,804191,2.552045,899981,2.659576,855855,10.95061370,855855,10.92304735,848528,4.025351254,4.028786921,276.797796,2.543953
9e5,915961,2.547074,999983,2.659420,930930,10.67473805,930930,10.67143888,948683,4.024419885,4.028575320,290.072193,2.548687
1e6,1201553,2.553525,1048576,2.659347,1276275,11.04350724,1021020,11.00287541,1414213,4.023671143,4.027680142,296.262246,2.550750
2e6,2053553,2.579809,2097152,2.658389,2042040,11.03638869,2042040,10.99889284,2449489,4.023684989,4.026566891,403.850587,2.576785
3e6,3004042,2.591117,3999971,2.657580,3573570,11.04745022,3063060,10.99674671,3464101,4.023935796,4.025914672,540.093919,2.595173
4e6,4792159,2.588525,4194304,2.657523,4849845,11.62799825,4849845,11.64119356,4472136,4.023153134,4.025447344,551.793917,2.596338
5e6,5167067,2.597599,5999993,2.657109,5870865,11.54450968,5870865,11.51705495,5477225,4.023415987,4.025090025,648.866153,2.604424
6e6,6175451,2.603294,6999997,2.656936,6561555,11.42982677,6561555,11.43183220,6480740,4.022314821,4.024805231,695.868765,2.607545
7e6,7376626,2.610535,7999993,2.656790,7402395,11.42121537,7402395,11.39961102,7483314,4.023270227,4.024562220,739.383864,2.610089
8e6,8143934,2.607556,8388608,2.656738,8273265,11.32235425,8273265,11.31527384,8485281,4.023594806,4.024353252,755.500753,2.610957
9e6,9121549,2.613892,9999991,2.656551,9699690,11.63043167,9699690,11.63782117,9486833,4.022609353,4.024176732,818.385945,2.614029
