START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign
4,4,1.921812,4,2.870137,4,1.92181206,4,2.87013699,4,1.921812056,2.870136988,37.491820,0.000000
5,5,2.590290,5,4.266093,5,2.59029039,5,4.26609329,5,2.590290394,4.266093288,19.747448,0.000000
6,6,2.140268,6,6.218875,6,2.14026800,6,6.21887455,6,2.140267997,6.218874548,14.403679,0.000000
7,7,0.000000,7,3.393036,7,0.00000000,7,3.39303648,7,0.000000000,3.393036479,11.939414,0.000000
8,8,2.162039,8,2.814638,8,2.16203856,8,2.81463781,8,2.162038563,2.814637805,10.554433,0.000000
9,9,4.827796,9,5.820367,9,4.82779584,9,5.82036707,9,4.827795843,5.820367067,9.682480,0.000000
10,10,2.120759,10,3.855372,10,2.12075924,10,3.85537204,10,2.120759244,3.855372038,9.092098,0.000000
11,11,0.000000,11,3.097468,11,0.00000000,11,3.09746822,11,0.000000000,3.097468223,8.671934,0.000000
12,12,4.116507,12,5.565937,12,4.11650737,12,5.56593708,12,4.116507372,5.565937077,8.362064,0.000000
13,13,2.192988,13,3.090238,13,2.19298840,13,3.09023772,13,2.192988402,3.090237720,8.127488,0.000000
14,14,1.989892,14,3.390541,14,1.98989245,14,3.39054128,14,1.989892454,3.390541276,7.946446,0.000000
(5#)/2,19,0.000000,16,2.765142,21,5.56147012,15,7.37996871,21,2.633998469,4.134925296,7.692647,0.000000
(5#),43,0.000000,32,2.734624,30,6.16967660,30,7.34072410,36,2.876781504,4.157279100,7.323440,0.000000
(5#)3/2,59,1.146642,59,2.764597,45,6.58667241,45,7.28666194,52,3.324712891,4.056517987,7.776756,0.000000
(5#)2,64,1.081019,64,2.715385,60,6.70546296,60,7.24494775,67,3.469062524,4.094513910,7.876622,0.000000
(5#)5/2,79,0.979081,89,2.743169,75,7.05323920,75,7.23135463,82,3.512848830,4.101748100,8.368469,0.000000
(5#)3,97,0.871999,103,2.732657,90,5.39954322,90,7.23185422,97,3.245242470,4.071701082,8.630521,0.000000
(7#)/2,113,1.596300,113,2.731305,105,8.33051805,105,8.66686583,112,3.577187866,4.150129383,8.810850,0.000000
(5#)4,128,2.207081,128,2.702466,120,6.87602316,120,7.20928755,127,3.760341543,4.079119631,9.070939,0.000000
(5#)9/2,146,1.360895,149,2.720304,135,6.46434286,135,7.20410054,142,3.435239530,4.062655944,9.415622,0.000000
(5#)5,157,1.311058,163,2.715599,150,5.35604609,150,7.20511157,157,3.400775835,4.040970850,9.634016,0.000000
(5#)11/2,178,1.810172,179,2.712819,165,7.63044269,165,8.00082618,172,3.595328737,4.115601962,9.873601,0.000000
(5#)6,181,1.801625,193,2.712054,189,7.01512641,180,7.19355883,187,3.875746134,4.053336769,10.075264,0.000000
(5#)13/2,199,1.132084,199,2.709905,195,7.45275910,195,7.84428932,202,3.549983744,4.106006598,10.159579,0.000000
(7#),223,1.053604,223,2.707019,210,8.16901684,210,8.62979456,217,3.643743815,4.100967873,10.485242,0.000000
(5#)15/2,236,1.517972,239,2.705377,225,6.28588791,231,7.18508610,232,3.386986389,4.091830667,10.692920,0.021709
(5#)8,241,1.504150,251,2.704265,252,6.79435245,240,7.18404410,247,3.644142910,4.053707028,10.844190,0.066178
(5#)17/2,262,2.366905,256,2.693275,255,7.25329173,255,7.66085308,262,3.641143212,4.052742387,10.906149,0.073329
(5#)9,283,1.808288,283,2.701699,270,6.96496187,270,7.18281338,277,3.604857351,4.073078282,11.230644,0.172140
(5#)19/2,292,2.207228,293,2.701790,294,6.15296742,285,7.60337193,292,3.835433618,4.111588781,11.346799,0.202833
(5#)10,313,1.693274,313,2.700437,300,6.94040203,300,7.17743292,307,3.852220952,4.019191219,11.573144,0.258699
(7#)3/2,316,2.096745,317,2.700184,315,8.43110623,315,8.61115415,322,3.848926910,4.105137805,11.617507,0.269307
(5#)11,337,1.613017,337,2.698997,330,7.74497014,330,7.97401946,337,3.814750776,4.094035208,11.835078,0.319805
(5#)23/2,349,1.970222,359,2.697202,345,7.94116543,345,7.51690411,352,3.812565324,4.078383721,12.066746,0.370338
(5#)12,362,1.917761,373,2.697135,360,6.15932812,360,7.17246315,367,3.603982271,4.052443147,12.210300,0.401396
(5#)25/2,379,1.492247,389,2.696402,375,6.01128592,375,7.17131417,382,3.609332043,4.035118054,12.370919,0.434382
(5#)13,391,1.826947,401,2.695884,390,6.57136743,390,7.82387510,397,3.493629656,4.100937450,12.489097,0.457964
(5#)27/2,412,2.111809,419,2.694640,405,6.06725959,405,7.17078622,412,3.760777220,4.038380967,12.662888,0.491123
(7#)2,433,1.364958,433,2.694622,420,7.99188162,420,8.60223889,427,3.810424367,4.119559320,12.795322,0.516530
(5#)29/2,439,2.366648,449,2.694048,435,7.48402071,435,7.43306573,442,4.104867342,4.048091226,12.943898,0.543705
(5#)15,463,1.956971,463,2.693116,462,7.49643810,462,7.16743359,457,3.989477522,4.110835966,13.071587,0.565994
(5#)31/2,466,1.944258,479,2.692619,465,7.47988224,465,7.41434850,472,3.818291722,4.023589455,13.215000,0.590916
(5#)16,481,1.907067,491,2.692264,483,6.65597280,480,7.16531086,487,3.612001363,4.068187119,13.320873,0.608895
(5#)33/2,496,1.863948,509,2.692163,495,7.79282126,495,7.96058969,502,3.868766908,4.065558046,13.477094,0.635203
(5#)17,524,2.394277,512,2.686429,510,7.01146018,510,7.64264747,517,3.912216892,4.030128585,13.502839,0.633750
(7#)5/2,526,2.089567,538,2.696448,525,7.78613819,525,8.59706998,532,3.817656994,4.135506996,13.722616,0.679521
(5#)18,548,2.031998,547,2.690775,540,7.03712751,540,7.16260023,547,3.840467645,4.055842310,13.797345,0.685692
(5#)37/2,569,1.983900,569,2.690611,555,6.91916673,555,7.36656045,562,3.620022540,4.069070894,13.977247,0.713417
(5#)19,577,2.245675,577,2.690424,570,7.91213209,570,7.58365556,577,3.703510300,4.032218448,14.041725,0.723017
(5#)39/2,599,2.188595,599,2.689596,585,7.50774530,585,7.81275465,592,3.860057601,4.098917188,14.216564,0.748199
(5#)20,601,1.910627,613,2.689631,609,7.03221547,600,7.16027293,607,3.829507820,4.044577586,14.326005,0.764131
(5#)41/2,617,1.876316,619,2.689185,615,7.25345459,615,7.34327566,622,3.819726676,4.073861594,14.372490,0.770351
(7#)3,631,2.111378,643,2.688718,630,7.91377219,630,8.59207809,637,3.791617010,4.065595706,14.556006,0.795712
(5#)43/2,649,2.329513,659,2.688423,645,6.23868815,645,7.33412050,652,3.782369936,4.041449716,14.676273,0.811932
(5#)22,661,1.788981,673,2.688464,660,7.91893649,660,7.95360276,667,3.875933936,4.124465824,14.780199,0.825991
(5#)45/2,677,2.010889,683,2.688000,675,7.30446862,675,7.15773218,682,3.849406531,4.004734156,14.853707,0.835304
(5#)23,697,2.216917,701,2.687975,693,7.17206434,690,7.49893355,697,3.939479803,4.111568089,14.984546,0.852406
(5#)47/2,706,1.706515,719,2.687407,714,7.25655511,705,7.31662958,712,3.962780321,4.051697486,15.113551,0.868389
(5#)24,734,2.135493,733,2.687452,720,6.73346279,720,7.15644784,727,3.841887122,3.998454277,15.212663,0.880929
(7#)7/2,743,2.355865,743,2.687037,735,8.54549570,735,8.58719170,742,4.196812727,4.145472077,15.282821,0.889246
(5#)25,751,2.338294,761,2.687024,750,7.24579438,750,7.15630777,757,3.951470508,4.034144733,15.407805,0.904563
(5#)51/2,766,2.072834,773,2.686848,765,7.15563604,765,7.63291811,772,3.867464214,4.068772757,15.490225,0.914341
