DECADE,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg
4,4,1.921812,4,2.87013700,4,1.921812,4,2.87013699,4,1.921812,2.87013699
5,5,2.590290,5,4.26609300,5,2.590290,5,4.26609329,5,2.590290,4.26609329
6,6,2.140268,6,6.21887500,6,2.140268,6,6.21887455,6,2.140268,6.21887455
7,7,0.000000,7,3.39303600,7,0.000000,7,3.39303648,7,0.000000,3.39303648
8,8,2.162039,8,2.81463800,8,2.162039,8,2.81463781,8,2.162039,2.81463780
9,9,4.827796,9,5.82036700,9,4.827796,9,5.82036707,9,4.827796,5.82036707
10,10,2.120759,10,3.85537200,10,2.120759,10,3.85537204,10,2.120759,3.85537204
11,11,0.000000,11,3.09746800,11,0.000000,11,3.09746822,11,0.000000,3.09746822
12,12,4.116507,12,5.56593700,12,4.116507,12,5.56593708,12,4.116507,5.56593708
13,13,2.192988,13,3.09023800,13,2.192988,13,3.09023772,13,2.192988,3.09023772
14,14,1.989892,14,3.39054100,14,1.989892,14,3.39054128,14,1.989892,3.39054128
(5#)/2,19,0.000000,16,2.76514200,21,5.561470,15,7.37996871,21,2.633998,4.13492530
(5#),43,0.000000,32,2.73462400,30,6.169677,30,7.34072410,36,2.876782,4.15727910
(5#)3/2,59,1.146642,59,2.76459700,45,6.586672,45,7.28666194,52,3.324713,4.05651799
(5#)2,64,1.081019,64,2.71538500,60,6.705463,60,7.24494775,67,3.469063,4.09451391
(5#)5/2,79,0.979081,89,2.74316900,75,7.053239,75,7.23135463,82,3.512849,4.10174810
(5#)3,97,0.871999,103,2.73265700,90,5.399543,90,7.23185422,97,3.245242,4.07170108
(7#)/2,113,1.596300,113,2.73130500,105,8.330518,105,8.66686583,112,3.577188,4.15012938
(5#)4,128,2.207081,128,2.70246600,120,6.876023,120,7.20928755,127,3.760342,4.07911963
(5#)9/2,146,1.360895,149,2.72030400,135,6.464343,135,7.20410054,142,3.435240,4.06265594
(5#)5,157,1.311058,163,2.71559900,150,5.356046,150,7.20511157,157,3.400776,4.04097085
(5#)11/2,178,1.810172,179,2.71281900,165,7.630443,165,8.00082618,172,3.595329,4.11560196
(5#)6,181,1.801625,193,2.71205400,189,7.015126,180,7.19355883,187,3.875746,4.05333677
(5#)13/2,199,1.132084,199,2.70990500,195,7.452759,195,7.84428932,202,3.549984,4.10600660
(7#),223,1.053604,223,2.70701900,210,8.169017,210,8.62979456,217,3.643744,4.10096787
(5#)15/2,236,1.517972,239,2.70537700,225,6.285888,231,7.18508610,232,3.386986,4.09183067
(5#)8,241,1.504150,251,2.70426500,252,6.794352,240,7.18404410,247,3.644143,4.05370703
(5#)17/2,262,2.366905,256,2.69327500,255,7.253292,255,7.66085308,262,3.641143,4.05274239
(5#)9,283,1.808288,283,2.70169900,270,6.964962,270,7.18281338,277,3.604857,4.07307828
(5#)19/2,292,2.207228,293,2.70179000,294,6.152967,285,7.60337193,292,3.835434,4.11158878
(5#)10,313,1.693274,313,2.70043700,300,6.940402,300,7.17743292,307,3.852221,4.01919122
(7#)3/2,316,2.096745,317,2.70018400,315,8.431106,315,8.61115415,322,3.848927,4.10513781
(5#)11,337,1.613017,337,2.69899700,330,7.744970,330,7.97401946,337,3.814751,4.09403521
(5#)23/2,349,1.970222,359,2.69720200,345,7.941165,345,7.51690411,352,3.812565,4.07838372
(5#)12,362,1.917761,373,2.69713500,360,6.159328,360,7.17246315,367,3.603982,4.05244315
(5#)25/2,379,1.492247,389,2.69640200,375,6.011286,375,7.17131417,382,3.609332,4.03511805
(5#)13,391,1.826947,401,2.69588400,390,6.571367,390,7.82387510,397,3.493630,4.10093745
