DECADE,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign,CpredBound
0,4,1.921812,4,2.87013699,4,1.921812,4,2.87013699,4,1.921812,2.64064726,37.491820,0.000000,2.870137
0,5,2.590290,5,4.26609329,5,2.590290,5,4.26609329,5,2.590290,4.26609329,19.747448,0.000000,4.266093
0,6,2.140268,6,6.21887455,6,2.140268,6,6.21887455,6,2.140268,6.21887455,14.403679,0.000000,6.218875
0,7,0.000000,7,3.39303648,7,0.000000,7,3.39303648,7,0.000000,3.39303648,11.939414,0.000000,3.393036
0,8,2.162039,8,2.81463781,8,2.162039,8,2.81463781,8,2.162039,2.81463781,10.554433,0.000000,2.814638
0,9,4.827796,9,5.82036707,9,4.827796,9,5.82036707,9,4.827796,5.82036707,9.682480,0.626474,5.820367
1,11,0.000000,16,2.76514172,15,4.190592,15,7.37996871,15,2.225233,4.01876698,7.692647,0.000000,2.765142
1,28,1.586227,29,2.85574939,21,5.561470,21,6.66425498,25,2.767780,4.02053563,7.306559,0.000000,2.855749
1,37,1.448748,32,2.73462427,30,6.169677,30,7.34072410,35,3.110719,4.33099119,7.323440,0.000000,2.734624
1,43,0.000000,47,2.78303527,45,6.586672,45,7.28666194,45,2.746579,4.05231999,7.544445,0.403543,2.783035
1,59,1.146642,59,2.76459736,57,5.837951,51,5.80359534,55,3.444943,3.92309015,7.776756,0.573093,2.764597
1,64,1.081019,64,2.71538521,60,6.705463,60,7.24494775,65,3.262668,4.34450112,7.876622,0.586690,2.715385
1,79,0.979081,79,2.74592873,75,7.053239,75,7.23135463,75,3.922845,4.04341550,8.174731,0.770326,2.745929
1,89,1.831623,89,2.74316855,81,4.827796,84,6.50338549,85,3.287355,3.91074574,8.368469,0.848711,2.743169
1,97,0.871999,97,2.73859883,90,5.399543,90,7.23185422,95,3.436758,4.32055410,8.519579,0.900479,2.738599
2,199,1.132084,128,2.70246576,105,8.330518,105,8.66686583,141,3.583408,4.08097788,9.070939,1.034108,2.702466
2,223,1.053604,256,2.69327548,210,8.169017,210,8.62979456,245,3.602339,4.06423727,10.906149,1.383302,2.693275
2,379,1.492247,397,2.69605382,315,8.431106,315,8.61115415,347,3.754889,4.09735539,12.449916,1.573131,2.696054
2,433,1.364958,499,2.69203486,420,7.991882,420,8.60223889,447,3.819910,4.05744364,13.390681,1.656297,2.692035
2,569,1.983900,512,2.68642910,570,7.912132,525,8.59706998,547,3.788293,4.05134592,13.502839,1.660090,2.686429
2,661,1.788981,691,2.68786367,660,7.918936,630,8.59207809,649,3.849522,4.08269353,14.912089,1.765358,2.687864
2,706,1.706515,797,2.68650813,735,8.545496,735,8.58719170,749,3.944286,4.06558233,15.652970,1.809906,2.686508
2,802,1.784236,887,2.68515443,840,8.204146,840,8.58407866,849,3.919971,4.04121796,16.240287,1.841560,2.685154
